l tau s  h  p  n  pp     Hs         DO
2  0  3 -1  0  0  0  +7.0000e-05  084.555
2  0  3 -1  0  1  0  +3.0000e-05  084.565
2  0  3 -1  1  0 -1  +3.0000e-05  084.654
2  0  3  0 -3  0  0  -2.3000e-04  085.255
2  0  3  0 -3  1 -1  +4.0000e-05  085.264
2  0  3  0 -3  1  1  +4.0000e-05  085.266
2  0  3  0 -1  0  0  -1.2760e-02  085.455
2  0  3  0 -1  1  0  -5.2900e-03  085.465
2  0  3  0 -1  2  0  -5.2000e-04  085.475
2  0  3  0  1  2  0  +5.0000e-05  085.675
2  0  3  0  1  3  0  +2.0000e-05  085.685
2  0  3  1 -1  0 -1  +1.1000e-04  086.454
2  0  3  1 -1  1 -1  +4.0000e-05  086.464
2  0  4 -4  0  0  0  -8.0000e-05  091.555
2  0  4 -4  2  0  0  -6.0000e-05  091.755
2  0  4 -4  2  1  0  -3.0000e-05  091.765
2  0  4 -3  0  0  1  -1.4000e-04  092.556
2  0  4 -3  0  1  1  -6.0000e-05  092.566
2  0  4 -2 -2  0  0  -1.1000e-04  093.355
2  0  4 -2  0  0  0  -2.0400e-03  093.555
2  0  4 -2  0  1  0  -8.4000e-04  093.565
2  0  4 -2  0  2  0  -8.0000e-05  093.575
2  0  4 -1 -2  0  1  -3.0000e-05  094.356
2  0  4 -1  0  0 -1  +3.0000e-05  094.554
2  0  4  0 -2  0  0  -1.6900e-03  095.355
2  0  4  0 -2  1  0  -7.0000e-04  095.365
2  0  4  0 -2  2  0  -7.0000e-05  095.375
2  1 -4  0  3 -1  0  -1.4000e-04  115.845
2  1 -4  0  3  0  0  -7.5000e-04  115.855
2  1 -4  1  1  0  1  +4.0000e-05  116.656
2  1 -4  2  1 -1  0  -3.7000e-04  117.645
2  1 -4  2  1  0  0  -1.9400e-03  117.655
2  1 -4  3  1  0 -1  -1.5000e-04  118.654
2  1 -4  4 -1 -1  0  -7.0000e-05  119.445
2  1 -4  4 -1  0  0  -3.7000e-04  119.455
2  1 -4  5 -1  0 -1  -4.0000e-05  11X.454
2  1 -3 -1  2  0  1  +9.0000e-05  124.756
2  1 -3  0  0 -2  0  +4.0000e-05  125.535
2  1 -3  0  2 -2  0  +2.0000e-05  125.735
2  1 -3  0  2 -1  0  -1.2500e-03  125.745
2  1 -3  0  2  0  0  -6.6400e-03  125.755
2  1 -3  1  0  0  1  +1.1000e-04  126.556
2  1 -3  1  1  0  0  +7.0000e-05  126.655
2  1 -3  1  2  0 -1  -1.0000e-04  126.754
2  1 -3  2  0 -2  0  +4.0000e-05  127.535
2  1 -3  2  0 -1  0  -1.5100e-03  127.545
2  1 -3  2  0  0  0  -8.0200e-03  127.555
2  1 -3  2  2  0  0  +7.0000e-05  127.755
2  1 -3  3  0 -1 -1  -1.0000e-04  128.544
2  1 -3  3  0  0 -1  -5.4000e-04  128.554
2  1 -3  4 -2 -1  0  -5.0000e-05  129.345
2  1 -3  4 -2  0  0  -2.4000e-04  129.355
2  1 -3  4  0  0  0  +8.0000e-05  129.555
2  1 -3  4  0  1  0  -3.0000e-05  129.565
2  1 -2 -2  1 -2  0  +4.0000e-05  133.635
2  1 -2 -2  3  0  0  +1.6000e-04  133.855
2  1 -2 -1  1 -1  1  +7.0000e-05  134.646
2  1 -2 -1  1  0  1  +4.2000e-04  134.656
2  1 -2  0 -1 -3  0  +4.0000e-05  135.425
2  1 -2  0 -1 -2  0  +1.9000e-04  135.435
2  1 -2  0  1 -2  0  +2.9000e-04  135.635
2  1 -2  0  0  0  1  -4.0000e-05  135.556
2  1 -2  0  1 -1  0  -9.4700e-03  135.645
2  1 -2  0  1  0  0  -5.0190e-02  135.655
2  1 -2  0  3  0  0  +1.4000e-04  135.855
2  1 -2  1 -1  0  1  +9.0000e-05  136.456
2  1 -2  1  0 -1  0  +5.0000e-05  136.545
2  1 -2  1  0  0  0  +2.7000e-04  136.555
2  1 -2  1  1 -1 -1  -8.0000e-05  136.644
2  1 -2  1  1  0 -1  -4.6000e-04  136.654
2  1 -2  2 -1 -2  0  +5.0000e-05  137.435
2  1 -2  2 -1 -1  0  -1.8000e-03  137.445
2  1 -2  2 -1  0  0  -9.5400e-03  137.455
2  1 -2  2  1  0  0  +5.5000e-04  137.655
2  1 -2  2  1  1  0  -1.7000e-04  137.665
2  1 -2  3 -1 -1 -1  -8.0000e-05  138.444
2  1 -2  3 -1  0 -1  -4.4000e-04  138.454
2  1 -2  3  1  0 -1  +4.0000e-05  138.654
2  1 -2  4 -1  0  0  +1.2000e-04  139.455
2  1 -2 -2  0 -2  0  +1.1000e-04  133.535
2  1 -1 -2  2 -1  0  +1.4000e-04  143.745
2  1 -1 -2  2  0  0  +7.9000e-04  143.755
2  1 -1 -1  0 -1  1  +1.1000e-04  144.546
2  1 -1 -1  0  0  1  +9.0000e-04  144.556
2  1 -1 -1  1  0  0  -4.0000e-05  144.655
2  1 -1  0  0 -2  0  +1.5200e-03  145.535
2  1 -1  0  0 -1  0  -4.9450e-02  145.545
2  1 -1  0  0  0  0  -2.6216e-01  145.555
2  1 -1  0  2 -1  0  -5.0000e-05  145.745
2  1 -1  0  2  0  0  +1.7000e-03  145.755
2  1 -1  0  2  1  0  +2.8000e-04  145.765
2  1 -1  1  0 -1 -1  -8.0000e-05  146.544
2  1 -1  1  0  0 -1  -7.6000e-04  146.554
2  1 -1  2 -2  0  0  +1.5000e-04  147.355
2  1 -1  2  0 -1  0  -1.0000e-04  147.545
2  1 -1  2  0  0  0  +3.4300e-03  147.555
2  1 -1  2  0  1  0  -7.5000e-04  147.565
2  1 -1  2  0  2  0  -5.0000e-05  147.575
2  1 -1  3  0  0 -1  +2.3000e-04  148.554
2  1 -1  4 -2  0  0  +6.0000e-05  149.355
2  1  0 -3  1  0  1  +9.0000e-05  152.656
2  1  0 -2  1 -1  0  +4.4000e-04  153.645
2  1  0 -2  1  0  0  +1.9400e-03  153.655
2  1  0 -1  0  0  0  -4.0000e-05  154.555
2  1  0 -1  1  0  1  -1.0000e-04  154.656
2  1  0  0 -1 -2  0  -1.2000e-04  155.435
2  1  0  0 -1 -1  0  +1.3700e-03  155.445
2  1  0  0 -1  0  0  +7.4100e-03  155.455
2  1  0  0  1 -1  0  -5.9000e-04  155.645
2  1  0  0  1  0  0  +2.0620e-02  155.655
2  1  0  0  1  1  0  +4.1400e-03  155.665
2  1  0  0  1  2  0  -1.1000e-04  155.675
2  1  0  1  0  0  0  -1.2000e-04  156.555
2  1  0  1  1  0 -1  +1.3000e-04  156.654
2  1  0  2 -1 -1  0  -1.1000e-04  157.445
2  1  0  2 -1  0  0  +3.9400e-03  157.455
2  1  0  2 -1  1  0  +8.7000e-04  157.465
2  1  0  3 -1  0 -1  +1.7000e-04  158.454
2  1  0  3 -1  1 -1  +4.0000e-05  158.464
2  1  1 -4  0  0  2  -2.9000e-04  161.557
2  1  1 -3  0 -1  1  +6.0000e-05  162.546
2  1  1 -3  0  0  1  -7.1300e-03  162.556
2  1  1 -2  0 -2  0  -1.0000e-04  163.535
2  1  1 -2  0 -1  0  +1.3700e-03  163.545
2  1  1 -2  0  0  0  -1.2201e-01  163.555
2  1  1 -2  0  0  2  +5.0000e-05  163.557
2  1  1 -2  2  0  0  +1.8000e-04  163.755
2  1  1 -2  2  1  0  +4.0000e-05  163.765
2  1  1 -1  0  0 -1  +1.0200e-03  164.554
2  1  1 -1  0  0  1  +2.8900e-03  164.556
2  1  1 -1  0  1  1  -8.0000e-05  164.566
2  1  1  0 -2 -1  0  +7.0000e-05  165.345
2  1  1  0  0 -2  0  +5.0000e-05  165.535
2  1  1  0  0 -1  0  -6.2300e-03  165.545
2  1  1  0  0  0  0  +3.1484e-01  165.555
2  1  1  0  0  1  0  +4.2700e-02  165.565
2  1  1  0  0  2  0  -1.0800e-03  165.575
2  1  1  1  0  0 -1  +2.9300e-03  166.554
2  1  1  1  0  1 -1  +5.0000e-05  166.564
2  1  1  2 -2  0  0  +1.8000e-04  167.355
2  1  1  2 -2  1  0  +5.0000e-05  167.365
2  1  1  2  0  0 -2  +7.0000e-05  167.553
2  1  1  2  0  0  0  +5.2500e-03  167.555
2  1  1  2  0  1  0  -2.0000e-04  167.565
2  1  1  2  0  2  0  -1.0000e-04  167.575
2  1  1  3  0  0 -1  +3.1000e-04  168.554
2  1  2 -3  1  0  1  +1.7000e-04  172.656
2  1  2 -2 -1 -1  0  +1.2000e-04  173.445
2  1  2 -2  1 -1  0  -1.2000e-04  173.645
2  1  2 -2  1  0  0  +3.9500e-03  173.655
2  1  2 -2  1  1  0  +7.8000e-04  173.665
2  1  2 -1 -1  0  1  +1.2000e-04  174.456
2  1  2 -1  0  0  0  -1.2000e-04  174.555
2  1  2  0 -1 -1  0  -6.0000e-04  175.445
2  1  2  0 -1  0  0  +2.0620e-02  175.455
2  1  2  0 -1  1  0  +4.0900e-03  175.465
2  1  2  0 -1  2  0  -5.0000e-05  175.475
2  1  2  0  1  0  0  -3.2000e-04  175.655
2  1  2  0  1  1  0  -2.0000e-04  175.665
2  1  2  0  1  2  0  -1.2000e-04  175.675
2  1  2  1 -1  0 -1  -1.1000e-04  176.454
2  1  2  2 -1  0  0  -8.0000e-05  177.455
2  1  2  2 -1  1  0  -6.0000e-05  177.465
2  1  3 -4  2  0  0  +6.0000e-05  181.755
2  1  3 -3  0  0  1  +2.3000e-04  182.556
2  1  3 -3  0  1  1  +4.0000e-05  182.566
2  1  3 -2  0 -1  0  +1.1000e-04  183.545
2  1  3 -2  0  0  0  +3.4200e-03  183.555
2  1  3 -2  0  1  0  +6.7000e-04  183.565
2  1  3 -1  0  0 -1  -7.0000e-05  184.554
2  1  3  0 -2 -1  0  -4.0000e-05  185.345
2  1  3  0 -2  0  0  +1.6900e-03  185.355
2  1  3  0 -2  1  0  +3.4000e-04  185.365
2  1  3  0  0  0  0  +1.1290e-02  185.555
2  1  3  0  0  1  0  +7.2300e-03  185.565
2  1  3  0  0  2  0  +1.5100e-03  185.575
2  1  3  0  0  3  0  +1.0000e-04  185.585
2  1  3  1  0  0 -1  -4.0000e-05  186.554
2  1  4 -4  1  0  0  +1.0000e-04  191.655
2  1  4 -3 -1  0  1  +4.0000e-05  192.456
2  1  4 -2 -1  0  0  +5.4000e-04  193.455
2  1  4 -2 -1  1  0  +1.1000e-04  193.465
2  1  4 -2  1  0  0  +4.1000e-04  193.655
2  1  4 -2  1  1  0  +2.6000e-04  193.665
2  1  4 -2  1  2  0  +5.0000e-05  193.675
2  1  4  0 -3  0  0  +1.3000e-04  195.255
2  1  4  0 -1  0  0  +2.1600e-03  195.455
2  1  4  0 -1  1  0  +1.3800e-03  195.465
2  1  4  0 -1  2  0  +2.9000e-04  195.475
2  2 -4  0  4  0  0  +1.9000e-04  215.955
2  2 -4  2  2  0  0  +7.8000e-04  217.755
2  2 -4  3  2  0 -1  +6.0000e-05  218.754
2  2 -4  4  0  0  0  +4.8000e-04  219.555
2  2 -4  5  0  0 -1  +6.0000e-05  21X.554
2  2 -3  0  3 -1  0  -7.0000e-05  225.845
2  2 -3  0  3  0  0  +1.8000e-03  225.855
2  2 -3  1  1  0  1  -9.0000e-05  226.656
2  2 -3  1  3  0 -1  +4.0000e-05  226.854
2  2 -3  2  1 -1  0  -1.7000e-04  227.645
2  2 -3  2  1  0  0  +4.6700e-03  227.655
2  2 -3  3  1  0 -1  +3.6000e-04  228.654
2  2 -3  4 -1 -1  0  -3.0000e-05  229.445
2  2 -3  4 -1  0  0  +9.0000e-04  229.455
2  2 -3  5 -1  0 -1  +1.0000e-04  22X.454
2  2 -2 -2  4  0  0  -6.0000e-05  233.955
2  2 -2 -1  2  0  1  -2.2000e-04  234.756
2  2 -2  0  0 -2  0  -1.0000e-04  235.535
2  2 -2  0  2 -1  0  -6.0000e-04  235.745
2  2 -2  0  2  0  0  +1.6010e-02  235.755
2  2 -2  1  0  0  1  -2.7000e-04  236.556
2  2 -2  1  1  0  0  -1.7000e-04  236.655
2  2 -2  1  2  0 -1  +2.5000e-04  236.754
2  2 -2  2  0 -1  0  -7.2000e-04  237.545
2  2 -2  2  0  0  0  +1.9320e-02  237.555
2  2 -2  3 -1  0  0  -4.0000e-05  238.455
2  2 -2  3  0 -1 -1  -5.0000e-05  238.544
2  2 -2  3  0  0 -1  +1.3000e-03  238.554
2  2 -2  4 -2  0  0  +5.9000e-04  239.355
2  2 -2  4  0  0 -2  +5.0000e-05  239.553
2  2 -2  5 -2  0 -1  +5.0000e-05  23X.354
2  2 -1 -2  1 -2  0  -1.0000e-04  243.635
2  2 -1 -2  3  0  0  -3.9000e-04  243.855
2  2 -1 -1  1 -1  1  +3.0000e-05  244.646
2  2 -1 -1  1  0  1  -1.0200e-03  244.656
2  2 -1  0 -1 -2  0  -4.7000e-04  245.435
2  2 -1  0  1 -2  0  +7.0000e-05  245.635
2  2 -1  0  0  0  1  +1.0000e-04  245.556
2  2 -1  0  1 -1  0  -4.5100e-03  245.645
2  2 -1  0  1  0  0  +1.2099e-01  245.655
2  2 -1  1 -1  0  1  -2.2000e-04  246.456
2  2 -1  1  0  0  0  -6.5000e-04  246.555
2  2 -1  1  1 -1 -1  -4.0000e-05  246.644
2  2 -1  1  1  0 -1  +1.1300e-03  246.654
2  2 -1  2 -1 -1  0  -8.6000e-04  247.445
2  2 -1  2 -1  0  0  +2.2980e-02  247.455
2  2 -1  2  1  0  0  +1.0000e-04  247.655
2  2 -1  2  1  1  0  -8.0000e-05  247.665
2  2 -1  3 -1 -1 -1  -4.0000e-05  248.444
2  2 -1  3 -1  0 -1  +1.0600e-03  248.454
2  2  0 -3  2  0  1  -8.0000e-05  252.756
2  2  0 -2  0 -2  0  -2.8000e-04  253.535
2  2  0 -2  2 -1  0  +7.0000e-05  253.745
2  2  0 -2  2  0  0  -1.9000e-03  253.755
2  2  0 -1  0 -1  1  +5.0000e-05  254.546
2  2  0 -1  0  0  1  -2.1800e-03  254.556
2  2  0 -1  1  0  0  +9.0000e-05  254.655
2  2  0  0  0 -2  0  +3.3000e-04  255.535
2  2  0  0  0 -1  0  -2.3580e-02  255.545
2  2  0  0  0  0  0  +6.3194e-01  255.555
2  2  0  0  2  0  0  +3.7000e-04  255.755
2  2  0  0  2  1  0  +1.3000e-04  255.765
2  2  0  1  0 -1 -1  -4.0000e-05  256.544
2  2  0  1  0  0 -1  +1.9200e-03  256.554
2  2  0  2 -2  0  0  -3.6000e-04  257.355
2  2  0  2  0  0  0  +7.2000e-04  257.555
2  2  0  2  0  1  0  -3.6000e-04  257.565
2  2  0  2  0  2  0  +1.2000e-04  257.575
2  2  0  3  0  0 -1  +5.0000e-05  258.554
2  2  1 -3  1  0  1  -2.2000e-04  262.656
2  2  1 -2  1 -1  0  +2.1000e-04  263.645
2  2  1 -2  1  0  0  -4.6600e-03  263.655
2  2  1 -1 -1  0  1  -7.0000e-05  264.456
2  2  1 -1  0  0  0  +1.1000e-04  264.555
2  2  1  0 -1 -1  0  +6.6000e-04  265.445
2  2  1  0 -1  0  0  -1.7860e-02  265.455
2  2  1  0  1 -1  0  -8.0000e-05  265.645
2  2  1  0  1  0  0  +4.4700e-03  265.655
2  2  1  0  1  1  0  +1.9700e-03  265.665
2  2  1  0  1  2  0  +2.8000e-04  265.675
2  2  1  2 -1  0  0  +8.6000e-04  267.455
2  2  1  2 -1  1  0  +4.1000e-04  267.465
2  2  1  2 -1  2  0  +5.0000e-05  267.475
2  2  2 -4  0  0  2  +7.0000e-04  271.557
2  2  2 -3  0  0  1  +1.7180e-02  272.556
2  2  2 -2  0 -1  0  +6.6000e-04  273.545
2  2  2 -2  0  0  0  +2.9402e-01  273.555
2  2  2 -2  2  0  0  +4.0000e-05  273.755
2  2  2 -1  0  0 -1  -2.4600e-03  274.554
2  2  2 -1  0  0  1  +6.2000e-04  274.556
2  2  2 -1  0  1  1  -4.0000e-05  274.566
2  2  2  0  0 -1  0  -1.0200e-03  275.545
2  2  2  0  0  0  0  +7.9930e-02  275.555
2  2  2  0  0  1  0  +2.3830e-02  275.565
2  2  2  0  0  2  0  +2.5900e-03  275.575
2  2  2  1  0  0 -1  +6.3000e-04  276.554
2  2  2  2 -2  0  0  +4.0000e-05  277.355
2  2  2  2  0  0  0  +5.3000e-04  277.555
2  2  3 -3  1  0  1  +4.0000e-05  282.656
2  2  3 -2 -1 -1  0  +6.0000e-05  283.445
2  2  3 -2 -1  0  0  +4.0000e-05  283.455
2  2  3 -2  1  0  0  +8.6000e-04  283.655
2  2  3 -2  1  1  0  +3.7000e-04  283.665
2  2  3 -2  1  2  0  +4.0000e-05  283.675
2  2  3  0 -1 -1  0  -9.0000e-05  285.445
2  2  3  0 -1  0  0  +4.4700e-03  285.455
2  2  3  0 -1  1  0  +1.9500e-03  285.465
2  2  3  0 -1  2  0  +2.2000e-04  285.475
2  2  3  0  1  0  1  -3.0000e-05  285.656
2  2  4 -3  0  0  0  +5.0000e-05  292.555
2  2  4 -2  0  0  0  +7.4000e-04  293.555
2  2  4 -2  0  1  0  +3.2000e-04  293.565
2  2  4 -2  0  2  0  +3.0000e-05  293.575
2  2  4  0 -2  0  0  +3.7000e-04  295.355
2  2  4  0 -2  1  0  +1.6000e-04  295.365
2  2  4  0  0  0  0  +1.1700e-03  295.555
2  2  4  0  0  1  0  +1.0100e-03  295.565
2  2  4  0  0  2  0  +3.3000e-04  295.575
2  2  4  0  0  3  0  +5.0000e-05  295.585
3  0  0  0  1  0  0  -2.1000e-04  055.655
3  0  0  2 -1  0  0  -4.0000e-05  057.455
3  0  1 -2  0  0  0  +4.0000e-05  063.555
3  0  1  0  0 -1  0  +1.9000e-04  065.545
3  0  1  0  0  0  0  -3.7500e-03  065.555
3  0  1  0  0  1  0  -5.9000e-04  065.565
3  0  1  0  0  2  0  +5.0000e-05  065.575
3  0  2 -2  1  0  0  -1.2000e-04  073.655
3  0  2  0 -1  0  0  -6.1000e-04  075.455
3  0  2  0 -1  1  0  -1.0000e-04  075.465
3  0  3 -2  0  0  0  -1.0000e-04  083.555
3  0  3  0 -2  0  0  -7.0000e-05  085.355
3  0  3  0  0  0  0  -3.0000e-04  085.555
3  0  3  0  0  1  0  -1.9000e-04  085.565
3  0  3  0  0  2  0  -4.0000e-05  085.575
3  0  4  0 -1  0  0  -8.0000e-05  095.455
3  0  4  0 -1  1  0  -5.0000e-05  095.465
3  1 -4  0  2  0  0  -6.0000e-05  115.755
3  1 -4  2  0  0  0  -6.0000e-05  117.555
3  1 -3  0  1 -1  0  -1.4000e-04  125.645
3  1 -3  0  1  0  0  -3.5000e-04  125.655
3  1 -3  2 -1  0  0  -7.0000e-05  127.455
3  1 -2  0  0 -2  0  -4.0000e-05  135.535
3  1 -2  0  0 -1  0  -5.0000e-04  135.545
3  1 -2  0  0  0  0  -1.2800e-03  135.555
3  1 -2  0  2  0  0  -8.0000e-05  135.755
3  1 -2  2  0  0  0  -1.1000e-04  137.555
3  1 -1  0 -1  0  0  +7.0000e-05  145.455
3  1 -1  0  1 -1  0  +1.0000e-04  145.645
3  1 -1  0  1  0  0  -6.5000e-04  145.655
3  1 -1  0  1  0  0  +9.0000e-05  145.655
3  1 -1  2 -1  0  0  -1.3000e-04  147.455
3  1  0  0  0 -1  0  +5.9000e-04  155.545
3  1  0  0  0  0  0  -3.9900e-03  155.555
3  1  0  0  0  1  0  +5.2000e-04  155.565
3  1  1 -2  1  0  0  -4.0000e-05  163.655
3  1  1  0 -1 -1  0  +3.0000e-05  165.445
3  1  1  0 -1  0  0  -2.2000e-04  165.455
3  1  1  0 -1  1  0  +3.0000e-05  165.465
3  1  1  0  1  0  0  -8.0000e-05  165.655
3  1  1  0  1  1  0  -3.0000e-05  165.665
3  1  2 -2  0  0  0  -5.0000e-05  173.555
3  1  2  0  0 -1  0  +5.0000e-05  175.545
3  1  2  0  0  0  0  -1.4600e-03  175.555
3  1  2  0  0  1  0  -5.9000e-04  175.565
3  1  2  0  0  2  0  -5.0000e-05  175.575
3  1  3 -2  1  0  0  -5.0000e-05  183.655
3  1  3  0 -1  0  0  -2.4000e-04  185.455
3  1  3  0 -1  1  0  -1.0000e-04  185.465
3  1  4 -2  0  0  0  -4.0000e-05  193.555
3  1  4  0  0  0  0  -5.0000e-05  195.555
3  1  4  0  0  1  0  -5.0000e-05  195.565
3  2 -4  2  1  0  0  -6.0000e-05  217.655
3  2 -3  0  2  0  0  -1.8000e-04  225.755
3  2 -3  2  0 -1  0  -3.0000e-05  227.545
3  2 -3  2  0  0  0  -1.8000e-04  227.555
3  2 -2  0  1 -1  0  -1.8000e-04  235.645
3  2 -2  0  1  0  0  -1.0700e-03  235.655
3  2 -2  2 -1 -1  0  -3.0000e-05  237.445
3  2 -2  2 -1  0  0  -2.0000e-04  237.455
3  2 -1  0  0 -2  0  +3.0000e-05  245.535
3  2 -1  0  0 -1  0  -6.6000e-04  245.545
3  2 -1  0  0  0  0  -3.8900e-03  245.555
3  2 -1  0  2  0  0  +7.0000e-05  245.755
3  2 -1  2  0  0  0  +1.0000e-04  247.555
3  2  0 -2  1  0  0  +5.0000e-05  253.655
3  2  0  0 -1 -1  0  +4.0000e-05  255.445
3  2  0  0 -1  0  0  +2.2000e-04  255.455
3  2  0  0  1 -1  0  -3.0000e-05  255.645
3  2  0  0  1  0  0  +5.9000e-04  255.655
3  2  0  0  1  1  0  +1.1000e-04  255.665
3  2  0  2 -1  0  0  +1.1000e-04  257.455
3  2  1  0  0 -1  0  -2.1000e-04  265.545
3  2  1  0  0  0  0  +3.5900e-03  265.555
3  2  1  0  0  1  0  +6.8000e-04  265.565
3  2  2 -2  1  0  0  +4.0000e-05  273.655
3  2  2  0 -1  0  0  +1.9000e-04  275.455
3  2  2  0 -1  1  0  +4.0000e-05  275.465
3  2  3 -2  0  0  0  +4.0000e-05  283.555
3  2  3  0  0  0  0  +3.3000e-04  285.555
3  2  3  0  0  1  0  +2.1000e-04  285.565
3  2  3  0  0  2  0  +4.0000e-05  285.575
3  2  4  0 -1  0  0  +5.0000e-05  295.455
3  3 -2  0  2  0  0  +3.7000e-04  335.755
3  3 -2  2  0  0  0  +3.7000e-04  337.555
3  3 -1  0  1 -1  0  -1.2000e-04  345.645
3  3 -1  0  1  0  0  +2.1000e-03  345.655
3  3 -1  2 -1  0  0  +3.9000e-04  347.455
3  3  0 -2  2  0  0  -5.0000e-05  353.755
3  3  0  0  0 -1  0  -4.3000e-04  355.545
3  3  0  0  0  0  0  +7.6500e-03  355.555
3  3  1 -2  1  0  0  -1.1000e-04  363.655
3  3  1  0 -1  0  0  -4.3000e-04  365.455
3  3  1  0  1  0  0  +1.6000e-04  365.655
3  3  1  0  1  1  0  +7.0000e-05  365.665
3  3  2  0  0 -1  0  -4.0000e-05  375.545
3  3  2  0  0  0  0  +1.0000e-03  375.555
3  3  2  0  0  1  0  +4.3000e-04  375.565
3  3  2  0  0  2  0  +5.0000e-05  375.575
