l tau s  h  p  n  pp     Hs         DO
2  0  0  0  0  0  0  -3.1458e-01  055.555
2  0  0  0  0  1  0  +2.7930e-02  055.565
2  0  0  0  0  2  0  -2.8000e-04  055.575
2  0  0  0  2  1  0  +4.0000e-05  055.765
2  0  0  1  0 -1 -1  -4.0000e-05  056.544
2  0  0  1  0  0 -1  -4.9200e-03  056.554
2  0  0  1  0  0  1  +2.6000e-04  056.556
2  0  0  1  0  1 -1  +5.0000e-05  056.564
2  0  0  2 -2 -1  0  +2.0000e-05  057.345
2  0  0  2 -2  0  0  -3.2000e-04  057.355
2  0  0  2  0  0  0  -3.0980e-02  057.555
2  0  0  2  0  0 -2  -1.2000e-04  057.553
2  0  0  2  0  1  0  +7.7000e-04  057.565
2  0  0  2  0  2  0  +1.7000e-04  057.575
2  0  0  3  0  0 -1  -1.8100e-03  058.554
2  0  0  3  0  1 -1  +3.0000e-05  058.564
2  0  0  4  0  0 -2  -7.0000e-05  059.553
2  0  1 -3  1 -1  1  +2.0000e-05  062.646
2  0  1 -3  1  0  1  -2.9000e-04  062.656
2  0  1 -3  1  1  1  +0.0000e+00  062.666
2  0  1 -2 -1 -2  0  +2.0000e-05  063.435
2  0  1 -2 -1 -1  0  +7.0000e-05  063.445
2  0  1 -2  1 -1  0  +4.8000e-04  063.645
2  0  1 -2  1  0  0  -6.7300e-03  063.655
2  0  1 -2  1  1  0  +4.4000e-04  063.665
2  0  1 -1 -1 -1  1  +0.0000e+00  064.446
2  0  1 -1 -1  0  1  -2.2000e-04  064.456
2  0  1 -1  0  0  0  +2.0000e-04  064.555
2  0  1 -1  1  0 -1  +5.0000e-05  064.654
2  0  1  0 -1 -2  0  -3.0000e-05  065.435
2  0  1  0 -1 -1  0  +2.3100e-03  065.445
2  0  1  0 -1  0  0  -3.5180e-02  065.455
2  0  1  0 -1  1  0  +2.2900e-03  065.465
2  0  1  0  1  0  0  +1.8800e-03  065.655
2  0  1  0  1  1  0  +7.7000e-04  065.665
2  0  1  0  1  2  0  +2.1000e-04  065.675
2  0  1  1 -1  0 -1  +1.8000e-04  066.454
2  0  1  2 -1  0  0  +4.9000e-04  067.455
2  0  1  2 -1  1  0  +2.4000e-04  067.465
2  0  1  2 -1  2  0  +4.0000e-05  067.475
2  0  1  3 -1  0 -1  +2.0000e-05  068.454
2  0  2 -4  2  0  0  -1.1000e-04  071.755
2  0  2 -3  0  0  1  -3.8000e-04  072.556
2  0  2 -3  0  1  1  +2.0000e-05  072.566
2  0  2 -2  0 -1  0  -4.2000e-04  073.545
2  0  2 -2  0  0  0  -5.8300e-03  073.555
2  0  2 -2  0  1  0  +3.8000e-04  073.565
2  0  2 -2  2  0  0  +4.0000e-05  073.755
2  0  2 -1 -2  0  1  -4.0000e-05  074.356
2  0  2 -1 -1  0  0  +3.0000e-05  074.455
2  0  2 -1  0  0 -1  +6.0000e-05  074.554
2  0  2 -1  0  0  1  -2.0000e-04  074.556
2  0  2 -1  0  1  1  -4.0000e-05  074.566
2  0  2  0 -2 -1  0  +1.5000e-04  075.345
2  0  2  0 -2  0  0  -2.8800e-03  075.355
2  0  2  0 -2  1  0  +1.9000e-04  075.365
2  0  2  0  0  0  0  -6.6610e-02  075.555
2  0  2  0  0  1  0  -2.7620e-02  075.565
2  0  2  0  0  2  0  -2.5800e-03  075.575
2  0  2  0  0  3  0  +6.0000e-05  075.585
2  0  2  1 -2  0 -1  +3.0000e-05  076.354
2  0  2  1  0  0 -1  +2.3000e-04  076.554
2  0  2  1  0  1 -1  +6.0000e-05  076.564
2  0  2  2 -2  0  0  +2.0000e-04  077.355
2  0  2  2 -2  1  0  +8.0000e-05  077.365
2  0  2  2  0  2  0  +3.0000e-05  077.575
2  0  3 -5  1  0  1  -2.0000e-05  080.656
2  0  3 -4  1  0  0  -1.7000e-04  081.655
2  0  3 -3 -1  0  1  -7.0000e-05  082.456
2  0  3 -3  1  0  1  -1.1000e-04  082.656
2  0  3 -3  1  1  1  -4.0000e-05  082.666
2  0  3 -2 -1 -1  0  -9.0000e-05  083.445
2  0  3 -2 -1  0  0  -9.2000e-04  083.455
2  0  3 -2 -1  1  0  +6.0000e-05  083.465
2  0  3 -2  1  0  0  -2.4200e-03  083.655
2  0  3 -2  1  1  0  -1.0000e-03  083.665
2  0  3 -2  1  2  0  -9.0000e-05  083.675
2  0  3 -1 -1  0  1  -1.3000e-04  084.456
2  0  3 -1 -1  1  1  -4.0000e-05  084.466
