Date,obs_g,obs_pie,obs_r,obsg,obspie,obsr
1948-01-01,0.008525844,0.002566241,-0.009988519,0.01336379,0.01114708,0.00250313
1948-04-01,-0.003985906,0.011633541,-0.009863199,0.00085204,0.02021438,0.00262845
1948-07-01,-0.004559256,-0.005726139,-0.009637579,0.00027869,0.0028547,0.00285407
1948-10-01,-0.020547416,-0.013725179,-0.009562359,-0.01570947,-0.00514434,0.00292929
1949-01-01,-0.010062966,-0.020108349,-0.009562359,-0.00522502,-0.01152751,0.00292929
1949-04-01,0.003642004,-0.014394809,-0.009879909,0.00847995,-0.00581397,0.00261174
1949-07-01,-0.018074866,-0.007415339,-0.009796349,-0.01323692,0.0011655,0.0026953
1949-10-01,0.032789644,-0.011497139,-0.009729509,0.03762759,-0.0029163,0.00276214
1950-01-01,0.021975264,-0.004500389,-0.009604149,0.02681321,0.00408045,0.0028875
1950-04-01,0.030965904,0.012714931,-0.009436989,0.03580385,0.02129577,0.00305466
1950-07-01,0.015467534,0.010037471,-0.009144389,0.02030548,0.01861831,0.00334726
1950-10-01,0.009041364,0.028724641,-0.009069129,0.01387931,0.03730548,0.00342252
1951-01-01,0.013822194,-0.002674779,-0.008759689,0.01866014,0.00590606,0.00373196
1951-04-01,0.014634394,-0.008580839,-0.008475259,0.01947234,0,0.00401639
1951-07-01,-0.004886826,0.002598411,-0.008458529,-0.00004888,0.01117925,0.00403312
1951-10-01,0.005591614,-0.010700609,-0.008567289,0.01042956,-0.00211977,0.00392436
1952-01-01,-0.005399776,-0.006990589,-0.008366489,-0.00056183,0.00159025,0.00412516
1952-04-01,-0.001729536,0.003527761,-0.008023349,0.00310841,0.0121086,0.0044683
1952-07-01,0.024330984,-0.005967829,-0.007747079,0.02916893,0.00261301,0.00474457
1952-10-01,0.004320164,-0.008059059,-0.007529359,0.00915811,0.00052178,0.00496229
1953-01-01,0.001148244,-0.007017119,-0.007093769,0.00598619,0.00156372,0.00539788
1953-04-01,-0.013429026,-0.004422829,-0.007587979,-0.00859108,0.00415801,0.00490367
1953-07-01,-0.024370276,-0.005990839,-0.008801519,-0.01953233,0.00259,0.00369013
1953-10-01,-0.013297106,-0.004966069,-0.009838129,-0.00845916,0.00361477,0.00265352
1954-01-01,-0.006122926,-0.008065509,-0.010514699,-0.00128498,0.00051533,0.00197695
1954-04-01,0.003464124,-0.006522169,-0.010280869,0.00830207,0.00205867,0.00221078
1954-07-01,0.011639884,-0.006013439,-0.009938389,0.01647783,0.0025674,0.00255326
1954-10-01,0.020187964,-0.003976069,-0.009428629,0.02502591,0.00460477,0.00306302
1955-01-01,0.007332174,-0.004505439,-0.008776419,0.01217012,0.0040754,0.00371523
1955-04-01,0.005226454,-0.000983939,-0.007839179,0.0100644,0.0075969,0.00465247
1955-07-01,-0.002313726,0.001459401,-0.006632849,0.00252422,0.01004024,0.0058588
1955-10-01,-0.011814026,0.001359601,-0.006657999,-0.00697608,0.00994044,0.00583365
1956-01-01,0.000254084,-0.003155429,-0.006054309,0.00509203,0.00542541,0.00643734
1956-04-01,-0.008896526,0.004127051,-0.006012369,-0.00405858,0.01270789,0.00647928
1956-07-01,0.008611524,-0.004702989,-0.004879419,0.01344947,0.00387785,0.00761223
1956-10-01,-0.001779946,0.005351651,-0.004719859,0.003058,0.01393249,0.00777179
1957-01-01,-0.010036146,-0.001923659,-0.004610679,-0.0051982,0.00665718,0.00788097
1957-04-01,0.001416834,-0.002438599,-0.004072979,0.00625478,0.00614224,0.00841867
1957-07-01,-0.019168436,-0.008580839,-0.004182219,-0.01433049,0,0.00830943
1957-10-01,-0.035416116,0.002660501,-0.008090309,-0.03057817,0.01124134,0.00440134
1958-01-01,-0.001653396,-0.004861639,-0.010097119,0.00318455,0.0037192,0.00239453
