SFC_Hambleton_Jcn_P_Q,,,,,,,
Degree,Radians,25-29 kV Peak_P,25-29 kV Peak_Q,27-29 kV Cont._P,27-29 kV Cont._Q,25 kV Cont._P,25 kV Cont._Q
1,0.017453293,73.79375914,1.288074857,54.99162323,0.959882354,49.99238476,0.872620322
2,0.034906585,73.76003999,2.575757354,54.96649549,1.919472319,49.96954135,1.744974835
3,0.052359878,73.70385281,3.862655251,54.92462441,2.878477593,49.93147674,2.616797812
4,0.06981317,73.62521473,5.148376545,54.86602276,3.836606056,49.87820251,3.487823687
5,0.087266463,73.52414969,6.432529593,54.7907084,4.793565851,49.8097349,4.357787137
6,0.104719755,73.40068849,7.714723231,54.69870425,5.74906548,49.72609477,5.226423163
7,0.122173048,73.25486872,8.99456689,54.59003834,6.702813887,49.62730758,6.09346717
8,0.13962634,73.08673481,10.27167072,54.46474378,7.654520553,49.51340344,6.958655048
9,0.157079633,72.89633798,11.54564569,54.32285873,8.603895577,49.38441703,7.821723252
10,0.174532925,72.68373621,12.81610375,54.16442642,9.550649772,49.24038765,8.682408883
11,0.191986218,72.44899427,14.0826579,53.98949509,10.49449475,49.08135917,9.540449769
12,0.20943951,72.19218367,15.34492234,53.79811804,11.43514299,48.90738004,10.39558454
13,0.226892803,71.91338263,16.60251257,53.59035356,12.37230799,48.71850324,11.24755272
14,0.244346095,71.61267608,17.8550455,53.36626495,13.30570426,48.51478631,12.09609478
15,0.261799388,71.29015561,19.10213962,53.12592045,14.23504748,48.29629131,12.94095226
16,0.27925268,70.94591947,20.34341505,52.86939328,15.16005457,48.0630848,13.78186779
17,0.296705973,70.58007251,21.57849367,52.59676158,16.08044376,47.8152378,14.61858524
18,0.314159265,70.19272619,22.80699927,52.3081084,16.99593469,47.55282581,15.45084972
19,0.331612558,69.78399847,24.02855764,52.00352166,17.9062485,47.27592878,16.27840772
20,0.34906585,69.35401388,25.24279668,51.68309414,18.81110788,46.98463104,17.10100717
21,0.366519143,68.90290338,26.44934652,51.34692346,19.71023722,46.67902132,17.91839748
22,0.383972435,68.43080439,27.64783963,50.995112,20.60336264,46.35919273,18.73032967
23,0.401425728,67.93786071,28.83791094,50.62776694,21.49021207,46.02524267,19.53655642
24,0.41887902,67.4242225,30.01919794,50.24500017,22.37051537,45.67727288,20.33683215
25,0.436332313,66.89004622,31.19134081,49.84692829,23.2440044,45.31538935,21.13091309
26,0.453785606,66.33549459,32.35398249,49.43367255,24.11041307,44.93970231,21.91855734
27,0.471238898,65.76073652,33.50676883,49.00535883,24.96947749,44.55032621,22.69952499
28,0.488692191,65.16594709,34.64934869,48.56211761,25.82093595,44.14737964,23.47357814
29,0.506145483,64.55130749,35.78137402,48.10408389,26.66452911,43.73098536,24.24048101
30,0.523598776,63.91700493,36.9025,47.63139721,27.5,43.30127019,25
31,0.541052068,63.26323263,38.01238512,47.14420154,28.32709412,42.85836504,25.75190375
32,0.558505361,62.59018974,39.1106913,46.64264529,29.14555953,42.40240481,26.49596321
33,0.575958653,61.89808127,40.19708398,46.12688124,29.95514693,41.9335284,27.23195175
34,0.593411946,61.18711804,41.27123224,45.59706649,30.75560969,41.45187863,27.95964517
35,0.610865238,60.45751663,42.33280888,45.05336244,31.546704,40.95760221,28.67882182
36,0.628318531,59.70949927,43.38149055,44.49593469,32.32818888,40.45084972,29.38926261
37,0.645771823,58.94329382,44.41695778,43.92495305,33.09982627,39.9317755,30.09075116
38,0.663225116,58.15913367,45.43889519,43.34059145,33.86138114,39.40053768,30.78307377
39,0.680678408,57.35725769,46.44699146,42.74302788,34.61262151,38.85729807,31.46601955
40,0.698131701,56.53791012,47.44093953,42.13244437,35.35331853,38.30222216,32.13938048
41,0.715584993,55.70134057,48.42043663,41.50902691,36.08324659,37.73547901,32.80295145
42,0.733038286,54.84780384,49.3851844,40.8729654,36.80218335,37.15724127,33.45653032
43,0.750491578,53.97755995,50.33488896,40.22445359,37.5099098,36.56768508,34.099918
44,0.767944871,53.09087396,51.26926103,39.56368902,38.20621038,35.96699002,34.73291852
45,0.785398163,52.18801599,52.18801599,38.89087297,38.89087297,35.35533906,35.35533906
46,0.802851456,51.26926103,53.09087396,38.20621038,39.56368902,34.73291852,35.96699002
47,0.820304748,50.33488896,53.97755995,37.5099098,40.22445359,34.099918,36.56768508
48,0.837758041,49.3851844,54.84780384,36.80218335,40.8729654,33.45653032,37.15724127
49,0.855211333,48.42043663,55,36.08324659,41.50902691,32.80295145,37.73547901
50,0.872664626,47.44093953,55,35.35331853,42.13244437,32.13938048,38.30222216
51,0.890117919,46.44699146,55,34.61262151,42.74302788,31.46601955,38.85729807
52,0.907571211,45.43889519,55,33.86138114,43.34059145,30.78307377,39.40053768
53,0.925024504,44.41695778,55,33.09982627,43.92495305,30.09075116,39.9317755
54,0.942477796,43.38149055,55,32.32818888,44.49593469,29.38926261,40.45084972
55,0.959931089,42.33280888,55,31.546704,45.05336244,28.67882182,40.95760221
56,0.977384381,41.27123224,55,30.75560969,45.59706649,27.95964517,41.45187863
57,0.994837674,40.19708398,55,29.95514693,46.12688124,27.23195175,41.9335284
58,1.012290966,39.1106913,55,29.14555953,46.64264529,26.49596321,42.40240481
59,1.029744259,38.01238512,55,28.32709412,47.14420154,25.75190375,42.85836504
60,1.047197551,36.9025,55,27.5,47.63139721,25,43.30127019
61,1.064650844,35.78137402,55,26.66452911,48.10408389,24.24048101,43.73098536
62,1.082104136,34.64934869,55,25.82093595,48.56211761,23.47357814,44.14737964
63,1.099557429,33.50676883,55,24.96947749,49.00535883,22.69952499,44.55032621
64,1.117010721,32.35398249,55,24.11041307,49.43367255,21.91855734,44.93970231
65,1.134464014,31.19134081,55,23.2440044,49.84692829,21.13091309,45.31538935
66,1.151917306,30.01919794,55,22.37051537,50.24500017,20.33683215,45.67727288
67,1.169370599,28.83791094,55,21.49021207,50.62776694,19.53655642,46.02524267
68,1.186823891,27.64783963,55,20.60336264,50.995112,18.73032967,46.35919273
69,1.204277184,26.44934652,55,19.71023722,51.34692346,17.91839748,46.67902132
70,1.221730476,25.24279668,55,18.81110788,51.68309414,17.10100717,46.98463104
71,1.239183769,24.02855764,55,17.9062485,52.00352166,16.27840772,47.27592878
72,1.256637061,22.80699927,55,16.99593469,52.3081084,15.45084972,47.55282581
73,1.274090354,21.57849367,55,16.08044376,52.59676158,14.61858524,47.8152378
74,1.291543646,20.34341505,55,15.16005457,52.86939328,13.78186779,48.0630848
75,1.308996939,19.10213962,55,14.23504748,53.12592045,12.94095226,48.29629131
76,1.326450232,17.8550455,55,13.30570426,53.36626495,12.09609478,48.51478631
77,1.343903524,16.60251257,55,12.37230799,53.59035356,11.24755272,48.71850324
78,1.361356817,15.34492234,55,11.43514299,53.79811804,10.39558454,48.90738004
79,1.378810109,14.0826579,55,10.49449475,53.98949509,9.540449769,49.08135917
80,1.396263402,12.81610375,55,9.550649772,54.16442642,8.682408883,49.24038765
81,1.413716694,11.54564569,55,8.603895577,54.32285873,7.821723252,49.38441703
82,1.431169987,10.27167072,55,7.654520553,54.46474378,6.958655048,49.51340344
83,1.448623279,8.99456689,55,6.702813887,54.59003834,6.09346717,49.62730758
84,1.466076572,7.714723231,55,5.74906548,54.69870425,5.226423163,49.72609477
85,1.483529864,6.432529593,55,4.793565851,54.7907084,4.357787137,49.8097349
86,1.500983157,5.148376545,55,3.836606056,54.86602276,3.487823687,49.87820251
87,1.518436449,3.862655251,55,2.878477593,54.92462441,2.616797812,49.93147674
88,1.535889742,2.575757354,55,1.919472319,54.96649549,1.744974835,49.96954135
89,1.553343034,1.288074857,55,0.959882354,54.99162323,0.872620322,49.99238476
90,1.570796327,4.52E-15,55,3.37E-15,55,3.06E-15,50
91,1.588249619,-1.288074857,55,-0.959882354,54.99162323,-0.872620322,49.99238476
92,1.605702912,-2.575757354,55,-1.919472319,54.96649549,-1.744974835,49.96954135
93,1.623156204,-3.862655251,55,-2.878477593,54.92462441,-2.616797812,49.93147674
94,1.640609497,-5.148376545,55,-3.836606056,54.86602276,-3.487823687,49.87820251
95,1.658062789,-6.432529593,55,-4.793565851,54.7907084,-4.357787137,49.8097349
96,1.675516082,-7.714723231,55,-5.74906548,54.69870425,-5.226423163,49.72609477
97,1.692969374,-8.99456689,55,-6.702813887,54.59003834,-6.09346717,49.62730758
98,1.710422667,-10.27167072,55,-7.654520553,54.46474378,-6.958655048,49.51340344
99,1.727875959,-11.54564569,55,-8.603895577,54.32285873,-7.821723252,49.38441703
100,1.745329252,-12.81610375,55,-9.550649772,54.16442642,-8.682408883,49.24038765
101,1.762782545,-14.0826579,55,-10.49449475,53.98949509,-9.540449769,49.08135917
102,1.780235837,-15.34492234,55,-11.43514299,53.79811804,-10.39558454,48.90738004
103,1.79768913,-16.60251257,55,-12.37230799,53.59035356,-11.24755272,48.71850324
104,1.815142422,-17.8550455,55,-13.30570426,53.36626495,-12.09609478,48.51478631
105,1.832595715,-19.10213962,55,-14.23504748,53.12592045,-12.94095226,48.29629131
106,1.850049007,-20.34341505,55,-15.16005457,52.86939328,-13.78186779,48.0630848
107,1.8675023,-21.57849367,55,-16.08044376,52.59676158,-14.61858524,47.8152378
108,1.884955592,-22.80699927,55,-16.99593469,52.3081084,-15.45084972,47.55282581
109,1.902408885,-24.02855764,55,-17.9062485,52.00352166,-16.27840772,47.27592878
110,1.919862177,-25.24279668,55,-18.81110788,51.68309414,-17.10100717,46.98463104
111,1.93731547,-26.44934652,55,-19.71023722,51.34692346,-17.91839748,46.67902132
112,1.954768762,-27.64783963,55,-20.60336264,50.995112,-18.73032967,46.35919273
113,1.972222055,-28.83791094,55,-21.49021207,50.62776694,-19.53655642,46.02524267
114,1.989675347,-30.01919794,55,-22.37051537,50.24500017,-20.33683215,45.67727288
115,2.00712864,-31.19134081,55,-23.2440044,49.84692829,-21.13091309,45.31538935
116,2.024581932,-32.35398249,55,-24.11041307,49.43367255,-21.91855734,44.93970231
