0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,30_Matches
1,Liel Abada,il ISR,FW,Charlotte,22,2001,18.2,35.2,0.22,3.02,10.7,22.3,5.16,35.2,2.80,1.15,41.2,1.54,54.9,24.2,187.3,105.8,4.40,1.87,2.20,1.87,1.87,26.4,8.57,Matches
2,Jose Casas de Abadal,us USA,"FW,DF",Inter Miami,23,2000,0.3,110.0,0.00,13.3,66.7,33.3,0.00,110.0,3.33,3.33,100.0,0.00,0.0,63.3,443.3,133.3,3.33,0.00,0.00,0.00,0.00,83.3,10.0,Matches
3,Luis Abram,pe PER,DF,Atlanta Utd,27,1996,12.2,63.7,9.34,35.1,26.6,2.46,1.56,63.7,0.25,0.16,66.7,0.08,33.3,35.1,157.6,93.4,0.16,0.33,0.00,0.25,0.08,44.5,0.25,Matches
4,Lalas Abubakar,gh GHA,DF,Colorado Rapids,29,1994,14.2,57.1,6.27,27.7,28.2,1.55,0.99,57.1,0.00,0.00,,0.00,,32.3,147.5,67.3,0.14,0.07,0.00,0.28,0.00,38.4,0.07,Matches
5,Kellyn Acosta,us USA,MF,Chicago Fire,28,1995,25.6,59.8,0.66,10.7,34.6,14.8,0.55,59.8,1.25,0.63,50.0,0.59,46.9,33.4,146.8,55.2,0.82,0.90,0.12,1.17,0.74,41.3,1.76,Matches
6,Luciano Acosta,ar ARG,MF,FC Cincinnati,29,1994,30.0,69.3,0.27,3.67,29.1,37.4,5.00,69.2,7.10,2.87,40.4,4.00,56.3,43.0,231.6,120.4,4.03,3.33,1.80,2.60,1.73,50.9,7.90,Matches
7,Jordan Adebayo-Smith,ng NGA,"FW,MF",Minnesota Utd,24,2000,2.8,28.6,0.00,2.86,13.2,12.9,2.14,28.6,1.07,0.36,33.3,0.71,66.7,13.2,60.4,27.9,1.07,0.36,0.71,2.14,0.00,17.9,5.36,Matches
8,Sam Adekugbe,ca CAN,"DF,MF",Vancouver W'caps,29,1995,8.3,66.5,2.41,8.55,31.7,26.4,3.13,66.5,0.84,0.36,42.9,0.12,14.3,43.0,207.6,104.6,3.73,2.29,0.48,1.81,0.12,53.7,11.3,Matches
9,Samuel Adeniran,us USA,FW,Philadelphia Union,25,1998,1.5,44.0,0.00,3.33,17.3,25.3,8.67,44.0,2.67,0.67,25.0,2.00,75.0,26.0,239.3,137.3,4.67,2.67,2.67,2.67,2.00,28.0,6.67,Matches
10,Samuel Adeniran,us USA,"FW,MF",St. Louis,25,1998,6.6,33.6,0.91,2.27,11.5,20.5,5.91,33.6,2.58,0.91,35.3,1.36,52.9,19.7,139.2,72.4,2.42,1.67,1.52,4.39,1.67,24.7,7.73,Matches
11,Leonardo Afonso,br BRA,"FW,MF",Inter Miami,22,2001,2.7,51.5,1.11,7.04,22.6,23.0,4.81,51.5,2.59,1.85,71.4,0.74,28.6,29.3,161.9,79.3,2.59,1.48,0.74,3.33,0.74,35.2,11.5,Matches
12,Stephen Afrifa,ca CAN,FW,Sporting KC,22,2001,8.8,44.8,0.80,3.75,15.0,27.2,6.14,44.8,8.52,4.43,52.0,3.98,46.7,28.5,190.9,98.4,3.30,2.39,1.70,2.73,2.16,30.9,11.4,Matches
13,William Agada,ng NGA,FW,Sporting KC,24,1999,19.2,32.9,0.42,1.04,12.4,19.6,6.41,32.8,1.09,0.31,28.6,0.73,66.7,19.4,76.8,23.8,0.94,0.68,0.73,2.92,1.35,25.2,6.15,Matches
14,London Aghedo,us USA,DF,FC Cincinnati,23,2000,0.1,100.0,20.0,50.0,50.0,0.00,0.00,100.0,0.00,0.00,,0.00,,70.0,410.0,140.0,0.00,0.00,0.00,0.00,0.00,70.0,0.00,Matches
15,Daniel Aguirre,us USA,"MF,FW",LA Galaxy,24,1999,1.2,98.3,0.83,16.7,48.3,33.3,5.83,98.3,0.00,0.00,,0.00,,50.8,222.5,106.7,4.17,1.67,1.67,3.33,0.83,75.8,9.17,Matches
16,Patrick Agyemang,us USA,FW,Charlotte,23,2000,20.4,22.2,0.74,1.08,7.79,14.0,5.69,22.2,2.70,1.37,50.9,1.18,43.6,14.5,111.5,54.6,2.40,1.42,1.67,3.33,1.81,16.6,4.61,Matches
17,Ali Ahmed,ca CAN,"MF,DF",Vancouver W'caps,23,2000,15.0,56.9,1.67,7.93,24.0,26.1,3.33,56.9,3.40,1.93,56.9,1.13,33.3,36.7,251.9,136.7,4.87,2.67,1.53,2.20,1.40,40.0,9.80,Matches
