0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,30_Matches
18,Forster Ajago,gh GHA,FW,Nashville SC,22,2001,4.2,33.1,1.19,2.38,12.1,18.8,4.29,33.1,1.67,0.71,42.9,0.71,42.9,16.9,68.8,18.8,0.95,0.48,0.24,5.24,1.19,23.3,6.67,Matches
19,Carlos Akapo,gq EQG,DF,SJ Earthquakes,30,1993,17.8,70.4,4.94,27.2,31.6,12.1,0.79,70.4,1.29,0.67,52.2,0.56,43.5,32.0,177.1,87.5,2.08,1.24,0.17,1.12,0.73,37.4,2.75,Matches
20,Matai Akinmboni,us USA,DF,D.C. United,17,2006,4.9,53.9,6.33,24.3,25.3,4.29,0.00,53.9,0.00,0.00,,0.00,,28.2,103.7,56.5,0.41,0.61,0.00,0.00,0.20,30.6,0.41,Matches
21,Ayo Akinola,ca CAN,"FW,MF",Toronto FC,24,2000,1.0,33.0,0.00,1.00,16.0,16.0,3.00,33.0,2.00,0.00,0.0,2.00,100.0,24.0,103.0,22.0,0.00,1.00,0.00,2.00,5.00,29.0,5.00,Matches
22,Jordi Alba,es ESP,DF,Inter Miami,34,1989,24.8,84.4,3.19,22.2,37.6,25.5,3.10,84.4,1.05,0.52,50.0,0.52,50.0,47.2,193.1,113.2,2.06,2.18,0.44,0.77,0.20,60.5,8.71,Matches
23,Noah Allen,gr GRE,DF,Inter Miami,19,2004,10.3,77.5,8.16,41.1,32.3,4.47,0.39,77.5,0.39,0.19,50.0,0.19,50.0,48.7,265.5,159.2,1.36,0.39,0.10,0.97,0.68,55.4,0.58,Matches
24,Rasmus Alm,se SWE,"FW,MF",St. Louis,28,1995,9.3,36.8,0.97,5.70,13.0,18.4,2.69,36.8,1.94,0.75,38.9,1.18,61.1,17.8,89.1,24.5,0.65,0.65,0.00,1.94,1.18,21.4,6.56,Matches
25,Thiago Almada,ar ARG,"MF,FW",Atlanta Utd,22,2001,15.5,77.4,0.45,8.39,38.1,32.7,2.97,77.3,5.23,3.10,59.3,1.81,34.6,47.8,305.2,159.3,4.00,3.68,1.10,1.87,2.19,59.4,4.97,Matches
26,Fernando Álvarez,co COL,DF,CF Montréal,20,2003,23.8,69.6,6.97,35.6,31.7,2.52,0.25,69.6,0.21,0.08,40.0,0.13,60.0,41.3,166.6,87.7,0.80,0.55,0.00,0.25,0.13,49.9,0.17,Matches
27,Pedro Amador,pt POR,DF,Atlanta Utd,25,1998,9.0,64.4,4.89,19.8,28.4,16.8,0.78,64.4,0.33,0.11,33.3,0.22,66.7,30.8,151.0,92.2,2.33,1.78,0.22,0.44,0.22,36.3,3.44,Matches
28,Frankie Amaya,us USA,MF,NY Red Bulls,23,2000,17.9,56.9,1.68,11.6,34.4,11.5,0.39,56.9,0.50,0.34,66.7,0.11,22.2,33.2,163.3,83.2,1.12,1.62,0.06,0.84,0.39,38.4,1.51,Matches
29,Malte Amundsen,dk DEN,DF,Columbus Crew,25,1998,25.5,84.2,4.78,34.3,42.7,7.96,0.51,84.2,0.59,0.47,80.0,0.12,20.0,48.4,216.7,102.3,0.94,0.98,0.04,0.82,0.24,57.8,1.06,Matches
30,Markus Anderson,us USA,"MF,FW",Philadelphia Union,20,2003,1.1,26.4,0.00,10.0,7.27,9.09,4.55,26.4,2.73,1.82,66.7,0.91,33.3,12.7,90.0,52.7,2.73,1.82,1.82,2.73,0.91,14.5,4.55,Matches
31,Sebastian Anderson,us USA,DF,Colorado Rapids,21,2002,5.6,58.2,3.39,16.4,27.0,15.4,1.07,58.2,1.79,0.89,50.0,0.89,50.0,26.1,100.5,47.9,1.61,0.54,0.36,0.36,0.18,32.1,4.11,Matches
32,José Andrés Martínez,ve VEN,MF,Philadelphia Union,29,1994,11.3,59.1,1.68,15.6,34.3,10.0,0.80,59.1,1.68,0.97,57.9,0.71,42.1,32.8,155.4,73.0,1.06,1.06,0.09,2.12,0.71,36.5,1.06,Matches
33,Tomas Ángel,co COL,"FW,MF",LAFC,20,2003,0.6,48.3,0.00,3.33,13.3,31.7,10.0,48.3,1.67,0.00,0.0,1.67,100.0,31.7,141.7,78.3,1.67,1.67,1.67,1.67,0.00,33.3,5.00,Matches
34,Iván Angulo,co COL,"FW,MF",Orlando City,24,1999,30.7,52.9,0.85,8.24,19.8,25.4,3.88,52.9,3.29,1.43,43.6,1.69,51.5,35.3,198.0,101.8,3.52,2.08,1.73,1.86,0.81,40.1,9.51,Matches
35,Eugene Ansah,gh GHA,"FW,MF",FC Dallas,29,1994,4.8,31.5,0.83,4.58,11.3,15.6,4.38,31.5,2.08,0.83,40.0,1.25,60.0,19.0,128.3,54.0,2.08,0.63,1.46,2.71,1.46,23.3,6.46,Matches
36,Conner Antley,us USA,DF,D.C. United,28,1995,4.8,54.8,3.96,22.9,25.6,7.92,1.25,54.8,1.25,0.83,66.7,0.42,33.3,24.0,123.8,72.3,0.63,1.46,0.21,1.04,0.21,21.0,0.63,Matches
37,Antony,br BRA,"FW,MF",Portland Timbers,22,2001,21.0,47.1,0.95,7.24,19.6,21.8,4.19,47.1,5.33,1.81,33.9,3.05,57.1,29.4,229.1,110.2,4.19,3.10,1.52,2.57,1.29,32.4,9.62,Matches
38,Brian Anunga,cm CMR,MF,Nashville SC,27,1996,16.1,57.9,2.73,16.1,34.0,8.20,0.50,57.9,1.24,0.87,70.0,0.25,20.0,32.2,159.0,58.0,0.68,0.99,0.06,1.43,0.93,38.3,1.30,Matches
39,Cristian Arango,co COL,"FW,MF",Real Salt Lake,28,1995,25.4,36.6,0.24,1.14,15.0,21.0,5.91,36.5,3.46,1.38,39.8,1.89,54.5,24.5,139.4,73.2,2.68,2.20,0.94,2.05,1.69,27.9,6.61,Matches
40,César Araujo,uy URU,MF,Orlando City,22,2001,26.9,64.5,1.93,15.0,37.7,12.5,0.63,64.5,0.82,0.41,50.0,0.26,31.8,35.1,148.6,64.6,1.00,1.30,0.04,0.74,0.71,46.6,1.00,Matches
41,Miguel Araujo,pe PER,DF,Portland Timbers,29,1994,17.1,58.7,7.72,31.3,26.4,1.46,0.82,58.7,0.29,0.23,80.0,0.06,20.0,31.0,137.8,78.6,0.18,0.06,0.00,0.18,0.18,37.1,0.18,Matches
42,Scott Arfield,ca CAN,"MF,FW",Charlotte,35,1988,4.2,39.0,0.95,4.52,17.4,17.6,3.10,39.0,1.67,0.71,42.9,0.95,57.1,21.7,83.3,37.4,0.71,0.71,0.00,2.14,0.24,26.7,4.76,Matches
43,Max Arfsten,us USA,DF,Columbus Crew,22,2001,21.8,61.1,1.47,12.8,22.6,26.5,4.22,61.1,3.85,2.43,63.1,1.19,31.0,39.4,227.9,107.9,3.30,1.56,1.19,1.19,1.01,42.6,10.0,Matches
44,Allan Arigoni,ch SUI,DF,Chicago Fire,25,1998,23.3,64.1,2.66,20.6,28.6,15.3,1.42,64.1,2.27,0.77,34.0,1.37,60.4,34.4,180.3,87.5,2.15,1.72,0.56,1.59,0.94,40.1,4.94,Matches
45,Daniel Armando Ríos,mx MEX,FW,Atlanta Utd,28,1995,15.1,32.3,1.19,2.12,13.8,16.4,5.36,32.2,0.86,0.40,46.2,0.46,53.8,18.9,81.7,26.0,0.93,1.06,0.86,2.78,0.99,23.6,4.57,Matches
46,Stuart Armstrong,sct SCO,"MF,FW",Vancouver W'caps,31,1992,1.4,73.6,2.14,5.71,32.9,35.0,5.71,73.6,7.14,2.86,40.0,4.29,60.0,37.9,198.6,91.4,2.14,2.14,0.00,0.71,0.00,56.4,7.86,Matches
47,Xavier Arreaga,ec ECU,DF,NE Revolution,29,1994,21.5,65.8,10.5,40.2,23.4,2.51,0.70,65.8,0.56,0.37,66.7,0.14,25.0,36.6,189.6,104.2,0.37,0.42,0.00,0.33,0.23,44.8,0.23,Matches
48,Xavier Arreaga,ec ECU,DF,Seattle Sounders,29,1994,2.8,73.2,6.43,40.4,32.1,1.43,1.07,73.2,0.71,0.36,50.0,0.36,50.0,44.6,204.3,68.9,0.00,0.00,0.00,0.36,0.00,53.6,0.00,Matches
49,Kervin Arriaga,hn HON,"DF,MF",Minnesota Utd,26,1998,9.8,63.3,6.84,26.2,31.2,6.22,1.43,63.3,1.02,0.51,50.0,0.20,20.0,29.5,160.0,68.4,0.51,0.71,0.00,0.82,0.41,32.9,0.31,Matches
50,Paul Arriola,us USA,"DF,MF",FC Dallas,28,1995,27.3,50.3,1.58,12.5,21.4,17.0,2.86,50.2,1.54,0.55,35.7,0.84,54.8,28.6,149.1,76.6,2.20,1.50,0.66,1.90,0.81,34.4,5.75,Matches
51,Artur,br BRA,MF,Houston Dynamo,27,1996,33.8,83.1,3.61,22.7,50.1,10.6,0.24,83.1,0.83,0.53,64.3,0.27,32.1,48.5,193.0,72.9,0.41,0.95,0.03,0.77,0.53,62.1,0.71,Matches
52,Yamil Asad,ar ARG,DF,FC Cincinnati,29,1994,8.9,83.4,1.80,16.6,32.5,34.7,3.26,83.4,2.58,1.12,43.5,1.24,47.8,51.0,280.7,136.2,3.37,2.13,0.45,2.36,0.79,57.9,11.6,Matches
53,Dairon Asprilla,co COL,"FW,DF",Portland Timbers,31,1992,7.6,47.2,2.50,9.21,21.4,18.3,2.24,47.2,2.89,1.18,40.9,1.58,54.5,26.3,137.1,72.2,1.71,1.18,0.26,3.55,1.45,29.7,6.58,Matches
54,Joshua Atencio,us USA,MF,Seattle Sounders,22,2002,11.9,79.5,2.61,15.5,42.1,23.0,2.61,79.5,1.76,1.09,61.9,0.67,38.1,40.5,194.3,87.5,2.27,2.44,0.42,2.61,1.43,52.0,3.95,Matches
55,Eduard Atuesta,co COL,MF,LAFC,26,1997,24.3,69.3,1.52,12.6,38.7,18.8,1.52,69.3,2.84,1.44,50.7,1.11,39.1,41.6,200.5,90.3,1.52,1.19,0.21,1.81,1.40,47.9,2.96,Matches
56,Julián Aude,ar ARG,DF,LA Galaxy,20,2003,18.8,69.2,4.47,24.9,30.7,14.3,1.17,69.2,2.34,1.44,61.4,0.69,29.5,35.6,161.4,77.8,1.38,1.28,0.21,1.38,1.01,44.7,3.56,Matches
57,Tomás Avilés,ar ARG,DF,Inter Miami,19,2004,24.4,79.5,9.47,43.3,34.7,1.76,0.70,79.5,0.41,0.20,50.0,0.20,50.0,48.6,203.8,116.4,0.61,0.33,0.04,0.74,0.12,60.1,0.16,Matches
58,Chidozie Awaziem,ng NGA,DF,FC Cincinnati,27,1997,5.9,81.5,5.42,27.1,49.5,5.59,1.36,81.5,0.17,0.17,100.0,0.00,0.0,53.4,253.2,162.4,1.53,1.02,0.00,0.51,0.34,59.0,1.19,Matches
59,David Ayala,ar ARG,MF,Portland Timbers,21,2002,16.3,67.8,3.87,19.4,40.1,8.65,0.67,67.8,1.78,1.23,69.0,0.43,24.1,38.9,191.3,80.6,0.43,1.04,0.12,0.67,1.17,44.4,1.23,Matches
60,Hugo Bacharach,es ESP,DF,Minnesota Utd,22,2001,1.0,66.0,5.00,31.0,35.0,0.00,0.00,66.0,0.00,0.00,,0.00,,46.0,227.0,74.0,0.00,0.00,0.00,1.00,0.00,45.0,0.00,Matches
61,Dominique Badji,sn SEN,"MF,FW",D.C. United,31,1992,3.3,30.0,0.61,1.82,10.6,17.6,5.45,30.0,1.21,0.91,75.0,0.30,25.0,20.3,116.4,50.6,2.73,1.21,0.91,1.21,0.91,22.1,6.67,Matches
62,Corey Baird,us USA,"FW,MF",FC Cincinnati,28,1996,10.6,28.7,0.57,4.43,10.8,13.9,3.49,28.7,0.85,0.47,55.6,0.38,44.4,16.4,62.6,24.9,0.66,0.75,0.09,1.42,1.32,20.9,4.62,Matches
63,Esmir Bajraktarevic,ba BIH,"FW,MF",NE Revolution,18,2005,22.0,45.8,0.95,5.59,19.3,22.0,3.82,45.8,3.18,1.68,52.9,1.36,42.9,30.1,222.8,100.0,3.18,2.36,1.36,2.09,1.18,33.1,7.05,Matches
64,Cody Baker,us USA,"DF,MF",Seattle Sounders,20,2004,5.3,69.8,3.77,15.7,34.7,19.8,1.51,69.8,1.13,0.38,33.3,0.75,66.7,37.4,178.5,96.2,2.45,1.70,0.94,1.51,0.75,42.1,5.85,Matches
65,Reed Baker-Whiting,us USA,"DF,FW",Seattle Sounders,18,2005,8.7,68.6,3.79,17.2,29.8,22.5,1.49,68.6,2.87,1.38,48.0,1.26,44.0,34.0,191.1,94.7,2.41,1.49,0.46,1.61,0.92,43.0,7.13,Matches
66,Monsef Bakrar,dz ALG,FW,NYCFC,23,2001,15.0,33.7,0.67,1.93,11.1,21.1,7.47,33.7,2.53,1.00,39.5,1.33,52.6,17.7,89.5,35.9,1.67,1.13,1.13,4.40,1.93,22.9,8.33,Matches
67,Michael Baldisimo,ph PHI,MF,SJ Earthquakes,23,2000,0.3,46.7,0.00,16.7,26.7,6.67,3.33,46.7,0.00,0.00,,0.00,,16.7,40.0,23.3,0.00,0.00,0.00,0.00,0.00,23.3,3.33,Matches
68,Fidel Barajas,mx MEX,FW,Real Salt Lake,17,2006,6.3,39.8,0.16,3.49,12.9,24.0,3.33,39.8,1.90,0.32,16.7,1.59,83.3,27.3,153.0,81.4,2.86,2.38,0.79,2.86,1.59,29.2,9.52,Matches
69,Tai Baribo,il ISR,FW,Philadelphia Union,26,1998,15.7,30.2,0.19,2.55,13.8,14.1,5.35,30.2,1.27,0.32,25.0,0.89,70.0,15.4,59.2,21.3,0.51,0.51,0.32,1.53,1.08,19.4,4.14,Matches
70,Tom Barlow,us USA,"FW,MF",Chicago Fire,28,1995,8.3,31.4,1.08,3.01,12.7,16.1,5.06,31.4,0.24,0.12,50.0,0.12,50.0,17.8,82.4,26.1,1.08,0.60,0.36,2.65,0.96,22.8,5.90,Matches
71,Luis Barraza,us USA,GK,NYCFC,27,1996,0.9,35.6,27.8,35.6,0.00,0.00,0.00,35.6,0.00,0.00,,0.00,,12.2,35.6,12.2,0.00,0.00,0.00,0.00,0.00,23.3,0.00,Matches
72,Lucas Bartlett,us USA,DF,D.C. United,26,1997,30.4,59.9,6.84,27.2,30.2,2.80,1.55,59.9,0.13,0.07,50.0,0.07,50.0,30.8,155.6,78.5,0.43,0.36,0.03,0.72,0.13,33.7,0.46,Matches
73,Ethan Bartlow,us USA,DF,Houston Dynamo,23,2000,9.5,73.3,10.6,42.0,29.3,2.00,0.74,73.3,0.84,0.63,75.0,0.21,25.0,43.8,206.8,127.2,0.42,0.42,0.11,0.21,0.11,51.6,0.21,Matches
74,Cole Bassett,us USA,"MF,FW",Colorado Rapids,22,2001,28.5,70.2,1.51,10.4,35.6,24.9,3.61,70.2,1.30,0.70,54.1,0.49,37.8,44.6,230.1,117.5,2.70,2.46,0.70,1.44,1.40,53.3,4.81,Matches
75,Amine Bassi,fr FRA,MF,Houston Dynamo,26,1997,28.1,73.8,0.11,5.94,36.7,31.6,2.99,73.8,1.39,0.71,51.3,0.53,38.5,46.5,232.1,114.6,3.31,2.24,0.57,1.71,0.93,61.6,7.30,Matches
76,Zorhan Bassong,ca CAN,"DF,MF",Sporting KC,24,1999,13.9,62.5,2.16,16.4,28.9,17.6,1.01,62.5,0.94,0.58,61.5,0.36,38.5,34.3,167.9,65.9,1.87,1.37,0.22,1.22,0.58,39.4,3.38,Matches
77,Josh Bauer,us USA,DF,Nashville SC,25,1998,20.7,60.0,5.94,29.5,26.0,4.69,0.82,60.0,0.43,0.05,11.1,0.34,77.8,31.6,137.6,66.5,0.63,0.48,0.05,0.58,0.34,38.0,0.68,Matches
78,Tanner Beason,us USA,DF,SJ Earthquakes,26,1997,18.1,54.4,9.89,33.9,18.4,2.10,0.88,54.4,0.28,0.11,40.0,0.11,40.0,26.1,105.3,55.1,0.11,0.06,0.00,0.39,0.00,32.6,0.28,Matches
79,Adam Beaudry,us USA,GK,Colorado Rapids,17,2006,1.0,25.0,18.0,25.0,0.00,0.00,0.00,25.0,0.00,0.00,,0.00,,7.00,24.0,21.0,0.00,0.00,0.00,0.00,0.00,9.00,0.00,Matches
80,Gavin Beavers,us USA,GK,Real Salt Lake,18,2005,11.0,35.5,28.6,34.9,0.55,0.00,0.00,35.5,0.00,0.00,,0.00,,20.6,96.5,56.0,0.00,0.00,0.00,0.27,0.00,16.9,0.00,Matches
81,Simon Becher,us USA,FW,St. Louis,24,1999,6.1,31.8,0.16,2.46,18.0,12.0,3.61,31.8,2.95,0.98,33.3,1.64,55.6,19.0,99.8,42.3,2.13,0.49,0.98,3.93,3.11,24.4,5.74,Matches
82,Alejandro Bedoya,us USA,MF,Philadelphia Union,36,1987,16.2,55.9,1.73,9.14,28.7,18.1,4.38,55.9,0.49,0.31,62.5,0.19,37.5,29.5,136.8,62.0,0.86,0.68,0.06,0.56,0.43,38.0,5.80,Matches
83,Jon Bell,jm JAM,DF,Seattle Sounders,26,1997,5.4,61.9,7.41,32.0,27.0,2.96,0.74,61.9,0.00,0.00,,0.00,,31.3,125.0,58.9,0.19,0.00,0.00,0.00,0.19,38.5,0.00,Matches
84,Matthew Bell,jm JAM,FW,Real Salt Lake,21,2002,0.2,80.0,0.00,5.00,35.0,40.0,10.0,80.0,10.0,0.00,0.0,5.00,50.0,50.0,775.0,680.0,30.0,10.0,10.0,0.00,0.00,60.0,20.0,Matches
85,Ben Bender,us USA,"MF,FW",Charlotte,22,2001,2.2,35.0,0.45,4.09,16.4,15.0,3.64,35.0,1.82,1.36,75.0,0.00,0.0,22.7,125.9,64.5,2.27,1.82,0.00,1.36,1.36,27.3,7.27,Matches
86,Christian Benteke,be BEL,FW,D.C. United,33,1990,28.8,35.4,1.42,2.12,16.0,17.5,6.25,35.3,1.04,0.35,33.3,0.69,66.7,16.1,56.7,21.5,0.52,0.66,0.38,1.77,0.76,28.8,4.03,Matches
87,Nimfasha Berchimas,us USA,"FW,MF",Charlotte,15,2008,0.3,60.0,0.00,10.0,23.3,26.7,0.00,60.0,10.0,0.00,0.0,10.0,100.0,36.7,183.3,40.0,0.00,3.33,0.00,10.0,10.0,36.7,16.7,Matches
88,Sebastian Berhalter,us USA,"MF,DF",Vancouver W'caps,22,2001,20.7,61.2,2.66,11.8,29.4,20.3,1.64,61.2,0.82,0.34,41.2,0.48,58.8,29.5,128.0,66.5,1.11,1.93,0.14,1.16,0.97,37.8,3.38,Matches
89,Federico Bernardeschi,it ITA,"DF,MF",Toronto FC,29,1994,27.3,62.5,1.61,8.61,21.4,33.9,5.46,62.4,6.48,3.15,48.6,2.82,43.5,39.1,309.0,142.1,5.09,3.08,2.71,2.60,1.65,43.1,10.6,Matches
90,Miguel Berry,es ESP,FW,LA Galaxy,26,1997,9.2,28.3,1.30,2.72,10.9,15.1,4.35,28.3,1.74,0.76,43.8,0.87,50.0,14.0,76.3,39.9,1.85,1.09,0.76,2.72,1.63,18.0,4.89,Matches
91,Pep Biel,es ESP,"FW,MF",Charlotte,27,1996,6.8,47.8,0.88,6.03,18.1,24.4,3.38,47.8,3.38,1.18,34.8,2.21,65.2,29.1,217.8,101.2,3.97,3.24,1.18,2.06,1.18,34.1,9.26,Matches
92,Alessandro Biello,ca CAN,MF,CF Montréal,17,2006,0.2,80.0,5.00,10.0,55.0,15.0,0.00,80.0,0.00,0.00,,0.00,,65.0,190.0,25.0,0.00,0.00,0.00,0.00,10.0,55.0,0.00,Matches
93,Steve Birnbaum,us USA,DF,D.C. United,33,1991,3.8,53.7,3.95,24.2,26.6,2.89,2.37,53.7,0.26,0.26,100.0,0.00,0.0,23.7,87.9,43.9,0.53,0.00,0.00,0.26,0.26,30.8,0.53,Matches
94,Guilherme Biro,br BRA,DF,Austin,23,2000,25.4,61.2,3.54,21.2,27.1,13.4,1.57,61.2,1.54,0.91,59.0,0.47,30.8,31.2,159.9,81.3,1.54,0.75,0.16,0.87,0.71,37.0,2.60,Matches
95,Tristan Blackmon,us USA,DF,Vancouver W'caps,27,1996,21.0,74.2,6.52,35.0,33.3,6.24,1.43,74.2,0.14,0.10,66.7,0.05,33.3,41.8,168.8,87.3,0.57,0.43,0.05,0.38,0.19,51.1,0.57,Matches
96,Andre Blake,jm JAM,GK,Philadelphia Union,33,1990,12.4,25.5,23.1,25.2,0.24,0.00,0.00,25.5,0.00,0.00,,0.00,,13.5,75.9,46.0,0.00,0.00,0.00,0.00,0.00,8.06,0.00,Matches
97,Latif Blessing,gh GHA,"FW,MF",Houston Dynamo,27,1996,11.0,38.7,0.73,6.36,18.9,13.5,3.73,38.7,1.36,0.27,20.0,1.00,73.3,23.9,119.1,53.8,1.91,0.73,0.64,1.82,1.36,27.3,5.00,Matches
98,Njabulo Blom,za RSA,MF,St. Louis,24,1999,9.7,48.4,0.93,10.7,29.6,9.28,0.52,48.4,0.82,0.62,75.0,0.21,25.0,25.8,117.7,53.2,1.03,0.93,0.21,1.44,0.93,29.3,1.44,Matches
99,Emmanuel Boateng,gh GHA,FW,NE Revolution,30,1994,7.8,43.5,1.03,5.26,17.8,20.5,3.59,43.5,1.67,0.64,38.5,1.03,61.5,27.4,160.3,55.1,2.05,0.90,0.64,2.44,1.28,30.6,10.1,Matches
100,Isaac Boehmer,us USA,GK,Vancouver W'caps,22,2001,1.0,38.0,30.0,38.0,0.00,0.00,0.00,38.0,0.00,0.00,,0.00,,21.0,71.0,43.0,0.00,0.00,0.00,0.00,0.00,15.0,0.00,Matches
101,Mateusz Bogusz,pl POL,FW,LAFC,22,2001,29.0,47.4,0.31,3.72,20.7,23.6,3.31,47.4,2.31,1.07,46.3,1.14,49.3,29.3,172.3,74.1,2.48,1.62,0.48,2.17,1.31,33.9,6.97,Matches
102,Moïse Bombito,ca CAN,DF,Colorado Rapids,23,2000,17.2,59.7,5.81,24.5,32.3,3.37,1.40,59.7,0.41,0.23,57.1,0.17,42.9,34.9,184.4,104.7,0.70,0.23,0.06,0.76,0.17,36.3,0.52,Matches
103,Alex Bono,us USA,GK,D.C. United,29,1994,29.0,38.7,26.8,37.3,1.34,0.00,0.00,38.7,0.03,0.00,0.0,0.03,100.0,21.4,111.9,53.7,0.00,0.00,0.00,0.03,0.00,15.6,0.00,Matches
104,Shanyder Borgelin,ht HAI,"FW,MF",Inter Miami,22,2001,1.5,32.0,2.00,5.33,12.7,14.7,4.67,32.0,1.33,0.00,0.0,0.67,50.0,19.3,112.7,59.3,2.00,0.67,2.00,3.33,1.33,22.0,3.33,Matches
