0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,22_Ast,23_xAG,"xA: Expected AssistsExpected AssistsThe likelihood each completed pass becomes a goal assistsgiven the pass type, phase of play, location and distance.Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader","Assists - xAGAssists minus Expected Goals AssistedProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",26_KP,27_1/3,28_PPA,29_CrsPA,30_PrgP,31_Matches
1,Paxten Aaronson,us USA,MF,Colorado Rapids,22-100,2003,6.4,34.1,39.5,86.2,541.4,149.2,16.1,17.5,92.0,15.0,15.9,94.1,1.72,3.91,44.0,0.00,0.09,0.16,-0.09,1.56,4.53,0.78,0.00,6.56,Matches
2,Liel Abada,il ISR,"FW,MF",Charlotte,24-062,2001,16.5,21.3,28.1,75.6,304.7,91.5,12.8,15.3,84.1,6.79,8.91,76.2,1.09,1.88,58.1,0.06,0.17,0.16,-0.11,1.64,1.58,1.64,0.24,3.15,Matches
3,Wessam Abou Ali,ps PLE,FW,Columbus Crew,26-334,1999,3.4,16.5,23.5,70.0,214.4,40.6,10.6,13.8,76.6,4.41,5.88,75.0,0.29,0.29,100.0,0.00,0.18,0.09,-0.18,1.18,1.18,0.59,0.00,2.35,Matches
4,Luis Abram,pe PER,DF,Atlanta Utd,29-280,1996,16.6,53.2,60.5,87.9,1034.4,380.9,17.0,18.1,94.0,30.4,32.2,94.4,5.06,9.04,56.0,0.00,0.00,0.02,0.00,0.00,4.64,0.30,0.06,4.52,Matches
5,Lalas Abubakar,gh GHA,DF,FC Dallas,30-344,1994,18.4,32.4,37.4,86.6,530.3,229.7,14.9,16.1,92.3,15.2,16.7,91.2,1.63,3.48,46.9,0.00,0.01,0.02,-0.01,0.22,2.17,0.16,0.00,1.79,Matches
6,Bryan Acosta,hn HON,MF,Nashville SC,32-010,1993,2.5,68.4,74.8,91.4,1180.8,338.4,32.8,32.8,100.0,27.2,30.0,90.7,6.80,10.0,68.0,0.00,0.24,0.20,-0.24,0.80,9.20,1.20,0.00,6.80,Matches
7,Kellyn Acosta,us USA,MF,Chicago Fire,30-133,1995,7.3,46.7,53.6,87.2,699.9,180.3,26.3,29.0,90.6,16.8,17.9,93.9,2.19,3.97,55.2,0.00,0.05,0.03,-0.05,0.41,3.56,0.55,0.00,3.70,Matches
8,Luciano Acosta,ar ARG,"MF,FW",FC Dallas,31-187,1994,18.8,36.5,51.4,70.9,628.7,261.9,18.8,22.3,84.5,12.1,16.1,75.2,4.41,8.35,52.9,0.05,0.21,0.31,-0.15,2.23,5.80,2.55,0.53,6.91,Matches
9,Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-322,1995,3.2,64.7,74.4,87.0,946.3,306.9,38.1,40.9,93.1,24.4,28.8,84.8,1.56,2.19,71.4,0.00,0.09,0.06,-0.09,0.63,5.00,0.63,0.00,5.00,Matches
10,Leonardo Afonso,br BRA,"DF,FW",Atlanta Utd,24-144,2001,0.9,30.0,42.2,71.1,397.8,105.6,18.9,24.4,77.3,10.0,12.2,81.8,0.00,1.11,0.0,0.00,0.67,0.11,-0.67,3.33,0.00,3.33,0.00,3.33,Matches
11,Leonardo Afonso,br BRA,"FW,MF",Inter Miami,24-144,2001,1.0,12.0,17.0,70.6,152.0,9.00,5.00,7.00,71.4,3.00,5.00,60.0,1.00,2.00,50.0,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,Matches
12,Stephen Afrifa,ca CAN,"MF,FW",Sporting KC,24-288,2001,1.5,38.7,47.3,81.7,490.7,101.3,25.3,28.0,90.5,10.0,12.0,83.3,0.67,2.00,33.3,0.00,0.13,0.13,-0.13,2.00,0.67,0.67,0.00,4.67,Matches
13,William Agada,ng NGA,FW,Sporting KC,26-078,1999,1.1,19.1,20.0,95.5,278.2,40.9,11.8,11.8,100.0,5.45,5.45,100.0,1.82,2.73,66.7,0.00,0.18,0.36,-0.18,1.82,0.00,0.91,0.00,1.82,Matches
14,William Agada,ng NGA,FW,Real Salt Lake,26-078,1999,13.0,13.5,17.8,76.2,179.2,22.4,7.46,9.46,78.9,4.23,5.23,80.9,0.54,0.54,100.0,0.15,0.12,0.08,0.04,1.31,1.00,0.23,0.00,0.85,Matches
