team,name,roster_designation,current_status,contract_thru,option_years,category,roster_model,team_gam_2025
ATLANTA UNITED,Miguel Almirón,Designated Player,,2027,2028,Designated Player,Designated Player Model,
ATLANTA UNITED,Emmanuel Latte Lath,Designated Player,,2028,2029,Designated Player,Designated Player Model,
ATLANTA UNITED,Alexey Miranchuk,Designated Player,,2027,2028,Designated Player,Designated Player Model,
ATLANTA UNITED,Edwin Mosquera,U22 Initiative,,2025,2026,U22 Initiative,Designated Player Model,
ATLANTA UNITED,Luis Abram,TAM Player,,2025,2026,TAM Player,Designated Player Model,
ATLANTA UNITED,Stian Gregersen,TAM Player,,2027,2028,TAM Player,Designated Player Model,
ATLANTA UNITED,Brooks Lennon,TAM Player,,2025,2026,TAM Player,Designated Player Model,
ATLANTA UNITED,Saba Lobjanidze,TAM Player,,2026,,TAM Player,Designated Player Model,
ATLANTA UNITED,Tristan Muyumba,TAM Player,,2026,2027,TAM Player,Designated Player Model,
ATLANTA UNITED,Xande Silva,TAM Player,,2025,2026,TAM Player,Designated Player Model,
ATLANTA UNITED,Bartosz Slisz,TAM Player,,2028,,TAM Player,Designated Player Model,
ATLANTA UNITED,Jamal Thiaré,TAM Player,,2025,2026,TAM Player,Designated Player Model,
ATLANTA UNITED,Pedro Amador,,,2026,2027,Standard,Designated Player Model,
ATLANTA UNITED,Josh Cohen,,,2025,2026,Standard,Designated Player Model,
ATLANTA UNITED,Brad Guzan,,,2025,,Standard,Designated Player Model,
ATLANTA UNITED,Ronald Hernández,,,2025,2026,Standard,Designated Player Model,
ATLANTA UNITED,Mateusz Klich,,,2025,,Standard,Designated Player Model,
ATLANTA UNITED,Derrick Williams,,,2025,2026,Standard,Designated Player Model,
ATLANTA UNITED,Luke Brennan,Homegrown Player,,2027,2028,Homegrown,Designated Player Model,
ATLANTA UNITED,Noah Cobb,Homegrown Player,,2026,2027,Homegrown,Designated Player Model,
ATLANTA UNITED,Matthew Edwards,Homegrown Player,,2025,"2026, 2027",Homegrown,Designated Player Model,
ATLANTA UNITED,Ajani Fortune,Homegrown Player,,2025,2026,Homegrown,Designated Player Model,
ATLANTA UNITED,Ashton Gordon,Homegrown Player,,2026,"2027, 2028",Homegrown,Designated Player Model,
ATLANTA UNITED,Jayden Hibbert,,,2025,"2026, 2027, 2028",Standard,Designated Player Model,
ATLANTA UNITED,Efrain Morales,Homegrown Player,,2025,2026,Homegrown,Designated Player Model,
ATLANTA UNITED,William Reilly,Homegrown Player,,2025,"2026, 2027, 2028",Homegrown,Designated Player Model,
ATLANTA UNITED,Cayman Togashi,,,2025,2026,Standard,Designated Player Model,
ATLANTA UNITED,Adyn Torres,Homegrown Player,,2027,2028,Homegrown,Designated Player Model,
AUSTIN FC,Osman Bukari,Designated Player,,2027,2028,Designated Player,Designated Player Model,
AUSTIN FC,Myrto Uzuni,Designated Player,,2027,2028,Designated Player,Designated Player Model,
AUSTIN FC,Brandon Vazquez,Designated Player,,2028,2029,Designated Player,Designated Player Model,
AUSTIN FC,Nicolás Dubersarsky,U22 Initiative,,2029,2030,U22 Initiative,Designated Player Model,
AUSTIN FC,Julio Cascante,TAM Player,,2025,2026,TAM Player,Designated Player Model,
AUSTIN FC,Leo Väisänen,TAM Player,,2026,2027,TAM Player,Designated Player Model,
AUSTIN FC,Guilherme Biro,,,2027,2028,Standard,Designated Player Model,
AUSTIN FC,Stefan Cleveland,,,2025,2026,Standard,Designated Player Model,
AUSTIN FC,Mikkel Desler,,,2027,2028,Standard,Designated Player Model,
AUSTIN FC,Jon Gallagher,,,2026,2027,Standard,Designated Player Model,
AUSTIN FC,Brendan Hines-Ike,,,2025,2026,Standard,Designated Player Model,
AUSTIN FC,Žan Kolmanič,,,2026,2027,Standard,Designated Player Model,
AUSTIN FC,Jáder Obrian,,,2026,2027,Standard,Designated Player Model,
AUSTIN FC,Dani Pereira,,,2025,2026,Standard,Designated Player Model,
AUSTIN FC,Besard Sabovic,,,2027,2028,Standard,Designated Player Model,
AUSTIN FC,Ilie Sanchez,,,2025,2026,Standard,Designated Player Model,
AUSTIN FC,Brad Stuver,,,2025,2026,Standard,Designated Player Model,
AUSTIN FC,Oleksandr Svatok,,,2027,2028,Standard,Designated Player Model,
AUSTIN FC,Micah Burton,Homegrown Player,,2027,2028,Homegrown,Designated Player Model,
AUSTIN FC,Bryant Farkarlun,,,2025,2026,Standard,Designated Player Model,
AUSTIN FC,CJ Fodrey,Generation adidas,,2025,"2026, 2027",Generation Adidas,Designated Player Model,
AUSTIN FC,Diego Rubio,,,2025,2026,Standard,Designated Player Model,
AUSTIN FC,Damian Las,Homegrown Player,Unavailable – On Loan,2027,2028,Homegrown,Designated Player Model,
AUSTIN FC,Owen Wolff,Homegrown Player,,2027,2028,Homegrown,Designated Player Model,
CHARLOTTE FC,Liel Abada,Designated Player,,2026,2027,Designated Player,U22 Initiative Player Model,
CHARLOTTE FC,Wilfried Zaha,Designated Player,Loan Player,"Jan. 17, 2026",June 2026,Designated Player,U22 Initiative Player Model,
CHARLOTTE FC,Nikola Petkovic,U22 Initiative,,2026,2027,U22 Initiative,U22 Initiative Player Model,
