0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,"xG: Expected GoalsExpected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG: Non-Penalty xGNon-Penalty Expected GoalsProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG/ShotNon-Penalty Expected Goals per shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum .395 shots per squad game to qualify as a leader","Goals - xGGoals minus Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","Non-Penalty Goals - npxGNon-Penalty Goals minus Non-Penalty Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",25_Matches
1,Paxten Aaronson,us USA,MF,Colorado Rapids,22-100,2003,6.4,0.16,3.44,1.09,31.8,3.46,1.10,0.05,0.14,18.7,0.00,0.00,0.00,0.42,0.42,0.12,-0.27,-0.27,Matches
2,Liel Abada,il ISR,"FW,MF",Charlotte,24-062,2001,16.5,0.30,2.67,0.91,34.1,2.67,0.91,0.11,0.33,16.5,0.00,0.00,0.00,0.42,0.42,0.16,-0.12,-0.12,Matches
3,Wessam Abou Ali,ps PLE,FW,Columbus Crew,26-334,1999,3.4,0.88,1.47,1.18,80.0,1.49,1.19,0.60,0.75,12.2,0.00,0.00,0.00,0.24,0.24,0.16,0.65,0.65,Matches
4,Luis Abram,pe PER,DF,Atlanta Utd,29-280,1996,16.6,0.00,0.06,0.00,0.0,0.06,0.00,0.00,,6.4,0.00,0.00,0.00,0.01,0.01,0.07,-0.01,-0.01,Matches
5,Lalas Abubakar,gh GHA,DF,FC Dallas,30-344,1994,18.4,0.05,0.43,0.16,37.5,0.43,0.16,0.13,0.33,14.5,0.00,0.00,0.00,0.03,0.03,0.07,0.03,0.03,Matches
6,Bryan Acosta,hn HON,MF,Nashville SC,32-010,1993,2.5,0.00,0.40,0.00,0.0,0.41,0.00,0.00,,37.7,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
7,Kellyn Acosta,us USA,MF,Chicago Fire,30-133,1995,7.3,0.00,0.27,0.27,100.0,0.27,0.27,0.00,0.00,24.8,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
8,Luciano Acosta,ar ARG,"MF,FW",FC Dallas,31-187,1994,18.8,0.27,1.49,0.64,42.9,1.49,0.64,0.14,0.33,19.9,0.32,0.05,0.11,0.29,0.20,0.14,-0.02,0.01,Matches
9,Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-322,1995,3.2,0.63,1.56,0.63,40.0,1.55,0.62,0.40,1.00,12.2,0.00,0.00,0.00,0.41,0.41,0.27,0.22,0.22,Matches
10,Leonardo Afonso,br BRA,"DF,FW",Atlanta Utd,24-144,2001,0.9,0.00,2.22,1.11,50.0,2.34,1.17,0.00,0.00,21.5,1.11,0.00,0.00,0.11,0.11,0.05,-0.11,-0.11,Matches
