0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,"Post-Shot Expected GoalsPost-Shot Expected GoalsPSxG is expected goals based on how likely the goalkeeper is to save the shotxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","Post-Shot Expected Goals per Shot on TargetNot including penalty kicksPSxG is expected goals based on how likely the goalkeeper is to save the shotHigher numbers indicate that shots on target faced are more difficult to stop and more likely to scoreAn underline indicates there is a match that is missing data, but will be updated when available.","PSxG-GAPost-Shot Expected Goals minus Goals AllowedPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote: Does not include own goalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","PSxG-GA/90Post-Shot Expected Goals minus Goals Allowed per 90 minutesPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote: Does not include own goalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,33_Matches
1,Luis Barraza,us USA,GK,D.C. United,29-026,1996,23.2,1.68,0.09,0.00,0.17,0.04,1.52,0.30,-0.12,-0.11,5.91,17.5,33.7,27.8,4.53,43.5,36.6,7.16,75.3,54.2,13.1,0.78,5.9,0.95,0.95,13.4,Matches
2,Adam Beaudry,us USA,GK,Colorado Rapids,19-230,2006,1.0,3.00,0.00,0.00,0.00,1.00,2.20,0.45,0.20,+0.23,4.00,18.0,22.2,21.0,6.00,61.9,46.9,6.00,83.3,60.7,4.00,0.00,0.0,0.00,0.00,12.0,Matches
3,David Bingham,us USA,GK,Charlotte,36-046,1989,2.0,1.00,0.00,0.00,0.00,0.00,1.20,0.22,0.20,+0.21,1.50,9.00,16.7,24.0,4.00,27.1,30.9,7.00,35.7,34.8,18.5,2.00,10.8,0.50,0.50,7.8,Matches
4,Andre Blake,jm JAM,GK,Philadelphia Union,35-013,1990,20.3,0.84,0.10,0.00,0.10,0.00,1.06,0.31,0.22,+0.22,4.98,10.7,46.3,22.0,2.96,37.2,33.6,4.83,53.1,41.5,10.5,0.44,4.2,1.43,1.43,18.1,Matches
5,Jonathan Bond,eng ENG,GK,Houston Dynamo,32-199,1993,26.0,1.69,0.12,0.04,0.19,0.04,1.39,0.31,-0.26,-0.26,3.58,9.42,38.0,25.9,4.19,28.2,29.5,3.88,54.5,39.9,12.2,0.42,3.5,1.42,1.42,16.0,Matches
6,Chris Brady,us USA,GK,Chicago Fire,21-276,2004,27.4,1.86,0.22,0.00,0.26,0.07,1.84,0.31,0.05,+0.05,2.15,6.50,33.1,26.7,4.64,15.5,25.7,5.15,46.1,40.8,12.4,0.80,6.5,1.06,1.06,13.9,Matches
7,Sebastian Breza,ca CAN,GK,CF Montréal,27-264,1998,3.0,3.00,0.00,0.00,0.67,0.00,2.70,0.41,-0.30,-0.29,3.00,9.00,33.3,27.0,4.33,29.6,30.7,3.33,30.0,29.2,10.3,2.00,19.4,0.67,0.67,10.2,Matches
8,Roman Bürki,ch SUI,GK,St. Louis,35-020,1990,25.0,1.76,0.28,0.00,0.16,0.08,1.75,0.29,0.07,+0.07,4.80,12.3,39.0,30.8,4.76,31.8,32.9,7.00,36.0,38.0,13.3,0.60,4.5,1.16,1.16,15.5,Matches
9,Evan Bush,us USA,GK,Columbus Crew,39-273,1986,6.0,0.83,0.00,0.00,0.17,0.00,0.68,0.27,-0.15,-0.16,1.17,4.50,25.9,29.5,4.17,10.7,22.5,5.83,22.9,27.5,7.83,0.67,8.5,2.50,2.50,16.6,Matches
10,Rafael Cabral,br BRA,GK,Real Salt Lake,35-198,1990,34.0,1.44,0.15,0.00,0.21,0.06,1.47,0.31,0.09,+0.09,3.62,9.32,38.8,36.0,3.18,20.3,27.4,6.53,31.1,33.4,11.0,0.26,2.4,1.68,1.68,17.7,Matches
