0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,30_Matches
1,Luis Abram,pe PER,DF,Atlanta Utd,26,1996,16.2,63.5,9.20,40.9,21.8,1.11,0.43,63.5,0.06,0.00,0.0,0.00,0.0,40.4,183.0,108.1,0.31,0.25,0.00,0.19,0.06,45.0,0.06,Matches
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,28,1994,21.3,60.5,5.68,30.5,27.8,2.49,1.13,60.5,0.23,0.19,80.0,0.05,20.0,33.4,133.1,65.6,0.23,0.19,0.09,0.33,0.00,40.4,0.14,Matches
3,Alonso Aceves,mx MEX,DF,Chicago Fire,21,2001,9.5,59.8,5.47,20.7,25.8,13.7,0.95,59.8,1.58,0.63,40.0,0.84,53.3,29.1,145.5,68.1,2.21,1.47,0.11,1.58,0.21,30.7,3.58,Matches
4,Bryan Acosta,hn HON,MF,Colorado Rapids,29,1993,12.4,51.2,2.34,11.2,29.2,11.5,0.81,51.2,0.89,0.73,81.8,0.08,9.1,26.5,133.8,49.7,0.89,0.81,0.24,0.97,0.65,31.3,1.94,Matches
5,Bryan Acosta,hn HON,MF,Portland Timbers,29,1993,5.1,52.2,2.16,11.6,33.3,7.25,0.59,52.2,0.20,0.20,100.0,0.00,0.0,26.1,111.6,33.7,0.00,0.20,0.00,0.39,0.39,27.3,0.59,Matches
6,Kellyn Acosta,us USA,MF,LAFC,27,1995,16.6,51.1,0.96,8.73,29.5,13.5,0.18,51.1,0.72,0.42,58.3,0.24,33.3,25.8,97.3,42.3,0.54,0.36,0.00,0.78,0.42,32.5,1.45,Matches
7,Luciano Acosta,ar ARG,MF,FC Cincinnati,28,1994,28.9,65.1,0.21,4.64,29.4,31.9,4.67,64.8,6.47,3.01,46.5,3.04,47.1,40.0,227.5,114.5,4.01,3.25,1.87,2.94,2.25,48.1,7.82,Matches
8,Sam Adekugbe,ca CAN,"FW,DF",Vancouver W'caps,28,1995,4.5,63.3,2.67,13.8,28.4,21.6,1.11,63.3,1.33,0.89,66.7,0.44,33.3,40.0,185.1,77.3,1.56,2.67,0.44,1.56,0.22,45.8,7.78,Matches
9,Samuel Adeniran,us USA,FW,St. Louis,24,1998,10.5,29.0,1.14,2.29,9.81,17.7,5.14,29.0,2.76,1.33,48.3,1.43,51.7,16.0,133.4,67.3,3.05,2.00,1.52,3.62,0.95,19.7,4.38,Matches
10,Harrison Afful,gh GHA,DF,Charlotte,36,1986,10.6,72.7,4.72,22.6,39.9,10.9,0.38,72.7,1.51,1.04,68.8,0.28,18.8,33.0,148.7,75.0,1.32,0.75,0.00,1.13,0.66,43.3,1.04,Matches
11,Stephen Afrifa,ca CAN,FW,Sporting KC,21,2001,0.6,23.3,1.67,1.67,6.67,15.0,5.00,23.3,5.00,1.67,33.3,1.67,33.3,10.0,60.0,13.3,1.67,1.67,1.67,6.67,0.00,5.00,1.67,Matches
12,William Agada,ng NGA,FW,Sporting KC,23,1999,7.6,29.6,0.39,1.32,12.1,16.6,5.39,29.6,1.05,0.79,75.0,0.13,12.5,20.3,93.8,29.2,1.32,0.92,0.66,1.84,2.24,23.0,6.32,Matches
13,Giovanni Aguilar,us USA,MF,Vancouver W'caps,24,1998,0.1,60.0,0.00,30.0,30.0,0.00,0.00,60.0,0.00,0.00,,0.00,,20.0,60.0,10.0,0.00,0.00,0.00,0.00,10.0,30.0,0.00,Matches
14,Daniel Aguirre,us USA,"MF,FW",LA Galaxy,23,1999,6.4,63.8,1.88,10.0,29.4,24.5,4.22,63.8,2.81,0.78,27.8,1.56,55.6,39.7,214.1,109.5,3.28,2.66,1.09,2.19,1.09,49.4,7.81,Matches
15,Patrick Agyemang,us USA,FW,Charlotte,22,2000,2.1,36.7,1.90,2.86,13.8,20.5,6.19,36.7,2.86,1.43,50.0,1.43,50.0,22.4,78.1,35.7,1.90,0.48,2.38,7.62,1.43,26.2,11.0,Matches
16,Ali Ahmed,ca CAN,"MF,DF",Vancouver W'caps,22,2000,12.5,55.9,0.88,7.60,27.3,22.0,2.96,55.9,3.68,1.92,52.2,1.12,30.4,39.0,247.8,148.0,4.24,2.40,0.72,2.24,1.60,38.8,8.40,Matches
17,Carlos Akapo,gq EQG,DF,SJ Earthquakes,29,1993,23.8,69.5,4.75,21.1,28.9,20.3,2.39,69.5,3.15,1.47,46.7,1.30,41.3,34.9,209.9,107.7,2.98,2.35,0.63,1.85,0.71,37.6,5.17,Matches
18,Matai Akinmboni,us USA,DF,D.C. United,16,2006,2.0,58.5,6.50,33.0,22.0,3.50,0.50,58.5,0.00,0.00,,0.00,,38.5,109.5,54.0,0.00,0.00,0.00,0.00,0.00,41.0,0.00,Matches
19,Ayo Akinola,ca CAN,FW,Toronto FC,23,2000,6.2,33.4,0.48,2.10,13.9,17.7,2.42,33.4,1.13,0.32,28.6,0.48,42.9,19.2,83.7,26.5,0.97,0.81,0.48,3.23,1.94,26.6,6.45,Matches
20,Ayo Akinola,ca CAN,"FW,MF",SJ Earthquakes,23,2000,0.6,46.7,6.67,13.3,15.0,18.3,3.33,46.7,0.00,0.00,,0.00,,20.0,51.7,36.7,0.00,3.33,0.00,6.67,0.00,25.0,5.00,Matches
