FBref_Name,Position,Alternative_Positions
Lionel Messi,RW,"ST, CAM, RM"
Olivier Giroud,ST,
Luis Suárez,ST,
Luciano Acosta,CAM,LM
Sergio Busquets,CDM,"CM, CB"
Jordi Alba,LB,
Denis Bouanga,LW,"ST, LM"
Emil Forsberg,CAM,LM
Carles Gil,CAM,RM
Hugo Lloris,GK,
Hany Mukhtar,CAM,ST
Cristian Arango,ST,CAM
Roman Bürki,GK,
Ryan Gauld,LW,"ST, RW, LM"
Lorenzo Insigne,LW,"CAM, LM"
Luis Muriel,ST,
Federico Bernardeschi,RW,"RM, CAM"
Evander,CAM,CM
Jonathan Rodríguez,ST,LM
Hugo Cuypers,ST,
João Paulo Mior,CDM,CM
Petar Musa,ST,
Andre Blake,GK,
Tomás Chancalay,LM,"RM, LW"
Cristian Espinoza,RM,RW
Jesús Ferreira,ST,CAM
Dániel Gazdag,CAM,ST
Marcel Hartel,CM,CAM
Robin Lod,RM,"CM, CDM, RW"
Eduard Löwen,CM,"CDM, CAM"
Darlington Nagbe,CM,CDM
Joseph Paintsil,RM,RW
Ezequiel Ponce,ST,
Matías Rojas,RW,"RM, LM"
Diego Rossi,CAM,LM
Kai Wagner,LB,LM
Walker Zimmerman,CB,
Liel Abada,RW,"RM, LW"
Eduard Atuesta,CM,CDM
Christian Benteke,ST,
Pavel Bucha,CDM,"CM, CAM"
Andrés Cubas,CDM,CM
Pedro De la Vega,RW,"LW, LM, RM"
Yeimar Gómez Andrade,CB,
Klauss,ST,
Mateusz Klich,CM,"CDM, LW"
Hernán López Muñoz,CAM,"RM, LM"
Pep Biel,CAM,ST
Djordje Mihailovic,CAM,CM
Amahl Pellegrino,LW,LM
Federico Redondo,CM,CDM
Ashley Westwood,CDM,CM
Diego Chará,CDM,CM
Maxime Crépeau,GK,
Mikkel Desler,RB,
Dejan Joveljić,ST,
Nicolás Lodeiro,CAM,"CM, RM"
Matt Miazga,CB,
Lewis Morgan,ST,"LM, CAM"
Obinna Nwobodo,CDM,CM
Luca Orellano,LM,"RW, RM, LW"
Joaquín Pereyra,LM,"RM, LW"
Tim Ream,CB,
Cristian Roldan,RM,"CM, CAM, RW"
Albert Rusnák,CAM,"CDM, CM"
Ilie Sánchez,CDM,"CB, CM"
Zack Steffen,GK,
Erik Sviatchenko,CB,
Yohei Takaoka,GK,
Mikael Uhre,ST,
Luis Abram,CB,LB
Gastón Brugman,CM,CDM
Osman Bukari,RW,"ST, RM"
Maxime Chanot,CB,
Carlos Coronel,GK,
Artur,CDM,CM
Daniel,GK,
Jack Elliott,CB,
Stefan Frei,GK,
Pedro Gallese,GK,
Jakob Glesnes,CB,
Julian Gressel,RM,"CM, RW"
DeJuan Jones,LB,RB
Damir Kreilach,ST,CAM
Luca Langoni,RM,"ST, RW"
David Martínez,CB,LB
Josef Martínez,ST,
Joakim Nilsson,CB,
Martín Ojeda,CAM,"RM, LM"
Jonathan Osorio,CM,"CDM, LM"
Keaton Parks,CDM,CM
Nemanja Radoja,CM,CDM
Miles Robinson,CB,
Diego Rubio,ST,CAM
Johnny Russell,RW,RM
Dániel Sallói,LW,LM
Marcelo Weigandt,RB,
Miki Yamane,RB,
Maya Yoshida,CB,
Alhassan Yusuf,CDM,CM
Kellyn Acosta,CM,CDM
Brandon Bye,RB,
Roman Celentano,GK,
Diogo Gonçalves,CM,
Vitor Costa,LB,
Marky Delgado,CDM,CM
Jeremy Ebobisse,ST,
Aaron Herrera,RB,"RM, CB"
Ryan Hollingshead,RB,LB
Richie Laryea,RB,"LB, RM"
Tim Leibold,LB,LM
Saba Lobzhanidze,RW,"RM, LM"
Thiago Martins,CB,
Kamal Miller,CB,
Felipe Mora,ST,
Santiago Moreno,RM,"LM, RW"
Jordan Morris,ST,"LM, RM"
Maarten Paes,GK,
Nelson Palacio,CM,CDM
David Schnegg,LB,
Dayne St. Clair,GK,
Sam Surridge,ST,
Robert Taylor,LW,"LM, RM"
Cedric Teuchert,ST,CAM
Erik Thommy,CM,"CAM, RM"
Nouhou Tolo,LB,CB
Bruno Wilson,CB,
Brian White,ST,
Hannes Wolf,RM,"CAM, LM, RW"
Kelvin Yeboah,ST,
DeAndre Yedlin,RB,RM
Paul Arriola,RM,"RW, LW"
Tomás Avilés,CB,CDM
Chidozie Awaziem,CB,
Tai Baribo,ST,
Cole Bassett,CAM,"CM, CDM"
Alejandro Bedoya,CM,CDM
Claudio Bravo,LB,
David Brekalo,CB,
Drake Callender,GK,
Leonardo Campana,ST,
Dylan Chambost,CM,"RM, CAM"
Ramiro Enrique,ST,LW
Diego Fagúndez,LM,"RM, CAM, LW"
Aníbal Godoy,CDM,CM
Robin Jansson,CB,
Danley Jean-Jacques,CDM,CM
Sean Johnson,GK,
Yuya Kubo,CM,"ST, RM"
Kevin Long,CB,
Aaron Long,CB,
Dominik Marczuk,RM,RW
Sean Nealis,CB,
Franco Negri,LB,LM
Braian Ojeda,CDM,CM
Sergi Palencia,RB,"RM, LB"
Samuel Piette,CDM,CM
Matt Polster,CDM,"CM, RB"
Keegan Rosenberry,RB,"CB, RM"
Pablo Ruíz,CDM,CM
Patrick Schulte,GK,
Bartosz Slisz,CM,CDM
Oleksandr Svatok,CB,
Ranko Veselinović,CB,
Joe Willis,GK,
Sam Adekugbe,LB,LM
Rasmus Alm,RM,"RW, LW"
Antony,LM,"RM, LW"
Iván Angulo,LM,"LW, RM"
César Araujo,CDM,CM
Amine Bassi,CAM,"LW, RW"
Michael Boxall,CB,
Tyler Boyd,LM,"RM, RW, LW"
Andrew Brody,RB,LB
Nathan Byrne,RB,LB
Justen Glad,CB,
Bongokuhle Hlongwane,RM,"LM, RW"
Kei Kamara,ST,
Henry Kessler,CB,
Mathías Laborda,CB,RB
Daniel Lovitz,LB,CB
Andreas Maxsø,CB,
Steven Moreira,CB,RB
Agustin Ojeda,RW,"LW, RM"
Cristhian Paredes,CDM,CM
Tim Parker,CB,
Jonathan Bamba,CB,
Fafà Picault,LM,"RM, ST, LW"
Alex Roldan,RB,RM
Eddie Segura,CB,RB
Brayan Vera,CB,
Sam Vines,LB,
Giacomo Vrioni,ST,
Eryk Williamson,CDM,CM
Jackson Yueill,CM,CDM
