0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Yellow CardsYellow Cards,Red CardsRed Cards,Second Yellow CardSecond Yellow Card,Fouls CommittedFouls Committed,Fouls DrawnFouls Drawn,OffsidesOffsides,CrossesCrosses,InterceptionsInterceptions,Tackles WonTackles in which the tackler's team won possession of the ball,Penalty Kicks WonPenalty Kicks Won,Penalty Kicks ConcededPenalty Kicks Conceded,Own GoalsOwn Goals,Ball RecoveriesNumber of loose balls recovered,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,24_Matches
1,Luis Abram,pe PER,DF,Atlanta Utd,26,1996,16.2,0.06,0.00,0.00,0.37,0.31,0.06,0.06,0.99,0.56,0.00,0.06,0.00,4.38,1.17,0.86,57.6,Matches
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,28,1994,21.3,0.42,0.05,0.05,1.50,0.33,0.09,0.09,1.60,0.52,0.00,0.00,0.00,4.13,1.60,1.55,50.7,Matches
3,Alonso Aceves,mx MEX,DF,Chicago Fire,21,2001,9.5,0.11,0.00,0.00,1.05,0.74,0.00,3.47,1.58,2.11,0.00,0.00,0.00,5.37,1.05,1.16,47.6,Matches
4,Bryan Acosta,hn HON,MF,Colorado Rapids,29,1993,12.4,0.48,0.00,0.00,2.02,0.40,0.24,3.95,0.56,1.21,0.00,0.00,0.00,5.32,1.21,0.89,57.7,Matches
5,Bryan Acosta,hn HON,MF,Portland Timbers,29,1993,5.1,0.20,0.00,0.00,2.75,0.59,0.00,1.18,1.57,2.35,0.00,0.00,0.00,6.67,1.57,0.78,66.7,Matches
6,Kellyn Acosta,us USA,MF,LAFC,27,1995,16.6,0.30,0.00,0.00,1.51,0.78,0.00,3.49,1.08,1.20,0.00,0.00,0.00,6.02,0.60,0.96,38.5,Matches
7,Luciano Acosta,ar ARG,MF,FC Cincinnati,28,1994,28.9,0.24,0.00,0.00,1.66,2.11,0.17,4.19,0.62,0.66,0.03,0.00,0.00,4.71,0.10,0.45,18.8,Matches
8,Sam Adekugbe,ca CAN,"FW,DF",Vancouver W'caps,28,1995,4.5,0.44,0.00,0.00,1.78,0.44,0.00,3.56,1.56,0.67,0.00,0.00,0.00,5.11,0.89,2.22,28.6,Matches
9,Samuel Adeniran,us USA,FW,St. Louis,24,1998,10.5,0.29,0.10,0.10,1.14,0.19,0.67,1.43,0.29,0.38,0.00,0.10,0.00,1.62,3.71,2.57,59.1,Matches
10,Harrison Afful,gh GHA,DF,Charlotte,36,1986,10.6,0.28,0.00,0.00,1.23,0.38,0.00,0.66,2.08,0.66,0.00,0.00,0.00,8.68,1.04,0.47,68.8,Matches
11,Stephen Afrifa,ca CAN,FW,Sporting KC,21,2001,0.6,0.00,0.00,0.00,1.67,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00,5.00,0.00,1.67,0.0,Matches
12,William Agada,ng NGA,FW,Sporting KC,23,1999,7.6,0.13,0.00,0.00,1.58,0.79,0.79,0.00,0.26,0.26,0.13,0.00,0.00,2.37,1.05,3.29,24.2,Matches
13,Giovanni Aguilar,us USA,MF,Vancouver W'caps,24,1998,0.1,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,10.0,0.00,0.00,,Matches
