0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Yellow CardsYellow Cards,Red CardsRed Cards,Second Yellow CardSecond Yellow Card,Fouls CommittedFouls Committed,Fouls DrawnFouls Drawn,OffsidesOffsides,CrossesCrosses,InterceptionsInterceptions,Tackles WonTackles in which the tackler's team won possession of the ball,Penalty Kicks WonPenalty Kicks Won,Penalty Kicks ConcededPenalty Kicks Conceded,Own GoalsOwn Goals,Ball RecoveriesNumber of loose balls recovered,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,24_Matches
1,Paxten Aaronson,us USA,MF,Colorado Rapids,22-100,2003,6.4,0.47,0.00,0.00,1.09,2.19,0.16,2.03,0.31,0.94,0.16,0.00,0.00,2.97,0.31,0.78,28.6,Matches
2,Liel Abada,il ISR,"FW,MF",Charlotte,24-062,2001,16.5,0.06,0.00,0.00,0.73,1.03,0.24,1.76,0.30,0.97,0.00,0.06,0.00,4.06,0.12,0.79,13.3,Matches
3,Wessam Abou Ali,ps PLE,FW,Columbus Crew,26-334,1999,3.4,0.00,0.00,0.00,1.76,1.18,0.29,0.00,0.00,0.29,0.29,0.00,0.00,3.24,0.59,2.06,22.2,Matches
4,Luis Abram,pe PER,DF,Atlanta Utd,29-280,1996,16.6,0.06,0.00,0.00,0.60,0.24,0.00,0.18,0.36,0.42,0.00,0.06,0.00,3.55,1.57,1.45,52.0,Matches
5,Lalas Abubakar,gh GHA,DF,FC Dallas,30-344,1994,18.4,0.27,0.05,0.05,1.03,0.49,0.16,0.11,1.20,0.71,0.00,0.05,0.00,3.04,1.41,0.98,59.1,Matches
6,Bryan Acosta,hn HON,MF,Nashville SC,32-010,1993,2.5,0.40,0.00,0.00,2.80,0.00,0.00,1.20,1.20,3.20,0.00,0.00,0.00,6.80,0.40,0.40,50.0,Matches
7,Kellyn Acosta,us USA,MF,Chicago Fire,30-133,1995,7.3,0.27,0.00,0.00,1.51,1.64,0.14,0.27,1.92,0.55,0.00,0.14,0.00,4.11,0.68,0.55,55.6,Matches
8,Luciano Acosta,ar ARG,"MF,FW",FC Dallas,31-187,1994,18.8,0.43,0.00,0.00,1.76,1.91,0.16,5.27,0.48,0.80,0.11,0.00,0.00,3.46,0.16,0.43,27.3,Matches
9,Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-322,1995,3.2,0.00,0.00,0.00,0.94,0.94,0.00,2.19,0.94,0.63,0.00,0.00,0.00,1.88,2.81,1.56,64.3,Matches
10,Leonardo Afonso,br BRA,"DF,FW",Atlanta Utd,24-144,2001,0.9,0.00,0.00,0.00,1.11,0.00,0.00,1.11,1.11,1.11,0.00,0.00,0.00,1.11,0.00,1.11,0.0,Matches
11,Leonardo Afonso,br BRA,"FW,MF",Inter Miami,24-144,2001,1.0,1.00,0.00,0.00,4.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.0,Matches
12,Stephen Afrifa,ca CAN,"MF,FW",Sporting KC,24-288,2001,1.5,0.67,0.00,0.00,4.00,4.00,0.67,2.67,0.67,2.00,0.67,0.00,0.00,5.33,1.33,3.33,28.6,Matches
13,William Agada,ng NGA,FW,Sporting KC,26-078,1999,1.1,0.00,0.00,0.00,4.55,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.73,2.73,0.91,75.0,Matches
14,William Agada,ng NGA,FW,Real Salt Lake,26-078,1999,13.0,0.46,0.08,0.08,2.77,1.15,0.62,0.08,0.15,0.15,0.00,0.08,0.00,2.23,2.08,2.54,45.0,Matches
15,Patrick Agyemang,us USA,FW,Charlotte,25-027,2000,13.6,0.22,0.00,0.00,1.84,2.57,0.51,0.07,0.15,0.29,0.07,0.00,0.00,1.62,1.40,1.54,47.5,Matches
16,Ali Ahmed,ca CAN,FW,Vancouver W'caps,25-055,2000,14.3,0.14,0.00,0.00,0.70,1.75,0.21,3.08,0.42,0.70,0.07,0.00,0.00,3.15,0.77,0.91,45.8,Matches
17,Forster Ajago,gh GHA,FW,Real Salt Lake,24-110,2001,2.9,0.69,0.00,0.00,2.41,1.38,1.38,0.00,0.00,1.03,0.00,0.00,0.00,0.00,1.03,6.21,14.3,Matches
18,Jordi Alba,es ESP,DF,Inter Miami,36-258,1989,28.5,0.21,0.00,0.00,0.49,0.67,0.11,4.14,0.67,0.63,0.00,0.00,0.00,5.37,0.14,0.14,50.0,Matches
19,Noah Allen,gr GRE,DF,Inter Miami,21-220,2004,21.1,0.19,0.00,0.00,0.95,0.57,0.05,0.76,0.81,1.42,0.00,0.00,0.00,4.03,0.85,0.81,51.4,Matches
20,Tadeo Allende,ar ARG,"MF,FW",Inter Miami,26-287,1999,23.9,0.04,0.00,0.00,0.67,0.59,0.50,0.88,0.54,0.29,0.00,0.00,0.00,2.64,2.38,0.96,71.3,Matches
21,Rasmus Alm,se SWE,DF,St. Louis,30-109,1995,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,,Matches
22,Miguel Almirón,py PAR,"FW,MF",Atlanta Utd,31-297,1994,30.1,0.13,0.00,0.00,1.00,1.86,0.40,1.30,0.37,0.86,0.00,0.00,0.00,4.39,0.17,0.47,26.3,Matches
23,Alejandro Alvarado Jr.,us USA,MF,San Diego FC,22-128,2003,5.4,0.37,0.00,0.00,2.96,1.85,0.00,0.37,2.59,2.22,0.00,0.00,0.00,3.89,0.74,0.37,66.7,Matches
24,Fernando Álvarez,co COL,DF,CF Montréal,22-102,2003,12.2,0.33,0.00,0.00,1.48,0.33,0.08,0.16,1.31,0.98,0.00,0.00,0.00,3.11,1.89,1.80,51.1,Matches
25,Steven Alzate,co COL,MF,Atlanta Utd,27-087,1998,7.2,0.28,0.00,0.00,0.97,0.97,0.00,1.53,1.11,1.39,0.00,0.00,0.00,3.75,0.69,0.69,50.0,Matches
26,Pedro Amador,pt POR,DF,Atlanta Utd,26-351,1998,23.1,0.17,0.00,0.00,0.61,0.52,0.17,3.03,0.82,0.65,0.00,0.00,0.00,4.29,0.74,0.87,45.9,Matches
27,Daouda Amadou,cm CMR,MF,Colorado Rapids,23-063,2002,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,10.0,0.00,0.00,,Matches
28,Frankie Amaya,us USA,MF,LAFC,25-069,2000,4.8,0.21,0.00,0.00,0.83,0.42,0.00,0.00,1.04,1.88,0.00,0.00,0.00,3.33,0.42,0.83,33.3,Matches
29,Malte Amundsen,dk DEN,DF,Columbus Crew,27-296,1998,19.8,0.15,0.05,0.00,0.81,0.35,0.00,0.45,1.16,1.26,0.00,0.00,0.00,4.95,1.21,1.41,46.2,Matches
30,Markus Anderson,us USA,FW,Philadelphia Union,21-358,2003,1.1,0.00,0.00,0.00,2.73,2.73,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.45,6.36,46.2,Matches
31,Tomas Ángel,co COL,FW,San Diego FC,22-287,2003,7.9,0.13,0.00,0.00,1.27,0.76,0.38,0.38,0.38,0.25,0.00,0.00,0.00,2.78,0.89,1.27,41.2,Matches
32,Iván Angulo,co COL,"MF,FW",Orlando City,26-257,1999,25.6,0.16,0.00,0.00,0.78,1.02,0.16,1.09,0.70,1.17,0.00,0.00,0.00,4.38,0.08,0.39,16.7,Matches
33,Conner Antley,us USA,"DF,MF",D.C. United,30-257,1995,14.9,0.07,0.00,0.00,1.14,1.01,0.07,0.87,1.21,1.28,0.00,0.00,0.07,3.09,1.01,0.94,51.7,Matches
34,Antony,br BRA,"FW,MF",Portland Timbers,24-087,2001,24.5,0.20,0.00,0.00,1.63,1.39,0.61,1.18,0.53,1.10,0.00,0.04,0.00,5.59,0.37,1.02,26.5,Matches
35,Seth Antwi,gh GHA,MF,St. Louis,26-025,1999,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,10.0,0.00,0.00,,Matches
