0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,24_Matches
1,Liel Abada,il ISR,FW,Charlotte,22,2001,18.2,3.30,3.30,2.64,0.11,0.27,0.16,0.11,0.00,0.22,0.22,0.16,0.00,0.05,0.00,0.00,0.00,Matches
2,Jose Casas de Abadal,us USA,"FW,DF",Inter Miami,23,2000,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
3,Luis Abram,pe PER,DF,Atlanta Utd,27,1996,12.2,0.98,0.98,0.82,0.00,0.00,0.08,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
4,Lalas Abubakar,gh GHA,DF,Colorado Rapids,29,1994,14.2,0.35,0.35,0.28,0.00,0.00,0.00,0.00,0.07,0.14,0.14,0.07,0.00,0.00,0.00,0.00,0.07,Matches
5,Kellyn Acosta,us USA,MF,Chicago Fire,28,1995,25.6,2.58,2.58,1.91,0.43,0.12,0.04,0.04,0.04,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,Matches
6,Luciano Acosta,ar ARG,MF,FC Cincinnati,29,1994,30.0,7.47,7.46,4.73,1.23,0.87,0.30,0.23,0.10,0.97,0.97,0.57,0.13,0.23,0.00,0.03,0.00,Matches
7,Jordan Adebayo-Smith,ng NGA,"FW,MF",Minnesota Utd,24,2000,2.8,1.43,1.42,0.71,0.00,0.36,0.36,0.00,0.00,0.36,0.35,0.36,0.00,0.00,0.00,0.00,0.00,Matches
8,Sam Adekugbe,ca CAN,"DF,MF",Vancouver W'caps,29,1995,8.3,2.53,2.51,2.41,0.00,0.00,0.12,0.00,0.00,0.36,0.36,0.36,0.00,0.00,0.00,0.00,0.00,Matches
9,Samuel Adeniran,us USA,FW,Philadelphia Union,25,1998,1.5,3.33,3.28,2.00,0.00,0.67,0.67,0.00,0.00,0.67,0.66,0.67,0.00,0.00,0.00,0.00,0.00,Matches
10,Samuel Adeniran,us USA,"FW,MF",St. Louis,25,1998,6.6,1.82,1.81,1.06,0.00,0.30,0.45,0.00,0.00,0.30,0.30,0.15,0.00,0.15,0.00,0.00,0.00,Matches
11,Leonardo Afonso,br BRA,"FW,MF",Inter Miami,22,2001,2.7,4.81,4.74,3.33,0.00,0.74,0.00,0.74,0.00,0.74,0.73,0.00,0.00,0.37,0.00,0.37,0.00,Matches
12,Stephen Afrifa,ca CAN,FW,Sporting KC,22,2001,8.8,3.75,3.73,2.27,0.00,0.80,0.45,0.23,0.00,0.11,0.11,0.11,0.00,0.00,0.00,0.00,0.00,Matches
13,William Agada,ng NGA,FW,Sporting KC,24,1999,19.2,2.71,2.70,1.98,0.05,0.05,0.36,0.21,0.05,0.31,0.31,0.16,0.00,0.05,0.10,0.00,0.00,Matches
14,London Aghedo,us USA,DF,FC Cincinnati,23,2000,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
15,Daniel Aguirre,us USA,"MF,FW",LA Galaxy,24,1999,1.2,4.17,4.17,3.33,0.00,0.00,0.00,0.83,0.00,0.83,0.83,0.83,0.00,0.00,0.00,0.00,0.00,Matches
16,Patrick Agyemang,us USA,FW,Charlotte,23,2000,20.4,2.79,2.79,1.37,0.00,0.74,0.15,0.44,0.10,0.74,0.73,0.29,0.00,0.29,0.05,0.05,0.05,Matches
17,Ali Ahmed,ca CAN,"MF,DF",Vancouver W'caps,23,2000,15.0,3.47,3.47,2.80,0.07,0.40,0.07,0.13,0.00,0.27,0.27,0.20,0.00,0.07,0.00,0.00,0.00,Matches
18,Forster Ajago,gh GHA,FW,Nashville SC,22,2001,4.2,1.90,1.90,1.43,0.00,0.24,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
19,Carlos Akapo,gq EQG,DF,SJ Earthquakes,30,1993,17.8,1.74,1.74,1.40,0.11,0.00,0.00,0.06,0.17,0.28,0.28,0.22,0.06,0.00,0.00,0.00,0.00,Matches
20,Matai Akinmboni,us USA,DF,D.C. United,17,2006,4.9,0.61,0.62,0.61,0.00,0.00,0.00,0.00,0.00,0.20,0.21,0.20,0.00,0.00,0.00,0.00,0.00,Matches
21,Ayo Akinola,ca CAN,"FW,MF",Toronto FC,24,2000,1.0,1.00,1.03,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
22,Jordi Alba,es ESP,DF,Inter Miami,34,1989,24.8,3.35,3.34,3.10,0.16,0.00,0.08,0.00,0.00,0.56,0.56,0.52,0.00,0.00,0.04,0.00,0.00,Matches
23,Noah Allen,gr GRE,DF,Inter Miami,19,2004,10.3,0.58,0.58,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
24,Rasmus Alm,se SWE,"FW,MF",St. Louis,28,1995,9.3,1.83,1.83,1.40,0.11,0.32,0.00,0.00,0.00,0.22,0.22,0.22,0.00,0.00,0.00,0.00,0.00,Matches
25,Thiago Almada,ar ARG,"MF,FW",Atlanta Utd,22,2001,15.5,7.87,7.89,5.55,1.16,0.58,0.32,0.26,0.00,0.77,0.78,0.52,0.00,0.06,0.19,0.00,0.00,Matches
26,Fernando Álvarez,co COL,DF,CF Montréal,20,2003,23.8,0.63,0.63,0.59,0.00,0.00,0.00,0.00,0.04,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,Matches
27,Pedro Amador,pt POR,DF,Atlanta Utd,25,1998,9.0,2.67,2.67,2.33,0.11,0.00,0.00,0.11,0.11,0.44,0.44,0.44,0.00,0.00,0.00,0.00,0.00,Matches
28,Frankie Amaya,us USA,MF,NY Red Bulls,23,2000,17.9,2.23,2.24,1.84,0.06,0.06,0.00,0.17,0.11,0.22,0.22,0.17,0.00,0.00,0.00,0.00,0.06,Matches
29,Malte Amundsen,dk DEN,DF,Columbus Crew,25,1998,25.5,1.57,1.57,1.37,0.16,0.00,0.04,0.00,0.00,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,Matches
30,Markus Anderson,us USA,"MF,FW",Philadelphia Union,20,2003,1.1,3.64,3.67,1.82,0.00,0.00,0.91,0.91,0.00,0.91,0.92,0.00,0.00,0.00,0.91,0.00,0.00,Matches
31,Sebastian Anderson,us USA,DF,Colorado Rapids,21,2002,5.6,1.25,1.24,1.07,0.18,0.00,0.00,0.00,0.00,0.36,0.36,0.18,0.18,0.00,0.00,0.00,0.00,Matches
32,José Andrés Martínez,ve VEN,MF,Philadelphia Union,29,1994,11.3,2.12,2.13,1.77,0.00,0.00,0.18,0.09,0.09,0.27,0.27,0.18,0.00,0.00,0.00,0.00,0.09,Matches
33,Tomas Ángel,co COL,"FW,MF",LAFC,20,2003,0.6,5.00,5.29,1.67,0.00,0.00,1.67,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
34,Iván Angulo,co COL,"FW,MF",Orlando City,24,1999,30.7,3.03,3.03,2.44,0.00,0.16,0.07,0.23,0.13,0.46,0.46,0.33,0.00,0.00,0.07,0.07,0.00,Matches
35,Eugene Ansah,gh GHA,"FW,MF",FC Dallas,29,1994,4.8,3.33,3.32,2.92,0.00,0.21,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
36,Conner Antley,us USA,DF,D.C. United,28,1995,4.8,1.04,1.04,0.63,0.21,0.00,0.21,0.00,0.00,0.21,0.21,0.21,0.00,0.00,0.00,0.00,0.00,Matches
37,Antony,br BRA,"FW,MF",Portland Timbers,22,2001,21.0,3.57,3.58,2.48,0.05,0.52,0.24,0.29,0.00,0.57,0.57,0.43,0.00,0.05,0.05,0.05,0.00,Matches
38,Brian Anunga,cm CMR,MF,Nashville SC,27,1996,16.1,0.99,0.99,0.75,0.00,0.06,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
39,Cristian Arango,co COL,"FW,MF",Real Salt Lake,28,1995,25.4,3.78,3.78,2.80,0.00,0.24,0.51,0.24,0.00,0.59,0.59,0.47,0.00,0.00,0.08,0.04,0.00,Matches
40,César Araujo,uy URU,MF,Orlando City,22,2001,26.9,1.67,1.67,1.23,0.00,0.04,0.19,0.22,0.00,0.11,0.11,0.07,0.00,0.00,0.04,0.00,0.00,Matches
41,Miguel Araujo,pe PER,DF,Portland Timbers,29,1994,17.1,0.88,0.87,0.70,0.00,0.00,0.12,0.00,0.06,0.23,0.23,0.18,0.00,0.00,0.06,0.00,0.00,Matches
42,Scott Arfield,ca CAN,"MF,FW",Charlotte,35,1988,4.2,3.10,3.08,2.62,0.00,0.24,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0.00,0.00,0.00,0.00,Matches
43,Max Arfsten,us USA,DF,Columbus Crew,22,2001,21.8,3.07,3.07,2.34,0.05,0.50,0.09,0.00,0.09,0.60,0.59,0.50,0.00,0.05,0.05,0.00,0.00,Matches
44,Allan Arigoni,ch SUI,DF,Chicago Fire,25,1998,23.3,1.55,1.55,1.07,0.13,0.13,0.09,0.09,0.04,0.04,0.04,0.00,0.00,0.00,0.04,0.00,0.00,Matches
45,Daniel Armando Ríos,mx MEX,FW,Atlanta Utd,28,1995,15.1,2.52,2.52,2.05,0.00,0.07,0.20,0.20,0.00,0.40,0.40,0.33,0.00,0.00,0.07,0.00,0.00,Matches
46,Stuart Armstrong,sct SCO,"MF,FW",Vancouver W'caps,31,1992,1.4,6.43,6.33,5.71,0.00,0.00,0.71,0.00,0.00,0.71,0.70,0.00,0.00,0.00,0.71,0.00,0.00,Matches
47,Xavier Arreaga,ec ECU,DF,NE Revolution,29,1994,21.5,0.88,0.88,0.79,0.05,0.00,0.00,0.05,0.00,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,Matches
48,Xavier Arreaga,ec ECU,DF,Seattle Sounders,29,1994,2.8,0.36,0.35,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
49,Kervin Arriaga,hn HON,"DF,MF",Minnesota Utd,26,1998,9.8,0.92,0.92,0.82,0.00,0.00,0.10,0.00,0.00,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,Matches
50,Paul Arriola,us USA,"DF,MF",FC Dallas,28,1995,27.3,3.26,3.26,2.78,0.04,0.15,0.15,0.11,0.04,0.51,0.51,0.40,0.00,0.00,0.00,0.11,0.00,Matches
51,Artur,br BRA,MF,Houston Dynamo,27,1996,33.8,1.57,1.57,1.33,0.03,0.03,0.09,0.03,0.06,0.12,0.12,0.09,0.00,0.03,0.00,0.00,0.00,Matches
52,Yamil Asad,ar ARG,DF,FC Cincinnati,29,1994,8.9,5.17,5.19,4.16,0.45,0.34,0.22,0.00,0.00,0.79,0.79,0.56,0.11,0.00,0.11,0.00,0.00,Matches
53,Dairon Asprilla,co COL,"FW,DF",Portland Timbers,31,1992,7.6,2.11,2.10,1.58,0.00,0.13,0.13,0.26,0.00,0.53,0.52,0.53,0.00,0.00,0.00,0.00,0.00,Matches
54,Joshua Atencio,us USA,MF,Seattle Sounders,22,2002,11.9,2.86,2.87,2.44,0.00,0.08,0.25,0.00,0.08,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,Matches
55,Eduard Atuesta,co COL,MF,LAFC,26,1997,24.3,4.40,4.40,2.59,1.15,0.21,0.25,0.16,0.04,0.41,0.41,0.29,0.04,0.04,0.00,0.04,0.00,Matches
56,Julián Aude,ar ARG,DF,LA Galaxy,20,2003,18.8,1.22,1.22,0.90,0.00,0.11,0.11,0.11,0.00,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,Matches
57,Tomás Avilés,ar ARG,DF,Inter Miami,19,2004,24.4,0.45,0.45,0.41,0.04,0.00,0.00,0.00,0.00,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,Matches
