0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,20_Int,21_Tkl+Int,22_Clr,23_Err,24_Matches
1,Luis Abram,pe PER,DF,Atlanta Utd,26,1996,16.2,0.74,0.56,0.56,0.12,0.06,0.49,0.80,61.5,0.31,1.48,0.68,0.80,0.99,1.73,3.21,0.00,Matches
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,28,1994,21.3,1.03,0.52,0.80,0.23,0.00,0.61,0.85,72.2,0.23,1.08,0.80,0.28,1.60,2.63,2.86,0.09,Matches
3,Alonso Aceves,mx MEX,DF,Chicago Fire,21,2001,9.5,3.05,2.11,2.32,0.74,0.00,1.16,2.53,45.8,1.37,2.21,0.84,1.37,1.58,4.63,3.58,0.00,Matches
4,Bryan Acosta,hn HON,MF,Colorado Rapids,29,1993,12.4,1.77,1.21,1.13,0.56,0.08,0.48,1.29,37.5,0.81,1.37,0.40,0.97,0.56,2.34,1.13,0.08,Matches
5,Bryan Acosta,hn HON,MF,Portland Timbers,29,1993,5.1,3.53,2.35,0.98,2.16,0.39,2.35,4.51,52.2,2.16,0.78,0.39,0.39,1.57,5.10,0.78,0.00,Matches
6,Kellyn Acosta,us USA,MF,LAFC,27,1995,16.6,2.05,1.20,0.78,0.90,0.36,1.02,1.99,51.5,0.96,1.33,0.12,1.20,1.08,3.13,0.66,0.00,Matches
7,Luciano Acosta,ar ARG,MF,FC Cincinnati,28,1994,28.9,1.25,0.66,0.62,0.31,0.31,0.45,1.42,31.7,0.97,0.76,0.03,0.73,0.62,1.87,0.10,0.03,Matches
8,Sam Adekugbe,ca CAN,"FW,DF",Vancouver W'caps,28,1995,4.5,0.89,0.67,0.44,0.44,0.00,0.22,0.67,33.3,0.44,0.89,0.22,0.67,1.56,2.44,2.22,0.00,Matches
9,Samuel Adeniran,us USA,FW,St. Louis,24,1998,10.5,0.67,0.38,0.29,0.29,0.10,0.29,0.57,50.0,0.29,0.57,0.00,0.57,0.29,0.95,0.76,0.00,Matches
10,Harrison Afful,gh GHA,DF,Charlotte,36,1986,10.6,1.04,0.66,0.38,0.47,0.19,0.66,1.79,36.8,1.13,0.94,0.19,0.75,2.08,3.11,2.45,0.09,Matches
11,Stephen Afrifa,ca CAN,FW,Sporting KC,21,2001,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,1.67,0.00,1.67,1.67,1.67,1.67,0.00,Matches
12,William Agada,ng NGA,FW,Sporting KC,23,1999,7.6,0.39,0.26,0.13,0.13,0.13,0.13,0.66,20.0,0.53,0.79,0.26,0.53,0.26,0.66,0.13,0.00,Matches
13,Giovanni Aguilar,us USA,MF,Vancouver W'caps,24,1998,0.1,10.0,10.0,10.0,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,Matches
14,Daniel Aguirre,us USA,"MF,FW",LA Galaxy,23,1999,6.4,1.25,0.31,0.78,0.47,0.00,0.78,1.25,62.5,0.47,1.56,0.31,1.25,0.94,2.19,0.94,0.00,Matches
15,Patrick Agyemang,us USA,FW,Charlotte,22,2000,2.1,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.0,0.48,0.95,0.00,0.95,0.00,0.00,1.43,0.00,Matches
16,Ali Ahmed,ca CAN,"MF,DF",Vancouver W'caps,22,2000,12.5,2.96,2.16,0.80,1.28,0.88,1.20,2.00,60.0,0.80,1.04,0.16,0.88,1.44,4.40,0.08,0.00,Matches
17,Carlos Akapo,gq EQG,DF,SJ Earthquakes,29,1993,23.8,2.56,1.55,1.55,0.55,0.46,1.26,2.35,53.6,1.09,1.34,0.29,1.05,1.76,4.33,3.32,0.04,Matches
18,Matai Akinmboni,us USA,DF,D.C. United,16,2006,2.0,0.50,0.50,0.00,0.50,0.00,0.50,0.50,100.0,0.00,1.00,1.00,0.00,0.50,1.00,3.00,0.00,Matches
19,Ayo Akinola,ca CAN,FW,Toronto FC,23,2000,6.2,0.16,0.16,0.00,0.16,0.00,0.00,0.32,0.0,0.32,0.81,0.00,0.81,0.00,0.16,0.48,0.00,Matches
20,Ayo Akinola,ca CAN,"FW,MF",SJ Earthquakes,23,2000,0.6,5.00,1.67,5.00,0.00,0.00,1.67,1.67,100.0,0.00,3.33,1.67,1.67,0.00,5.00,3.33,0.00,Matches
21,Joey Akpunonu,us USA,DF,FC Cincinnati,21,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
22,Jordi Alba,es ESP,DF,Inter Miami,33,1989,4.9,1.84,1.02,1.02,0.82,0.00,0.82,1.43,57.1,0.61,0.41,0.00,0.41,0.20,2.04,1.84,0.00,Matches
23,Tony Alfaro,us USA,DF,NYCFC,29,1993,4.2,0.95,0.24,0.71,0.24,0.00,0.48,1.43,33.3,0.95,0.95,0.71,0.24,0.95,1.90,2.86,0.00,Matches
24,Tony Alfaro,us USA,DF,LA Galaxy,29,1993,4.2,0.95,0.71,0.48,0.48,0.00,0.48,1.43,33.3,0.95,1.90,1.67,0.24,1.19,2.14,4.52,0.00,Matches
25,Noah Allen,gr GRE,DF,Inter Miami,18,2004,13.9,2.52,1.15,1.65,0.72,0.14,1.37,2.30,59.4,0.94,0.94,0.14,0.79,1.01,3.53,2.37,0.00,Matches
26,Rasmus Alm,se SWE,"MF,FW",St. Louis,27,1995,12.2,1.56,0.98,0.66,0.74,0.16,0.74,1.97,37.5,1.23,1.64,0.00,1.64,0.41,1.97,0.49,0.00,Matches
27,Thiago Almada,ar ARG,MF,Atlanta Utd,21,2001,30.3,0.79,0.46,0.17,0.36,0.26,0.30,1.06,28.1,0.76,0.36,0.03,0.33,0.30,1.09,0.03,0.07,Matches
28,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,37,1985,1.1,1.82,1.82,0.00,0.91,0.91,0.00,3.64,0.0,3.64,3.64,2.73,0.91,0.00,1.82,0.91,0.00,Matches
29,Jozy Altidore,us USA,FW,NE Revolution,33,1989,2.3,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.0,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
30,Efrain Alvarez,mx MEX,"MF,FW",LA Galaxy,20,2002,4.2,0.24,0.00,0.00,0.24,0.00,0.00,1.19,0.0,1.19,0.71,0.00,0.71,0.71,0.95,0.00,0.00,Matches
