0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,24_Matches
1,Luis Abram,pe PER,DF,Atlanta Utd,26,1996,16.2,0.19,0.19,0.12,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,28,1994,21.3,0.28,0.28,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
3,Alonso Aceves,mx MEX,DF,Chicago Fire,21,2001,9.5,1.47,1.48,1.47,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.11,0.00,0.00,0.00,0.00,0.00,Matches
4,Bryan Acosta,hn HON,MF,Colorado Rapids,29,1993,12.4,3.23,3.23,1.77,0.97,0.32,0.00,0.08,0.08,0.16,0.16,0.08,0.00,0.08,0.00,0.00,0.00,Matches
5,Bryan Acosta,hn HON,MF,Portland Timbers,29,1993,5.1,1.37,1.38,0.78,0.20,0.00,0.00,0.00,0.39,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,Matches
6,Kellyn Acosta,us USA,MF,LAFC,27,1995,16.6,2.23,2.22,1.27,0.78,0.06,0.00,0.12,0.00,0.12,0.12,0.06,0.06,0.00,0.00,0.00,0.00,Matches
7,Luciano Acosta,ar ARG,MF,FC Cincinnati,28,1994,28.9,7.09,7.08,4.33,1.11,0.76,0.24,0.55,0.10,1.00,1.00,0.69,0.03,0.14,0.00,0.10,0.03,Matches
8,Sam Adekugbe,ca CAN,"FW,DF",Vancouver W'caps,28,1995,4.5,2.22,2.21,2.00,0.22,0.00,0.00,0.00,0.00,0.22,0.22,0.22,0.00,0.00,0.00,0.00,0.00,Matches
9,Samuel Adeniran,us USA,FW,St. Louis,24,1998,10.5,1.81,1.80,1.24,0.00,0.29,0.19,0.00,0.10,0.19,0.19,0.10,0.00,0.00,0.00,0.00,0.10,Matches
10,Harrison Afful,gh GHA,DF,Charlotte,36,1986,10.6,2.26,2.27,1.98,0.00,0.19,0.09,0.00,0.00,0.66,0.66,0.47,0.00,0.19,0.00,0.00,0.00,Matches
11,Stephen Afrifa,ca CAN,FW,Sporting KC,21,2001,0.6,1.67,1.76,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
12,William Agada,ng NGA,FW,Sporting KC,23,1999,7.6,2.76,2.75,1.71,0.13,0.26,0.53,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
13,Giovanni Aguilar,us USA,MF,Vancouver W'caps,24,1998,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
14,Daniel Aguirre,us USA,"MF,FW",LA Galaxy,23,1999,6.4,4.22,4.25,2.97,0.31,0.16,0.31,0.47,0.00,0.47,0.47,0.16,0.00,0.16,0.00,0.16,0.00,Matches
15,Patrick Agyemang,us USA,FW,Charlotte,22,2000,2.1,2.38,2.36,0.48,0.00,1.43,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
16,Ali Ahmed,ca CAN,"MF,DF",Vancouver W'caps,22,2000,12.5,3.92,3.92,2.96,0.00,0.24,0.08,0.56,0.08,0.32,0.32,0.24,0.00,0.00,0.00,0.00,0.08,Matches
17,Carlos Akapo,gq EQG,DF,SJ Earthquakes,29,1993,23.8,1.89,1.89,1.51,0.08,0.13,0.04,0.08,0.04,0.25,0.25,0.21,0.00,0.00,0.00,0.00,0.04,Matches
18,Matai Akinmboni,us USA,DF,D.C. United,16,2006,2.0,0.50,0.49,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
19,Ayo Akinola,ca CAN,FW,Toronto FC,23,2000,6.2,2.10,2.10,1.29,0.00,0.32,0.16,0.32,0.00,0.32,0.32,0.16,0.00,0.00,0.16,0.00,0.00,Matches
20,Ayo Akinola,ca CAN,"FW,MF",SJ Earthquakes,23,2000,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
21,Joey Akpunonu,us USA,DF,FC Cincinnati,21,2001,0.1,10.0,10.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
22,Jordi Alba,es ESP,DF,Inter Miami,33,1989,4.9,1.43,1.44,1.22,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
23,Tony Alfaro,us USA,DF,NYCFC,29,1993,4.2,0.48,0.48,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
24,Tony Alfaro,us USA,DF,LA Galaxy,29,1993,4.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
25,Noah Allen,gr GRE,DF,Inter Miami,18,2004,13.9,1.37,1.36,1.01,0.22,0.07,0.07,0.00,0.00,0.29,0.29,0.29,0.00,0.00,0.00,0.00,0.00,Matches
26,Rasmus Alm,se SWE,"MF,FW",St. Louis,27,1995,12.2,2.95,2.96,2.30,0.25,0.08,0.08,0.25,0.00,0.49,0.49,0.33,0.08,0.00,0.00,0.08,0.00,Matches
27,Thiago Almada,ar ARG,MF,Atlanta Utd,21,2001,30.3,6.83,6.83,4.55,0.73,0.69,0.46,0.33,0.07,1.09,1.09,0.66,0.10,0.07,0.20,0.07,0.00,Matches
28,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,37,1985,1.1,0.91,0.93,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
29,Jozy Altidore,us USA,FW,NE Revolution,33,1989,2.3,0.87,0.88,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
30,Efrain Alvarez,mx MEX,"MF,FW",LA Galaxy,20,2002,4.2,4.76,4.77,3.57,0.71,0.00,0.48,0.00,0.00,0.71,0.72,0.71,0.00,0.00,0.00,0.00,0.00,Matches
31,Fernando Álvarez,co COL,DF,CF Montréal,19,2003,2.8,1.07,1.06,0.36,0.00,0.00,0.36,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
32,Luis Amarilla,py PAR,FW,Minnesota Utd,27,1995,8.2,2.56,2.55,1.95,0.00,0.37,0.12,0.12,0.00,0.12,0.12,0.00,0.00,0.00,0.00,0.12,0.00,Matches
33,Frankie Amaya,us USA,MF,NY Red Bulls,22,2000,21.3,3.52,3.52,2.44,0.70,0.14,0.09,0.00,0.14,0.33,0.33,0.28,0.05,0.00,0.00,0.00,0.00,Matches
34,Malte Amundsen,dk DEN,DF,Columbus Crew,24,1998,21.0,1.14,1.14,1.05,0.00,0.00,0.10,0.00,0.00,0.19,0.19,0.19,0.00,0.00,0.00,0.00,0.00,Matches
35,Sebastian Anderson,us USA,DF,Colorado Rapids,20,2002,3.0,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
36,José Andrés Martínez,ve VEN,MF,Philadelphia Union,28,1994,20.3,2.22,2.22,1.58,0.10,0.25,0.15,0.15,0.00,0.39,0.40,0.25,0.05,0.10,0.00,0.00,0.00,Matches
