0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Yellow CardsYellow Cards,Red CardsRed Cards,Second Yellow CardSecond Yellow Card,Fouls CommittedFouls Committed,Fouls DrawnFouls Drawn,OffsidesOffsides,CrossesCrosses,InterceptionsInterceptions,Tackles WonTackles in which the tackler's team won possession of the ball,Penalty Kicks WonPenalty Kicks Won,Penalty Kicks ConcededPenalty Kicks Conceded,Own GoalsOwn Goals,Ball RecoveriesNumber of loose balls recovered,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,24_Matches
1,Liel Abada,il ISR,FW,Charlotte,22,2001,18.2,0.11,0.00,0.00,0.49,0.60,0.71,2.36,0.27,0.44,0.00,0.00,0.00,3.74,0.11,0.88,11.1,Matches
2,Jose Casas de Abadal,us USA,"FW,DF",Inter Miami,23,2000,0.3,0.00,0.00,0.00,6.67,3.33,0.00,3.33,0.00,3.33,0.00,0.00,0.00,20.0,0.00,0.00,,Matches
3,Luis Abram,pe PER,DF,Atlanta Utd,27,1996,12.2,0.16,0.00,0.00,0.41,0.16,0.00,0.16,0.74,0.41,0.00,0.00,0.00,3.44,1.39,1.39,50.0,Matches
4,Lalas Abubakar,gh GHA,DF,Colorado Rapids,29,1994,14.2,0.21,0.00,0.00,0.85,0.35,0.00,0.00,1.34,0.56,0.00,0.07,0.07,2.61,2.46,1.34,64.8,Matches
5,Kellyn Acosta,us USA,MF,Chicago Fire,28,1995,25.6,0.23,0.00,0.00,1.56,0.66,0.00,3.44,1.17,1.33,0.00,0.00,0.00,5.27,0.47,0.74,38.7,Matches
6,Luciano Acosta,ar ARG,MF,FC Cincinnati,29,1994,30.0,0.23,0.00,0.00,1.57,1.67,0.77,5.23,0.47,0.83,0.03,0.00,0.00,4.00,0.30,0.30,50.0,Matches
7,Jordan Adebayo-Smith,ng NGA,"FW,MF",Minnesota Utd,24,2000,2.8,0.71,0.00,0.00,2.86,0.36,0.36,1.07,0.71,1.07,0.00,0.00,0.00,1.79,1.79,5.00,26.3,Matches
8,Sam Adekugbe,ca CAN,"DF,MF",Vancouver W'caps,29,1995,8.3,0.48,0.00,0.00,1.57,0.60,0.24,4.82,0.60,0.24,0.00,0.00,0.00,3.86,1.57,0.96,61.9,Matches
9,Samuel Adeniran,us USA,FW,Philadelphia Union,25,1998,1.5,0.00,0.00,0.00,2.00,0.67,0.00,2.00,2.00,2.67,0.00,0.00,0.00,6.00,2.67,6.00,30.8,Matches
10,Samuel Adeniran,us USA,"FW,MF",St. Louis,25,1998,6.6,0.30,0.00,0.00,1.82,0.45,0.45,0.61,0.30,0.15,0.00,0.00,0.00,2.12,3.03,2.42,55.6,Matches
11,Leonardo Afonso,br BRA,"FW,MF",Inter Miami,22,2001,2.7,0.00,0.00,0.00,1.85,2.96,0.37,1.85,2.22,2.22,0.37,0.00,0.00,3.70,1.48,3.33,30.8,Matches
