FC25_Name,FBref_Name,Match_Score,Position,Alternative_Positions,Team,Age,OVR
Lionel Messi,Lionel Messi,1.0,RW,"ST, CAM, RM",Inter Miami CF,37,88
Olivier Giroud,Olivier Giroud,1.0,ST,,LAFC,37,83
Luis Suárez,Luis Suárez,1.0,ST,,Inter Miami CF,37,82
Luciano Acosta,Luciano Acosta,1.0,CAM,LM,FC Cincinnati,30,81
Sergio Busquets,Sergio Busquets,1.0,CDM,"CM, CB",Inter Miami CF,36,81
Jordi Alba,Jordi Alba,1.0,LB,,Inter Miami CF,35,80
Denis Bouanga,Denis Bouanga,1.0,LW,"ST, LM",LAFC,29,80
Emil Forsberg,Emil Forsberg,1.0,CAM,LM,Red Bulls,32,79
Carles Gil,Carles Gil,1.0,CAM,RM,New England,31,79
Hugo Lloris,Hugo Lloris,1.0,GK,,LAFC,37,79
Hany Mukhtar,Hany Mukhtar,1.0,CAM,ST,Nashville SC,29,79
Cristian Arango,Cristian Arango,1.0,ST,CAM,Real Salt Lake,29,78
Roman Bürki,Roman Bürki,1.0,GK,,St. Louis CITY SC,33,78
Ryan Gauld,Ryan Gauld,1.0,LW,"ST, RW, LM",Whitecaps FC,28,78
Lorenzo Insigne,Lorenzo Insigne,1.0,LW,"CAM, LM",Toronto FC,33,78
Luis Muriel,Luis Muriel,1.0,ST,,Orlando City,33,78
Federico Bernardeschi,Federico Bernardeschi,1.0,RW,"RM, CAM",Toronto FC,30,77
Evander,Evander,1.0,CAM,CM,Portland Timbers,26,77
Jonathan Rodríguez,Jonathan Rodríguez,1.0,ST,LM,Portland Timbers,31,77
Hugo Cuypers,Hugo Cuypers,1.0,ST,,Chicago Fire FC,27,76
João Paulo,João Paulo Mior,0.95,CDM,CM,Sounders FC,33,76
Petar Musa,Petar Musa,1.0,ST,,FC Dallas,26,76
Andre Blake,Andre Blake,1.0,GK,,Philadelphia,33,75
Tomás Chancalay,Tomás Chancalay,1.0,LM,"RM, LW",New England,25,75
Cristian Espinoza,Cristian Espinoza,1.0,RM,RW,SJ Earthquakes,29,75
Jesus Ferreira,Jesús Ferreira,1.0,ST,CAM,FC Dallas,23,75
Dániel Gazdag,Dániel Gazdag,1.0,CAM,ST,Philadelphia,28,75
Marcel Hartel,Marcel Hartel,1.0,CM,CAM,St. Louis CITY SC,28,75
Robin Lod,Robin Lod,1.0,RM,"CM, CDM, RW",Minnesota United,31,75
Eduard Löwen,Eduard Löwen,1.0,CM,"CDM, CAM",St. Louis CITY SC,27,75
Darlington Nagbe,Darlington Nagbe,1.0,CM,CDM,Columbus Crew,34,75
