0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,Matches PlayedMatches Played by the player or squad,Game or games started by player,Minutes,90s Played90s playedMinutes played divided by 90,GoalsGoals scored or allowed,AssistsAssists,Goals + AssistsGoals and Assists,Non-Penalty GoalsNon-Penalty Goals,Penalty Kicks MadePenalty Kicks Made,Penalty Kicks AttemptedPenalty Kicks Attempted,Yellow CardsYellow Cards,Red CardsRed Cards,"xG: Expected GoalsExpected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG: Non-Penalty xGNon-Penalty Expected GoalsProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","xAG: Exp. Assisted GoalsExpected Assisted GoalsxG which follows a pass that assists a shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",Progression_PrgC,Progression_PrgP,Progression_PrgR,GoalsGoals scored or allowed,AssistsAssists,Goals + AssistsGoals and Assists,Non-Penalty GoalsNon-Penalty Goals,Non-Penalty Goals + Assists/90Goals plus Assists minus Penalty Kicks made per 90 minutesMinimum 30 minutes played per squad game to qualify as a leader,"xG: Expected GoalsExpected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","xAG: Exp. Assisted GoalsExpected Assisted GoalsxG which follows a pass that assists a shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","xG + xAG/90Expected Goals plus Assisted Goals per 90 minutesxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader","npxG: Non-Penalty xGNon-Penalty Expected GoalsProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",36_Matches
1,Paxten Aaronson,us USA,MF,Colorado Rapids,22-100,2003,7,6,572,6.4,0.16,0.00,0.16,0.16,0.00,0.00,0.47,0.00,0.42,0.42,0.09,0.52,4.06,6.56,4.38,0.16,0.00,0.16,0.16,0.16,0.42,0.10,0.52,0.42,0.52,Matches
2,Liel Abada,il ISR,"FW,MF",Charlotte,24-062,2001,32,17,1481,16.5,0.30,0.06,0.36,0.30,0.00,0.00,0.06,0.00,0.42,0.42,0.17,0.59,4.06,3.15,8.30,0.30,0.06,0.36,0.30,0.36,0.42,0.17,0.59,0.42,0.59,Matches
3,Wessam Abou Ali,ps PLE,FW,Columbus Crew,26-334,1999,5,4,303,3.4,0.88,0.00,0.88,0.88,0.00,0.00,0.00,0.00,0.24,0.24,0.18,0.41,1.76,2.35,8.82,0.89,0.00,0.89,0.89,0.89,0.24,0.17,0.41,0.24,0.41,Matches
4,Luis Abram,pe PER,DF,Atlanta Utd,29-280,1996,21,16,1493,16.6,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.01,0.01,0.00,0.01,0.90,4.52,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
5,Lalas Abubakar,gh GHA,DF,FC Dallas,30-344,1994,29,18,1656,18.4,0.05,0.00,0.05,0.05,0.00,0.00,0.27,0.05,0.03,0.03,0.01,0.04,0.33,1.79,0.43,0.05,0.00,0.05,0.05,0.05,0.03,0.01,0.04,0.03,0.04,Matches
6,Bryan Acosta,hn HON,MF,Nashville SC,32-010,1993,14,1,221,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.24,0.24,0.80,6.80,1.60,0.00,0.00,0.00,0.00,0.00,0.01,0.25,0.26,0.01,0.26,Matches
7,Kellyn Acosta,us USA,MF,Chicago Fire,30-133,1995,19,6,655,7.3,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.01,0.01,0.05,0.07,0.68,3.70,1.10,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.06,0.01,0.06,Matches
8,Luciano Acosta,ar ARG,"MF,FW",FC Dallas,31-187,1994,21,18,1695,18.8,0.27,0.05,0.32,0.21,0.05,0.11,0.43,0.00,0.29,0.20,0.21,0.41,3.14,6.91,6.65,0.27,0.05,0.32,0.21,0.27,0.29,0.20,0.49,0.20,0.41,Matches
9,Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-322,1995,7,4,291,3.2,0.63,0.00,0.63,0.63,0.00,0.00,0.00,0.00,0.41,0.41,0.09,0.53,3.13,5.00,10.3,0.62,0.00,0.62,0.62,0.62,0.42,0.10,0.52,0.42,0.52,Matches
10,Leonardo Afonso,br BRA,"DF,FW",Atlanta Utd,24-144,2001,3,1,77,0.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.67,0.78,1.11,3.33,8.89,0.00,0.00,0.00,0.00,0.00,0.11,0.67,0.78,0.11,0.78,Matches
11,Leonardo Afonso,br BRA,"FW,MF",Inter Miami,24-144,2001,3,1,87,1.0,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.40,0.40,0.00,0.40,1.00,1.00,7.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.38,0.38,0.38,Matches
12,Stephen Afrifa,ca CAN,"MF,FW",Sporting KC,24-288,2001,9,1,138,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.27,0.27,0.13,0.33,7.33,4.67,14.0,0.00,0.00,0.00,0.00,0.00,0.24,0.12,0.35,0.24,0.35,Matches
13,William Agada,ng NGA,FW,Sporting KC,26-078,1999,6,1,99,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.45,0.18,0.55,0.00,1.82,1.82,0.00,0.00,0.00,0.00,0.00,0.44,0.15,0.58,0.44,0.58,Matches
14,William Agada,ng NGA,FW,Real Salt Lake,26-078,1999,22,12,1173,13.0,0.15,0.15,0.31,0.15,0.00,0.00,0.46,0.08,0.25,0.25,0.12,0.37,1.23,0.85,4.62,0.15,0.15,0.31,0.15,0.31,0.25,0.12,0.37,0.25,0.37,Matches
15,Patrick Agyemang,us USA,FW,Charlotte,25-027,2000,16,15,1224,13.6,0.44,0.07,0.51,0.37,0.07,0.07,0.22,0.00,0.39,0.34,0.18,0.51,2.13,1.40,6.03,0.44,0.07,0.51,0.37,0.44,0.39,0.18,0.57,0.33,0.52,Matches
16,Ali Ahmed,ca CAN,FW,Vancouver W'caps,25-055,2000,22,12,1288,14.3,0.00,0.56,0.56,0.00,0.00,0.00,0.14,0.00,0.15,0.15,0.34,0.49,5.38,5.59,15.7,0.00,0.56,0.56,0.00,0.56,0.15,0.34,0.49,0.15,0.49,Matches
17,Forster Ajago,gh GHA,FW,Real Salt Lake,24-110,2001,6,3,259,2.9,0.34,0.00,0.34,0.34,0.00,0.00,0.69,0.00,0.21,0.21,0.03,0.24,0.34,0.34,5.17,0.35,0.00,0.35,0.35,0.35,0.22,0.03,0.25,0.22,0.25,Matches
18,Jordi Alba,es ESP,DF,Inter Miami,36-258,1989,30,29,2563,28.5,0.21,0.39,0.60,0.21,0.00,0.00,0.21,0.00,0.09,0.09,0.31,0.40,1.79,6.56,10.4,0.21,0.39,0.60,0.21,0.60,0.09,0.31,0.40,0.09,0.40,Matches
19,Noah Allen,gr GRE,DF,Inter Miami,21-220,2004,26,20,1898,21.1,0.00,0.05,0.05,0.00,0.00,0.00,0.19,0.00,0.01,0.01,0.06,0.07,0.62,3.79,2.32,0.00,0.05,0.05,0.00,0.05,0.01,0.06,0.07,0.01,0.07,Matches
20,Tadeo Allende,ar ARG,"MF,FW",Inter Miami,26-287,1999,31,26,2154,23.9,0.46,0.04,0.50,0.46,0.00,0.00,0.04,0.00,0.43,0.43,0.10,0.54,1.51,1.76,7.99,0.46,0.04,0.50,0.46,0.50,0.43,0.10,0.54,0.43,0.54,Matches
21,Rasmus Alm,se SWE,DF,St. Louis,30-109,1995,1,0,8,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.59,0.59,0.59,Matches
22,Miguel Almirón,py PAR,"FW,MF",Atlanta Utd,31-297,1994,31,31,2706,30.1,0.20,0.13,0.33,0.10,0.10,0.10,0.13,0.00,0.30,0.22,0.10,0.33,3.49,7.08,7.04,0.20,0.13,0.33,0.10,0.23,0.30,0.10,0.40,0.22,0.32,Matches
23,Alejandro Alvarado Jr.,us USA,MF,San Diego FC,22-128,2003,12,6,488,5.4,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.06,0.06,0.04,0.09,0.93,6.11,3.15,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09,Matches
24,Fernando Álvarez,co COL,DF,CF Montréal,22-102,2003,22,11,1094,12.2,0.00,0.08,0.08,0.00,0.00,0.00,0.33,0.00,0.01,0.01,0.05,0.06,0.16,3.93,0.00,0.00,0.08,0.08,0.00,0.08,0.01,0.05,0.06,0.01,0.06,Matches
25,Steven Alzate,co COL,MF,Atlanta Utd,27-087,1998,10,7,649,7.2,0.00,0.14,0.14,0.00,0.00,0.00,0.28,0.00,0.04,0.04,0.11,0.15,1.11,4.31,1.39,0.00,0.14,0.14,0.00,0.14,0.04,0.11,0.15,0.04,0.15,Matches
26,Pedro Amador,pt POR,DF,Atlanta Utd,26-351,1998,26,24,2078,23.1,0.04,0.00,0.04,0.04,0.00,0.00,0.17,0.00,0.02,0.02,0.08,0.10,1.65,3.81,5.15,0.04,0.00,0.04,0.04,0.04,0.02,0.08,0.10,0.02,0.10,Matches
27,Daouda Amadou,cm CMR,MF,Colorado Rapids,23-063,2002,1,0,11,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
28,Frankie Amaya,us USA,MF,LAFC,25-069,2000,19,3,433,4.8,0.21,0.00,0.21,0.21,0.00,0.00,0.21,0.00,0.13,0.13,0.08,0.21,0.83,5.00,3.75,0.21,0.00,0.21,0.21,0.21,0.12,0.08,0.20,0.12,0.20,Matches
29,Malte Amundsen,dk DEN,DF,Columbus Crew,27-296,1998,24,21,1780,19.8,0.05,0.10,0.15,0.05,0.00,0.00,0.15,0.05,0.06,0.06,0.06,0.12,1.16,6.01,1.72,0.05,0.10,0.15,0.05,0.15,0.06,0.06,0.12,0.06,0.12,Matches
30,Markus Anderson,us USA,FW,Philadelphia Union,21-358,2003,3,1,100,1.1,0.91,0.00,0.91,0.91,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,0.91,2.73,6.36,0.90,0.00,0.90,0.90,0.90,0.07,0.00,0.07,0.07,0.07,Matches
31,Tomas Ángel,co COL,FW,San Diego FC,22-287,2003,22,9,715,7.9,0.38,0.25,0.63,0.38,0.00,0.00,0.13,0.00,0.19,0.19,0.13,0.30,1.14,2.66,6.08,0.38,0.25,0.63,0.38,0.63,0.18,0.12,0.31,0.18,0.31,Matches
32,Iván Angulo,co COL,"MF,FW",Orlando City,26-257,1999,33,30,2305,25.6,0.00,0.16,0.16,0.00,0.00,0.00,0.16,0.00,0.12,0.12,0.16,0.27,3.32,4.34,8.24,0.00,0.16,0.16,0.00,0.16,0.12,0.16,0.27,0.12,0.27,Matches
33,Conner Antley,us USA,"DF,MF",D.C. United,30-257,1995,20,17,1343,14.9,0.07,0.07,0.13,0.07,0.00,0.00,0.07,0.00,0.06,0.06,0.02,0.09,1.61,2.48,3.69,0.07,0.07,0.13,0.07,0.13,0.06,0.02,0.09,0.06,0.09,Matches
34,Antony,br BRA,"FW,MF",Portland Timbers,24-087,2001,28,26,2202,24.5,0.29,0.20,0.49,0.29,0.00,0.00,0.20,0.00,0.32,0.32,0.11,0.44,4.12,3.80,10.3,0.29,0.20,0.49,0.29,0.49,0.32,0.11,0.44,0.32,0.44,Matches
35,Seth Antwi,gh GHA,MF,St. Louis,26-025,1999,2,0,15,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.00,0.29,Matches
36,Brian Anunga,cm CMR,MF,FC Cincinnati,29-116,1996,30,19,1700,18.9,0.00,0.05,0.05,0.00,0.00,0.00,0.11,0.05,0.05,0.05,0.02,0.06,0.69,3.33,0.90,0.00,0.05,0.05,0.00,0.05,0.05,0.01,0.06,0.05,0.06,Matches
37,Chris Applewhite,us USA,DF,Nashville SC,18-103,2007,5,2,190,2.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
38,Cristian Arango,co COL,"FW,MF",SJ Earthquakes,30-270,1995,30,30,2551,28.3,0.46,0.11,0.57,0.35,0.11,0.11,0.21,0.00,0.52,0.43,0.15,0.58,2.51,4.17,5.94,0.46,0.11,0.56,0.35,0.46,0.52,0.15,0.66,0.43,0.58,Matches
39,César Araujo,uy URU,MF,Orlando City,24-246,2001,22,20,1798,20.0,0.10,0.15,0.25,0.10,0.00,0.00,0.30,0.05,0.04,0.04,0.09,0.14,1.00,6.00,1.50,0.10,0.15,0.25,0.10,0.25,0.04,0.09,0.13,0.04,0.13,Matches
40,Max Arfsten,us USA,"DF,MF",Columbus Crew,24-229,2001,29,29,2562,28.5,0.14,0.18,0.32,0.14,0.00,0.00,0.14,0.00,0.19,0.19,0.22,0.40,2.67,6.07,10.3,0.14,0.18,0.32,0.14,0.32,0.19,0.22,0.41,0.19,0.41,Matches
41,Daniel Armando Ríos,mx MEX,FW,Vancouver W'caps,30-285,1995,31,16,1416,15.7,0.19,0.13,0.32,0.19,0.00,0.13,0.19,0.00,0.39,0.29,0.14,0.43,0.83,1.59,5.41,0.19,0.13,0.32,0.19,0.32,0.39,0.14,0.53,0.29,0.43,Matches
42,Paul Arriola,us USA,"FW,DF",Seattle Sounders,30-302,1995,2,0,75,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,2.50,21.3,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
43,Artur,br BRA,MF,Houston Dynamo,29-268,1996,33,32,2850,31.7,0.03,0.00,0.03,0.03,0.00,0.00,0.16,0.03,0.01,0.01,0.01,0.02,0.44,5.30,0.85,0.03,0.00,0.03,0.03,0.03,0.01,0.01,0.02,0.01,0.02,Matches
44,Joshua Atencio,us USA,MF,Colorado Rapids,23-307,2002,27,23,1771,19.7,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.05,0.05,0.06,0.11,0.96,5.84,1.42,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches
45,Eduard Atuesta,co COL,MF,Orlando City,28-169,1997,28,25,2268,25.2,0.00,0.24,0.24,0.00,0.00,0.00,0.24,0.00,0.09,0.09,0.20,0.29,0.99,6.79,2.34,0.00,0.24,0.24,0.00,0.24,0.09,0.20,0.29,0.09,0.29,Matches
46,Julián Aude,ar ARG,DF,LA Galaxy,22-255,2003,28,11,1221,13.6,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.02,0.02,0.07,0.09,2.06,6.03,6.84,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches
47,Tomás Avilés,ar ARG,DF,Inter Miami,21-304,2004,25,15,1195,13.3,0.15,0.00,0.15,0.15,0.00,0.00,0.38,0.15,0.05,0.05,0.00,0.05,0.75,3.31,0.15,0.15,0.00,0.15,0.15,0.15,0.05,0.00,0.05,0.05,0.05,Matches
48,Chidozie Awaziem,ng NGA,DF,Colorado Rapids,28-337,1997,20,20,1773,19.7,0.00,0.05,0.05,0.00,0.00,0.00,0.30,0.00,0.07,0.07,0.05,0.11,0.36,2.99,0.20,0.00,0.05,0.05,0.00,0.05,0.06,0.04,0.11,0.06,0.11,Matches
49,Obafemi Awodesu,us USA,DF,Houston Dynamo,24-243,2001,24,17,1546,17.2,0.06,0.00,0.06,0.06,0.00,0.00,0.17,0.06,0.03,0.03,0.01,0.04,0.12,1.86,0.23,0.06,0.00,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04,Matches
50,David Ayala,ar ARG,MF,Portland Timbers,23-131,2002,33,32,2624,29.2,0.07,0.03,0.10,0.07,0.00,0.00,0.14,0.00,0.06,0.06,0.04,0.10,0.51,6.61,0.82,0.07,0.03,0.10,0.07,0.10,0.06,0.04,0.10,0.06,0.10,Matches
51,Dominique Badji,sn SEN,"FW,MF",D.C. United,33-049,1992,21,6,748,8.3,0.12,0.00,0.12,0.12,0.00,0.00,0.36,0.00,0.30,0.30,0.04,0.33,1.08,1.08,6.51,0.12,0.00,0.12,0.12,0.12,0.30,0.03,0.33,0.30,0.33,Matches
52,Jeevan Badwal,ca CAN,"MF,FW",Vancouver W'caps,19-268,2006,25,9,896,10.0,0.10,0.20,0.30,0.10,0.00,0.00,0.10,0.00,0.08,0.08,0.13,0.21,1.00,2.80,3.00,0.10,0.20,0.30,0.10,0.30,0.08,0.13,0.21,0.08,0.21,Matches
