0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,Matches PlayedMatches Played by the player or squad,Game or games started by player,Minutes,90s Played90s playedMinutes played divided by 90,GoalsGoals scored or allowed,AssistsAssists,Goals + AssistsGoals and Assists,Non-Penalty GoalsNon-Penalty Goals,Penalty Kicks MadePenalty Kicks Made,Penalty Kicks AttemptedPenalty Kicks Attempted,Yellow CardsYellow Cards,Red CardsRed Cards,"xG: Expected GoalsExpected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG: Non-Penalty xGNon-Penalty Expected GoalsProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","xAG: Exp. Assisted GoalsExpected Assisted GoalsxG which follows a pass that assists a shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",Progression_PrgC,Progression_PrgP,Progression_PrgR,GoalsGoals scored or allowed,AssistsAssists,Goals + AssistsGoals and Assists,Non-Penalty GoalsNon-Penalty Goals,Non-Penalty Goals + Assists/90Goals plus Assists minus Penalty Kicks made per 90 minutesMinimum 30 minutes played per squad game to qualify as a leader,"xG: Expected GoalsExpected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","xAG: Exp. Assisted GoalsExpected Assisted GoalsxG which follows a pass that assists a shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","xG + xAG/90Expected Goals plus Assisted Goals per 90 minutesxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader","npxG: Non-Penalty xGNon-Penalty Expected GoalsProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",36_Matches
53,Corey Baird,us USA,FW,San Diego FC,29-308,1996,5,3,263,2.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.03,0.10,1.03,2.07,5.17,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.11,0.07,0.11,Matches
54,Corey Baird,us USA,"FW,MF",FC Cincinnati,29-308,1996,18,3,422,4.7,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.00,0.19,0.19,0.11,0.30,2.98,2.55,6.17,0.00,0.00,0.00,0.00,0.00,0.18,0.11,0.30,0.18,0.30,Matches
55,Cody Baker,us USA,"DF,MF",Seattle Sounders,21-331,2004,3,1,117,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.54,2.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
56,Reed Baker-Whiting,us USA,DF,Seattle Sounders,20-248,2005,14,6,544,6.0,0.00,0.17,0.17,0.00,0.00,0.00,0.83,0.17,0.02,0.02,0.28,0.30,1.50,4.50,5.83,0.00,0.17,0.17,0.00,0.17,0.02,0.28,0.31,0.02,0.31,Matches
57,Monsef Bakrar,dz ALG,"FW,MF",NYCFC,24-325,2001,21,5,601,6.7,0.30,0.00,0.30,0.30,0.00,0.00,0.15,0.00,0.28,0.28,0.06,0.36,0.60,1.34,7.61,0.30,0.00,0.30,0.30,0.30,0.29,0.06,0.35,0.29,0.35,Matches
58,Alexandru Băluță,ro ROU,"MF,FW",LAFC,32-082,1993,1,0,15,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,2.50,0.00,2.50,10.0,0.00,15.0,0.00,0.00,0.00,0.00,0.00,2.98,0.00,2.98,2.98,2.98,Matches
59,Jonathan Bamba,ci CIV,FW,Chicago Fire,29-253,1996,34,32,2456,27.3,0.18,0.15,0.33,0.18,0.00,0.00,0.11,0.00,0.22,0.22,0.19,0.40,4.14,4.29,7.84,0.18,0.15,0.33,0.18,0.33,0.22,0.19,0.40,0.22,0.40,Matches
60,Fidel Barajas,mx MEX,FW,D.C. United,19-243,2006,4,0,38,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,7.50,25.0,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,Matches
61,Jesús Barea,es ESP,FW,Real Salt Lake,23-220,2002,11,1,263,2.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.55,0.03,0.59,0.69,2.76,4.83,0.00,0.00,0.00,0.00,0.00,0.55,0.04,0.60,0.55,0.60,Matches
62,Tai Baribo,il ISR,FW,Philadelphia Union,27-323,1998,29,20,1867,20.7,0.77,0.10,0.87,0.72,0.05,0.05,0.34,0.00,0.66,0.62,0.11,0.73,0.53,1.69,5.31,0.77,0.10,0.87,0.72,0.82,0.66,0.11,0.77,0.62,0.73,Matches
63,Tom Barlow,us USA,"FW,MF",Chicago Fire,30-149,1995,22,1,373,4.1,0.73,0.00,0.73,0.73,0.00,0.00,0.24,0.00,0.37,0.37,0.05,0.41,0.49,1.46,3.90,0.72,0.00,0.72,0.72,0.72,0.35,0.05,0.40,0.35,0.40,Matches
64,Luis Barraza,us USA,GK,D.C. United,29-026,1996,24,24,2090,23.2,0.00,0.04,0.04,0.00,0.00,0.00,0.13,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,0.00,0.00,0.00,0.00,0.00,Matches
65,Leonardo Barroso,pt POR,DF,Chicago Fire,20-175,2005,19,11,1045,11.6,0.09,0.09,0.17,0.09,0.00,0.00,0.09,0.00,0.04,0.04,0.07,0.11,2.16,3.19,3.88,0.09,0.09,0.17,0.09,0.17,0.04,0.07,0.11,0.04,0.11,Matches
66,Jacob Bartlett,us USA,MF,Sporting KC,20-058,2005,30,22,1935,21.5,0.00,0.05,0.05,0.00,0.00,0.00,0.37,0.00,0.01,0.01,0.05,0.06,0.28,3.02,0.37,0.00,0.05,0.05,0.00,0.05,0.01,0.05,0.06,0.01,0.06,Matches
67,Lucas Bartlett,us USA,DF,D.C. United,28-131,1997,30,29,2603,28.9,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.04,0.04,0.05,0.09,0.28,1.87,0.31,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,Matches
68,Ethan Bartlow,us USA,DF,Houston Dynamo,25-305,2000,22,14,1326,14.7,0.00,0.14,0.14,0.00,0.00,0.00,0.14,0.00,0.08,0.08,0.06,0.14,0.68,4.22,0.41,0.00,0.14,0.14,0.00,0.14,0.08,0.06,0.14,0.08,0.14,Matches
69,Cole Bassett,us USA,"MF,FW",Colorado Rapids,24-129,2001,28,25,2196,24.4,0.12,0.12,0.25,0.08,0.04,0.04,0.16,0.00,0.21,0.18,0.14,0.32,2.87,5.16,4.55,0.12,0.12,0.25,0.08,0.20,0.21,0.14,0.35,0.18,0.32,Matches
70,Sam Bassett,us USA,"FW,MF",Colorado Rapids,22-235,2003,12,3,339,3.8,0.00,0.26,0.26,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.13,0.39,1.32,2.37,5.53,0.00,0.27,0.27,0.00,0.27,0.28,0.13,0.40,0.28,0.40,Matches
71,Amine Bassi,fr FRA,"MF,FW",Houston Dynamo,28-007,1997,29,20,1749,19.4,0.10,0.15,0.26,0.10,0.00,0.00,0.21,0.00,0.11,0.11,0.20,0.31,1.86,6.34,6.60,0.10,0.15,0.26,0.10,0.26,0.11,0.20,0.31,0.11,0.31,Matches
72,Zorhan Bassong,ca CAN,"MF,DF",Sporting KC,26-211,1999,25,18,1665,18.5,0.05,0.00,0.05,0.05,0.00,0.00,0.43,0.00,0.03,0.03,0.08,0.10,1.30,6.54,2.81,0.05,0.00,0.05,0.05,0.05,0.03,0.08,0.10,0.03,0.10,Matches
73,Andy Batioja,co COL,FW,Houston Dynamo,19-307,2006,1,0,10,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
74,Josh Bauer,us USA,DF,Nashville SC,27-135,1998,24,9,844,9.4,0.21,0.21,0.43,0.21,0.00,0.00,0.00,0.00,0.07,0.07,0.10,0.17,1.06,4.36,4.04,0.21,0.21,0.43,0.21,0.43,0.08,0.09,0.17,0.08,0.17,Matches
75,Timo Baumgartl,de GER,DF,St. Louis,29-275,1996,22,20,1754,19.5,0.00,0.05,0.05,0.00,0.00,0.00,0.21,0.00,0.06,0.06,0.02,0.08,0.26,2.56,0.21,0.00,0.05,0.05,0.00,0.05,0.05,0.02,0.08,0.05,0.08,Matches
76,Tanner Beason,us USA,DF,NE Revolution,28-256,1997,27,22,1946,21.6,0.00,0.05,0.05,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.01,0.02,0.19,2.45,0.51,0.00,0.05,0.05,0.00,0.05,0.01,0.01,0.02,0.01,0.02,Matches
77,Adam Beaudry,us USA,GK,Colorado Rapids,19-230,2006,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
78,Simon Becher,us USA,"FW,MF",St. Louis,26-137,1999,32,11,1249,13.9,0.22,0.14,0.36,0.22,0.00,0.00,0.29,0.00,0.61,0.61,0.19,0.80,1.87,1.73,7.19,0.22,0.14,0.36,0.22,0.36,0.61,0.18,0.80,0.61,0.80,Matches
