"resistance","dn0","net_type"
0,0.3376,"pyrethroid_only"
0.01,0.33695,"pyrethroid_only"
0.02,0.33625,"pyrethroid_only"
0.03,0.3353,"pyrethroid_only"
0.04,0.33435,"pyrethroid_only"
0.05,0.33345,"pyrethroid_only"
0.06,0.333,"pyrethroid_only"
0.07,0.332,"pyrethroid_only"
0.08,0.3311,"pyrethroid_only"
0.09,0.3306,"pyrethroid_only"
0.1,0.33,"pyrethroid_only"
0.11,0.329,"pyrethroid_only"
0.12,0.3282,"pyrethroid_only"
0.13,0.32745,"pyrethroid_only"
0.14,0.32665,"pyrethroid_only"
0.15,0.3255,"pyrethroid_only"
0.16,0.32475,"pyrethroid_only"
0.17,0.324,"pyrethroid_only"
0.18,0.3231,"pyrethroid_only"
0.19,0.322,"pyrethroid_only"
0.2,0.3207,"pyrethroid_only"
0.21,0.31985,"pyrethroid_only"
0.22,0.3189,"pyrethroid_only"
0.23,0.3181,"pyrethroid_only"
0.24,0.3171,"pyrethroid_only"
0.25,0.3163,"pyrethroid_only"
0.26,0.3154,"pyrethroid_only"
0.27,0.3143,"pyrethroid_only"
0.28,0.313,"pyrethroid_only"
0.29,0.31195,"pyrethroid_only"
0.3,0.311,"pyrethroid_only"
0.31,0.3098,"pyrethroid_only"
0.32,0.3086,"pyrethroid_only"
0.33,0.3079,"pyrethroid_only"
0.34,0.3067,"pyrethroid_only"
0.35,0.3056,"pyrethroid_only"
0.36,0.3047,"pyrethroid_only"
0.37,0.3038,"pyrethroid_only"
0.38,0.3024,"pyrethroid_only"
0.39,0.3009,"pyrethroid_only"
0.4,0.29925,"pyrethroid_only"
0.41,0.298,"pyrethroid_only"
0.42,0.29705,"pyrethroid_only"
0.43,0.2954,"pyrethroid_only"
0.44,0.2943,"pyrethroid_only"
0.45,0.29275,"pyrethroid_only"
0.46,0.2913,"pyrethroid_only"
0.47,0.2901,"pyrethroid_only"
0.48,0.28825,"pyrethroid_only"
0.49,0.28615,"pyrethroid_only"
0.5,0.285,"pyrethroid_only"
0.51,0.2836,"pyrethroid_only"
0.52,0.2818,"pyrethroid_only"
0.53,0.2804,"pyrethroid_only"
0.54,0.2791,"pyrethroid_only"
0.55,0.2776,"pyrethroid_only"
0.56,0.27585,"pyrethroid_only"
0.57,0.27415,"pyrethroid_only"
0.58,0.27235,"pyrethroid_only"
0.59,0.27075,"pyrethroid_only"
0.6,0.26835,"pyrethroid_only"
0.61,0.26585,"pyrethroid_only"
0.62,0.26355,"pyrethroid_only"
0.63,0.2618,"pyrethroid_only"
0.64,0.25935,"pyrethroid_only"
0.65,0.2571,"pyrethroid_only"
0.66,0.25475,"pyrethroid_only"
0.67,0.25305,"pyrethroid_only"
0.68,0.25135,"pyrethroid_only"
0.69,0.2489,"pyrethroid_only"
0.7,0.24675,"pyrethroid_only"
0.71,0.2441,"pyrethroid_only"
0.72,0.2423,"pyrethroid_only"
0.73,0.23975,"pyrethroid_only"
0.74,0.23695,"pyrethroid_only"
0.75,0.2344,"pyrethroid_only"
0.76,0.2311,"pyrethroid_only"
