#RESOURCE=yCat_35340109
#Name: J/A+A/534/A109
#Title: MCXC Meta-Catalogue X-ray galaxy Clusters (Piffaretti+, 2011)
#Table	J_A_A_534_A109_mcxc:
#Name: J/A+A/534/A109/mcxc
#Title: MCXC catalogue (table2 of the paper)
#Column	MCXC	(A12)	MCXC name (JHHMM.m+DDMM)	[ucd=meta.id;meta.main]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	L500	(F9.6)	X-ray luminosity in 10^44^erg/s (1)	[ucd=phys.luminosity;em.X-ray]
#Column	M500	(F7.4)	Total mass (1)	[ucd=phys.mass]
#Column	R500	(F7.4)	Characteristic radius (1)	[ucd=phys.size.radius]
#MCXC	z	L500	M500	R500
# 	 	10+37W	10+14Msun	Mpc
#------------	-------	---------	-------	-------
J0000.1+0816	 0.0396	 0.196280	 0.7373	 0.6296
J0000.4-0237	 0.0379	 0.052338	 0.3297	 0.4817
J0001.6-1540	 0.1246	 0.814902	 1.6557	 0.8021
J0001.9+1204	 0.2033	 1.990205	 2.6927	 0.9178
J0003.1-0605	 0.2320	 6.107094	 5.2188	 1.1326
J0003.2-3555	 0.0490	 0.441862	 1.2016	 0.7388
J0003.8+0203	 0.0924	 0.846881	 1.7342	 0.8233
J0004.9+1142	 0.0761	 0.518795	 1.3009	 0.7520
J0005.3+1612	 0.1164	 1.579007	 2.4929	 0.9218
J0006.0-3443	 0.1147	 1.809494	 2.7122	 0.9486
J0006.3+1052	 0.1698	 2.272747	 2.9941	 0.9621
J0008.9+4110	 0.1537	 2.110832	 2.8963	 0.9569
J0009.7-3516	 0.0500	 0.261854	 0.8728	 0.6639
J0011.3-2851	 0.0620	 1.086002	 2.0611	 0.8807
J0011.7-1523	 0.3780	 8.900000	 7.2000	 1.1900
J0011.7+3225	 0.1073	 2.571958	 3.3785	 1.0232
J0013.6-1930	 0.0940	 1.236332	 2.1818	 0.8883
J0014.3-6604	 0.1599	 2.827248	 3.4455	 1.0117
J0014.3-3023	 0.3066	11.818114	 7.3614	 1.2359
J0014.3+0854	 0.1630	 1.927804	 2.7218	 0.9342
J0015.4-2350	 0.0645	 0.326305	 0.9884	 0.6888
J0015.9+1614	 0.0830	 0.319693	 0.9638	 0.6790
J0016.3-3121	 0.0805	 0.495174	 1.2607	 0.7431
J0016.7+0646	 0.0833	 0.319327	 0.9629	 0.6787
J0017.5-3509	 0.0968	 0.692442	 1.5291	 0.7883
J0018.5+1626	 0.5456	17.911453	 7.7847	 1.1477
J0019.0-2026	 0.2773	 5.571336	 4.7634	 1.0807
J0019.6+2517	 0.1353	 1.441768	 2.3266	 0.8951
J0020.1+0005	 0.2124	 0.686609	 1.3975	 0.7352
J0020.5-4913	 0.0711	 0.268194	 0.8730	 0.6595
J0020.6+2840	 0.0940	 1.434697	 2.3890	 0.9156
J0020.7-2542	 0.1410	 2.872451	 3.5275	 1.0263
J0021.5+2803	 0.0948	 0.967910	 1.8782	 0.8448
