node_ids,etype,layer,mtype,synapse_class,x,y,z
13124,cADpyr,6,L6_TPC:A,EXC,3643.2493672945384,-1242.686865647339,-2696.3696288947717
2190,cADpyr,3,L3_TPC:A,EXC,4138.521760386717,-1119.9918938973033,-2094.9045176202535
5835,cADpyr,6,L6_BPC,EXC,3559.66826268514,-1259.687722466011,-3027.3633756382706
5880,cADpyr,6,L6_BPC,EXC,3468.7140140549127,-987.3117544830775,-2951.5177953330017
6527,cADpyr,6,L6_BPC,EXC,3520.8806183726792,-1052.3618120919919,-2775.3896788274023
10445,cADpyr,6,L6_IPC,EXC,3722.710996971424,-1078.414987376701,-2763.994728157949
13489,cADpyr,6,L6_TPC:A,EXC,3679.601895642145,-1328.1325386764574,-2887.3673728878675
13578,cADpyr,6,L6_TPC:A,EXC,3752.073364546168,-1122.860629852118,-2765.7200569399406
618,cADpyr,3,L3_TPC:A,EXC,4275.889784423123,-1454.9102377965728,-2104.406501602516
2338,cADpyr,3,L3_TPC:A,EXC,4198.980875751044,-1277.6648758321417,-1898.5251716557605
5243,cADpyr,6,L6_BPC,EXC,3657.9980592075863,-1273.2065361892228,-3068.1737035624556
12956,cADpyr,6,L6_TPC:A,EXC,3581.8339729492254,-1249.1311071676291,-2855.3519288476855
15826,cADpyr,4,L4_UPC,EXC,4258.285540100454,-1343.816579711799,-2205.3325515563624
16963,cADpyr,4,L4_UPC,EXC,4241.8824936666915,-1219.3129826763943,-2286.0676119983286
26164,cADpyr,5,L5_TPC:B,EXC,3765.2138601627685,-1120.5860719180046,-2633.3155721053536
369,cADpyr,3,L3_TPC:A,EXC,4199.132068669864,-1414.6201467659948,-2150.384434700555
1625,cADpyr,3,L3_TPC:A,EXC,4297.558065654561,-1456.025160232315,-2176.52147914783
1644,cADpyr,3,L3_TPC:A,EXC,4116.124079597281,-1110.2344516304129,-2114.2982020409686
2378,cADpyr,3,L3_TPC:A,EXC,4329.576507499625,-1137.0850186926518,-2177.2587617210525
5274,cADpyr,6,L6_BPC,EXC,3739.5535045674114,-1232.4222425346152,-2986.3274883359136
