node_ids,etype,layer,mtype,synapse_class,x,y,z
11344,cADpyr,6,L6_IPC,EXC,3592.6762765323256,-1025.0781011626223,-2898.148158944562
5659,cADpyr,6,L6_BPC,EXC,3602.3974996081524,-1028.6096217107788,-2907.1999615259965
10056,cADpyr,6,L6_IPC,EXC,3605.9495311490246,-1026.8412210648166,-2892.310394575799
10742,cADpyr,6,L6_IPC,EXC,3579.13332674696,-1019.7784036655785,-2902.3058878588513
11110,cADpyr,6,L6_IPC,EXC,3608.9681446940176,-1034.3595750254408,-2900.5817614414723
15536,cADpyr,6,L6_TPC:C,EXC,3568.990691138819,-1024.7457209148388,-2908.9824622407646
13549,cADpyr,6,L6_TPC:A,EXC,3586.8853724080163,-1024.7695596592348,-2871.0080030894146
6400,cADpyr,6,L6_BPC,EXC,3569.522531903067,-1011.4912356838913,-2890.7347677851567
14629,cADpyr,6,L6_TPC:C,EXC,3573.625783317051,-1045.8606650049041,-2896.9695671770996
14386,cADpyr,6,L6_TPC:C,EXC,3584.9991636260384,-1053.5365165284566,-2901.809755632897
