node_ids,etype,layer,mtype,synapse_class,x,y,z
11344,cADpyr,6,L6_IPC,EXC,3592.6762765323256,-1025.0781011626223,-2898.148158944562
13249,cADpyr,6,L6_TPC:A,EXC,3547.9258902260062,-1083.9810048266381,-2933.0711491645975
10670,cADpyr,6,L6_IPC,EXC,3627.3627856735347,-1087.1811025554398,-2897.810749201675
12936,cADpyr,6,L6_TPC:A,EXC,3624.2011280185725,-1018.365265296854,-2890.523731834551
10997,cADpyr,6,L6_IPC,EXC,3537.776870743046,-1029.4458799141767,-2890.7837929060715
3509,cACint,3,L23_CHC,INH,4426.676667727606,-1365.7203027217056,-1999.5555466483297
5525,cADpyr,6,L6_BPC,EXC,3704.5844822609142,-1105.6184845061598,-2859.4254479996994
6113,cADpyr,6,L6_BPC,EXC,3592.5738932426484,-1084.0571344719174,-2963.7682802129993
12358,cADpyr,6,L6_TPC:A,EXC,3639.4116185895655,-1055.0788533427767,-2834.3996988783433
13478,cADpyr,6,L6_TPC:A,EXC,3663.108873689509,-1035.5517517738954,-2810.0420159102864
13707,cADpyr,6,L6_TPC:A,EXC,3675.642979318436,-967.7117351738143,-2828.5548054211677
5400,cADpyr,6,L6_BPC,EXC,3591.560278165216,-1023.5985674543972,-2787.9457087851156
5402,cADpyr,6,L6_BPC,EXC,3565.4175176443587,-955.5202787968492,-3040.2852093895954
6124,cADpyr,6,L6_BPC,EXC,3755.0867291090544,-1358.541439514307,-2879.222299741206
6505,cADpyr,6,L6_BPC,EXC,3561.6398173370308,-1169.7879022966035,-2834.1891223034095
8197,cADpyr,6,L6_HPC,EXC,3658.1779719953574,-973.6814735941198,-2903.7390533494495
11546,cADpyr,6,L6_IPC,EXC,3439.8717389111716,-985.7794199342261,-3022.608014829659
11661,cADpyr,6,L6_IPC,EXC,3558.4411896391357,-1067.6387995515233,-2972.177404538136
13597,cADpyr,6,L6_TPC:A,EXC,3557.047825836973,-1138.3236257107292,-2974.2089616976273
14757,cADpyr,6,L6_TPC:C,EXC,3423.743566047635,-1028.2860436586925,-3137.140864605161
