node_ids,etype,layer,mtype,synapse_class,x,y,z
13249,cADpyr,6,L6_TPC:A,EXC,3547.9258902260062,-1083.9810048266381,-2933.0711491645975
13329,cADpyr,6,L6_TPC:A,EXC,3556.1804542755544,-1086.6701048799468,-2925.5349622663302
10509,cADpyr,6,L6_IPC,EXC,3559.5151888748787,-1077.3722779160335,-2938.6063286139643
7183,cADpyr,6,L6_UPC,EXC,3561.279772903359,-1092.9656428874287,-2937.656668655142
6731,cACint,6,L6_BTC,INH,3548.3986923603916,-1081.146795845365,-2951.0345282728754
6844,cADpyr,6,L6_UPC,EXC,3561.1805759713607,-1087.245936632923,-2920.9488508087647
5660,cADpyr,6,L6_BPC,EXC,3538.534679445771,-1068.5873249377864,-2927.765133757956
11903,cADpyr,6,L6_IPC,EXC,3537.073051986279,-1091.855994761835,-2919.682356578861
10848,cADpyr,6,L6_IPC,EXC,3540.410090462563,-1066.9956187527268,-2937.7925048476127
5896,cADpyr,6,L6_BPC,EXC,3559.9596431859954,-1072.116971788002,-2923.749876078692
