0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,Matches PlayedMatches Played by the player or squad,Game or games started by player,Minutes,90s Played90s playedMinutes played divided by 90,GoalsGoals scored or allowed,AssistsAssists,Goals + AssistsGoals and Assists,Non-Penalty GoalsNon-Penalty Goals,Penalty Kicks MadePenalty Kicks Made,Penalty Kicks AttemptedPenalty Kicks Attempted,Yellow CardsYellow Cards,Red CardsRed Cards,"xG: Expected GoalsExpected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG: Non-Penalty xGNon-Penalty Expected GoalsProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","xAG: Exp. Assisted GoalsExpected Assisted GoalsxG which follows a pass that assists a shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",Progression_PrgC,Progression_PrgP,Progression_PrgR,GoalsGoals scored or allowed,AssistsAssists,Goals + AssistsGoals and Assists,Non-Penalty GoalsNon-Penalty Goals,Non-Penalty Goals + Assists/90Goals plus Assists minus Penalty Kicks made per 90 minutesMinimum 30 minutes played per squad game to qualify as a leader,"xG: Expected GoalsExpected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","xAG: Exp. Assisted GoalsExpected Assisted GoalsxG which follows a pass that assists a shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","xG + xAG/90Expected Goals plus Assisted Goals per 90 minutesxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader","npxG: Non-Penalty xGNon-Penalty Expected GoalsProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",36_Matches
1,Liel Abada,il ISR,FW,Charlotte,22,2001,24,20,1637,18.2,0.38,0.05,0.44,0.38,0.00,0.00,0.11,0.00,0.34,0.34,0.16,0.51,4.40,3.46,8.57,0.38,0.05,0.44,0.38,0.44,0.34,0.16,0.50,0.34,0.50,Matches
2,Jose Casas de Abadal,us USA,"FW,DF",Inter Miami,23,2000,2,0,31,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
3,Luis Abram,pe PER,DF,Atlanta Utd,27,1996,19,11,1102,12.2,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.06,0.06,0.01,0.07,0.16,2.87,0.25,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
4,Lalas Abubakar,gh GHA,DF,Colorado Rapids,29,1994,18,15,1278,14.2,0.00,0.07,0.07,0.00,0.00,0.00,0.21,0.00,0.03,0.03,0.01,0.04,0.14,2.89,0.07,0.00,0.07,0.07,0.00,0.07,0.03,0.01,0.04,0.03,0.04,Matches
5,Kellyn Acosta,us USA,MF,Chicago Fire,28,1995,34,27,2302,25.6,0.12,0.08,0.20,0.12,0.00,0.00,0.23,0.00,0.04,0.04,0.11,0.15,0.82,4.65,1.76,0.12,0.08,0.20,0.12,0.20,0.04,0.11,0.15,0.04,0.15,Matches
6,Luciano Acosta,ar ARG,MF,FC Cincinnati,29,1994,32,29,2704,30.0,0.47,0.53,1.00,0.37,0.10,0.13,0.23,0.00,0.33,0.22,0.39,0.61,4.03,8.33,7.90,0.47,0.53,1.00,0.37,0.90,0.33,0.39,0.72,0.22,0.61,Matches
7,Jordan Adebayo-Smith,ng NGA,"FW,MF",Minnesota Utd,24,2000,11,1,254,2.8,0.00,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.14,0.14,0.00,0.14,1.07,1.07,5.36,0.00,0.00,0.00,0.00,0.00,0.14,0.01,0.15,0.14,0.15,Matches
8,Sam Adekugbe,ca CAN,"DF,MF",Vancouver W'caps,29,1995,16,8,751,8.3,0.12,0.24,0.36,0.12,0.00,0.00,0.48,0.00,0.08,0.08,0.39,0.47,3.73,4.70,11.3,0.12,0.24,0.36,0.12,0.36,0.08,0.38,0.46,0.08,0.46,Matches
9,Samuel Adeniran,us USA,FW,Philadelphia Union,25,1998,7,0,137,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.93,0.00,1.00,4.67,2.67,6.67,0.00,0.00,0.00,0.00,0.00,0.95,0.03,0.98,0.95,0.98,Matches
10,Samuel Adeniran,us USA,"FW,MF",St. Louis,25,1998,17,4,596,6.6,0.30,0.15,0.45,0.30,0.00,0.00,0.30,0.00,0.33,0.33,0.12,0.45,2.42,1.36,7.73,0.30,0.15,0.45,0.30,0.45,0.34,0.12,0.45,0.34,0.45,Matches
11,Leonardo Afonso,br BRA,"FW,MF",Inter Miami,22,2001,11,1,247,2.7,0.74,0.00,0.74,0.74,0.00,0.00,0.00,0.00,0.26,0.26,0.07,0.37,2.59,2.96,11.5,0.73,0.00,0.73,0.73,0.73,0.26,0.09,0.35,0.26,0.35,Matches
12,Stephen Afrifa,ca CAN,FW,Sporting KC,22,2001,24,9,795,8.8,0.45,0.23,0.68,0.45,0.00,0.00,0.00,0.00,0.30,0.30,0.10,0.40,3.30,1.93,11.4,0.45,0.23,0.68,0.45,0.68,0.29,0.10,0.39,0.29,0.39,Matches
13,William Agada,ng NGA,FW,Sporting KC,24,1999,32,20,1732,19.2,0.52,0.16,0.68,0.52,0.00,0.10,0.05,0.05,0.76,0.68,0.10,0.78,0.94,1.20,6.15,0.52,0.16,0.68,0.52,0.68,0.76,0.10,0.86,0.68,0.78,Matches
14,London Aghedo,us USA,DF,FC Cincinnati,23,2000,2,0,7,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
15,Daniel Aguirre,us USA,"MF,FW",LA Galaxy,24,1999,10,0,107,1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.17,0.42,4.17,11.7,9.17,0.00,0.00,0.00,0.00,0.00,0.28,0.17,0.45,0.28,0.45,Matches
