0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,"xG: Expected GoalsExpected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG: Non-Penalty xGNon-Penalty Expected GoalsProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG/ShotNon-Penalty Expected Goals per shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum .395 shots per squad game to qualify as a leader","Goals - xGGoals minus Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","Non-Penalty Goals - npxGNon-Penalty Goals minus Non-Penalty Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",25_Matches
1,Luis Abram,pe PER,DF,Atlanta Utd,26,1996,16.2,0.00,0.12,0.00,0.0,0.12,0.00,0.00,,10.1,0.00,0.00,0.00,0.01,0.01,0.04,-0.01,-0.01,Matches
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,28,1994,21.3,0.09,0.38,0.23,62.5,0.37,0.23,0.25,0.40,11.0,0.00,0.00,0.00,0.04,0.04,0.10,0.06,0.06,Matches
3,Alonso Aceves,mx MEX,DF,Chicago Fire,21,2001,9.5,0.00,0.32,0.00,0.0,0.32,0.00,0.00,,14.1,0.00,0.00,0.00,0.03,0.03,0.11,-0.03,-0.03,Matches
4,Bryan Acosta,hn HON,MF,Colorado Rapids,29,1993,12.4,0.00,1.13,0.40,35.7,1.13,0.40,0.00,0.00,22.1,0.00,0.00,0.00,0.07,0.07,0.06,-0.07,-0.07,Matches
5,Bryan Acosta,hn HON,MF,Portland Timbers,29,1993,5.1,0.00,0.39,0.00,0.0,0.39,0.00,0.00,,32.4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
6,Kellyn Acosta,us USA,MF,LAFC,27,1995,16.6,0.00,0.84,0.24,28.6,0.84,0.24,0.00,0.00,24.6,0.24,0.00,0.00,0.04,0.04,0.05,-0.04,-0.04,Matches
7,Luciano Acosta,ar ARG,MF,FC Cincinnati,28,1994,28.9,0.59,2.60,1.07,41.3,2.59,1.07,0.13,0.32,22.5,0.35,0.24,0.28,0.45,0.23,0.09,0.14,0.12,Matches
8,Sam Adekugbe,ca CAN,"FW,DF",Vancouver W'caps,28,1995,4.5,0.00,0.44,0.00,0.0,0.44,0.00,0.00,,17.6,0.22,0.00,0.00,0.04,0.04,0.08,-0.04,-0.04,Matches
9,Samuel Adeniran,us USA,FW,St. Louis,24,1998,10.5,0.76,3.24,1.14,35.3,3.22,1.14,0.21,0.58,16.7,0.00,0.10,0.10,0.37,0.30,0.09,0.39,0.37,Matches
10,Harrison Afful,gh GHA,DF,Charlotte,36,1986,10.6,0.00,0.38,0.09,25.0,0.38,0.09,0.00,0.00,24.4,0.00,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches
11,Stephen Afrifa,ca CAN,FW,Sporting KC,21,2001,0.6,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
12,William Agada,ng NGA,FW,Sporting KC,23,1999,7.6,0.39,3.55,1.05,29.6,3.53,1.05,0.11,0.38,15.4,0.00,0.00,0.00,0.39,0.38,0.11,0.00,0.01,Matches
13,Giovanni Aguilar,us USA,MF,Vancouver W'caps,24,1998,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
14,Daniel Aguirre,us USA,"MF,FW",LA Galaxy,23,1999,6.4,0.16,2.19,0.78,35.7,2.20,0.79,0.07,0.20,15.0,0.00,0.00,0.00,0.27,0.27,0.12,-0.11,-0.11,Matches
15,Patrick Agyemang,us USA,FW,Charlotte,22,2000,2.1,0.48,3.33,0.95,28.6,3.30,0.94,0.14,0.50,13.1,0.00,0.00,0.00,0.19,0.19,0.06,0.29,0.29,Matches
16,Ali Ahmed,ca CAN,"MF,DF",Vancouver W'caps,22,2000,12.5,0.16,1.20,0.72,60.0,1.20,0.72,0.13,0.22,15.2,0.00,0.00,0.00,0.22,0.22,0.18,-0.06,-0.06,Matches
17,Carlos Akapo,gq EQG,DF,SJ Earthquakes,29,1993,23.8,0.08,1.13,0.13,11.1,1.13,0.13,0.07,0.67,17.2,0.00,0.00,0.00,0.05,0.05,0.05,0.03,0.03,Matches
