0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,"Post-Shot Expected GoalsPost-Shot Expected GoalsPSxG is expected goals based on how likely the goalkeeper is to save the shotxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","Post-Shot Expected Goals per Shot on TargetNot including penalty kicksPSxG is expected goals based on how likely the goalkeeper is to save the shotHigher numbers indicate that shots on target faced are more difficult to stop and more likely to scoreAn underline indicates there is a match that is missing data, but will be updated when available.","PSxG-GAPost-Shot Expected Goals minus Goals AllowedPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote: Does not include own goalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","PSxG-GA/90Post-Shot Expected Goals minus Goals Allowed per 90 minutesPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote: Does not include own goalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,33_Matches
1,Luis Barraza,us USA,GK,NYCFC,26,1996,24.0,1.29,0.08,0.00,0.21,0.04,1.12,0.27,-0.13,-0.13,3.29,10.5,31.2,38.1,4.00,20.3,28.0,7.38,37.9,37.3,13.0,0.42,3.2,0.54,0.54,12.4,Matches
2,Gavin Beavers,us USA,GK,Real Salt Lake,17,2005,6.5,2.15,0.31,0.00,0.15,0.00,1.77,0.35,-0.38,-0.38,4.62,11.7,39.5,20.2,4.15,33.6,34.2,7.85,62.7,48.0,14.5,0.77,5.3,1.69,1.69,14.0,Matches
3,Joe Bendik,us USA,GK,Philadelphia Union,33,1989,7.6,1.71,0.13,0.00,0.13,0.13,1.05,0.26,-0.53,-0.52,4.47,11.6,38.6,13.2,3.29,45.0,38.9,8.68,65.2,47.7,11.6,0.53,4.5,0.13,0.13,9.1,Matches
4,David Bingham,us USA,GK,Portland Timbers,33,1989,19.0,1.53,0.11,0.00,0.26,0.00,1.35,0.32,-0.18,-0.18,6.58,17.1,38.6,27.6,2.95,49.0,40.3,6.58,53.6,44.3,13.8,0.79,5.7,1.68,1.69,15.1,Matches
5,Andre Blake,jm JAM,GK,Philadelphia Union,32,1990,26.4,1.06,0.19,0.00,0.00,0.08,1.14,0.26,0.16,+0.16,3.33,8.98,37.1,17.2,4.96,35.1,34.5,6.17,47.9,39.5,11.9,0.83,7.0,0.80,0.80,13.2,Matches
6,Jonathan Bond,eng ENG,GK,LA Galaxy,29,1993,22.8,2.02,0.09,0.04,0.09,0.09,1.75,0.32,-0.18,-0.18,2.85,7.32,38.9,27.3,6.05,20.1,26.7,6.80,27.1,28.9,15.0,0.53,3.5,1.40,1.41,14.9,Matches
7,Alex Bono,us USA,GK,D.C. United,28,1994,9.5,1.16,0.21,0.00,0.32,0.00,1.39,0.29,0.23,+0.23,8.21,19.4,42.4,35.2,5.37,38.0,33.2,8.74,68.7,47.9,15.8,1.26,8.0,2.00,2.00,18.6,Matches
8,Chris Brady,us USA,GK,Chicago Fire,18,2004,29.3,1.50,0.31,0.03,0.17,0.07,1.48,0.27,0.05,+0.05,3.79,11.7,32.5,18.8,4.33,39.6,35.0,7.92,53.4,41.1,14.9,0.85,5.7,1.02,1.02,13.7,Matches
9,Roman Bürki,ch SUI,GK,St. Louis,32,1990,33.0,1.27,0.21,0.00,0.03,0.06,1.49,0.28,0.28,+0.28,5.82,17.9,32.4,27.6,4.73,48.9,39.9,7.42,59.6,49.0,14.1,0.88,6.2,1.70,1.70,15.5,Matches
10,Drake Callender,us USA,GK,Inter Miami,25,1997,33.0,1.61,0.03,0.03,0.27,0.09,1.45,0.28,-0.06,-0.06,3.64,11.8,30.8,26.9,4.79,32.2,33.7,7.64,41.3,35.7,12.1,1.09,9.0,0.85,0.85,12.6,Matches
