0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,"xG: Expected GoalsExpected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG: Non-Penalty xGNon-Penalty Expected GoalsProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG/ShotNon-Penalty Expected Goals per shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum .395 shots per squad game to qualify as a leader","Goals - xGGoals minus Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","Non-Penalty Goals - npxGNon-Penalty Goals minus Non-Penalty Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",25_Matches
1,Liel Abada,il ISR,FW,Charlotte,22,2001,18.2,0.38,2.91,1.54,52.8,2.91,1.54,0.13,0.25,16.5,0.00,0.00,0.00,0.34,0.34,0.12,0.04,0.04,Matches
2,Jose Casas de Abadal,us USA,"FW,DF",Inter Miami,23,2000,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
3,Luis Abram,pe PER,DF,Atlanta Utd,27,1996,12.2,0.00,0.66,0.08,12.5,0.65,0.08,0.00,0.00,9.4,0.00,0.00,0.00,0.06,0.06,0.09,-0.06,-0.06,Matches
4,Lalas Abubakar,gh GHA,DF,Colorado Rapids,29,1994,14.2,0.00,0.42,0.00,0.0,0.42,0.00,0.00,,7.6,0.00,0.00,0.00,0.03,0.03,0.07,-0.03,-0.03,Matches
5,Kellyn Acosta,us USA,MF,Chicago Fire,28,1995,25.6,0.12,0.90,0.27,30.4,0.90,0.27,0.13,0.43,26.3,0.12,0.00,0.00,0.04,0.04,0.05,0.07,0.07,Matches
6,Luciano Acosta,ar ARG,MF,FC Cincinnati,29,1994,30.0,0.47,2.67,0.80,30.0,2.66,0.80,0.14,0.46,21.4,0.40,0.10,0.13,0.33,0.22,0.08,0.14,0.14,Matches
7,Jordan Adebayo-Smith,ng NGA,"FW,MF",Minnesota Utd,24,2000,2.8,0.00,1.79,1.07,60.0,1.77,1.06,0.00,0.00,14.3,0.00,0.00,0.00,0.14,0.14,0.08,-0.14,-0.14,Matches
8,Sam Adekugbe,ca CAN,"DF,MF",Vancouver W'caps,29,1995,8.3,0.12,1.08,0.36,33.3,1.08,0.36,0.11,0.33,13.3,0.00,0.00,0.00,0.08,0.08,0.08,0.04,0.04,Matches
9,Samuel Adeniran,us USA,FW,Philadelphia Union,25,1998,1.5,0.00,6.67,3.33,50.0,6.57,3.28,0.00,0.00,14.8,0.00,0.00,0.00,0.93,0.93,0.15,-0.93,-0.93,Matches
10,Samuel Adeniran,us USA,"FW,MF",St. Louis,25,1998,6.6,0.30,3.94,0.91,23.1,3.93,0.91,0.08,0.33,16.6,0.00,0.00,0.00,0.33,0.33,0.09,-0.03,-0.03,Matches
11,Leonardo Afonso,br BRA,"FW,MF",Inter Miami,22,2001,2.7,0.74,1.85,0.74,40.0,1.82,0.73,0.40,1.00,15.9,0.00,0.00,0.00,0.26,0.26,0.14,0.48,0.48,Matches
12,Stephen Afrifa,ca CAN,FW,Sporting KC,22,2001,8.8,0.45,3.52,1.14,32.3,3.51,1.13,0.13,0.40,15.3,0.00,0.00,0.00,0.30,0.30,0.08,0.16,0.16,Matches
13,William Agada,ng NGA,FW,Sporting KC,24,1999,19.2,0.52,4.32,1.25,28.9,4.31,1.25,0.12,0.42,14.2,0.00,0.00,0.10,0.76,0.68,0.16,-0.24,-0.16,Matches
14,London Aghedo,us USA,DF,FC Cincinnati,23,2000,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
15,Daniel Aguirre,us USA,"MF,FW",LA Galaxy,24,1999,1.2,0.00,2.50,0.00,0.0,2.52,0.00,0.00,,14.1,0.00,0.00,0.00,0.25,0.25,0.11,-0.25,-0.25,Matches
16,Patrick Agyemang,us USA,FW,Charlotte,23,2000,20.4,0.49,2.79,1.13,40.4,2.79,1.13,0.18,0.43,12.6,0.00,0.00,0.00,0.40,0.40,0.14,0.09,0.09,Matches
