0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,"Post-Shot Expected GoalsPost-Shot Expected GoalsPSxG is expected goals based on how likely the goalkeeper is to save the shotxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","Post-Shot Expected Goals per Shot on TargetNot including penalty kicksPSxG is expected goals based on how likely the goalkeeper is to save the shotHigher numbers indicate that shots on target faced are more difficult to stop and more likely to scoreAn underline indicates there is a match that is missing data, but will be updated when available.","PSxG-GAPost-Shot Expected Goals minus Goals AllowedPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote: Does not include own goalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","PSxG-GA/90Post-Shot Expected Goals minus Goals Allowed per 90 minutesPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote: Does not include own goalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,33_Matches
1,Luis Barraza,us USA,GK,NYCFC,27,1996,0.9,4.44,0.00,0.00,0.00,0.00,3.56,0.67,-0.89,-0.87,3.33,6.67,50.0,30.0,3.33,22.2,28.7,5.56,0.0,23.0,10.0,1.11,11.1,0.00,0.00,11.0,Matches
2,Adam Beaudry,us USA,GK,Colorado Rapids,17,2006,1.0,3.00,1.00,0.00,0.00,0.00,2.00,0.27,-1.00,-1.00,4.00,10.0,40.0,12.0,2.00,41.7,34.7,8.00,62.5,45.0,20.0,0.00,0.0,3.00,3.00,18.5,Matches
3,Gavin Beavers,us USA,GK,Real Salt Lake,18,2005,11.0,1.82,0.27,0.27,0.18,0.00,1.70,0.28,-0.12,-0.12,2.82,9.64,29.2,26.4,5.82,27.9,30.2,6.55,34.7,33.9,13.9,1.45,10.5,1.27,1.27,15.6,Matches
4,Andre Blake,jm JAM,GK,Philadelphia Union,33,1990,12.4,1.13,0.00,0.00,0.16,0.08,1.25,0.30,0.20,+0.20,3.31,7.98,41.4,16.3,4.27,26.2,29.5,6.85,54.1,42.7,14.3,0.65,4.5,0.56,0.57,12.7,Matches
5,Isaac Boehmer,us USA,GK,Vancouver W'caps,22,2001,1.0,2.00,0.00,0.00,0.00,1.00,1.60,0.26,0.60,+0.57,5.00,23.0,21.7,27.0,2.00,51.9,39.7,9.00,100.0,66.6,22.0,0.00,0.0,0.00,0.00,15.7,Matches
6,Alex Bono,us USA,GK,D.C. United,29,1994,29.0,1.90,0.10,0.03,0.21,0.07,1.72,0.37,-0.11,-0.11,10.3,22.4,46.2,29.7,3.79,56.2,41.2,6.55,87.4,58.9,12.0,0.48,4.0,2.00,2.00,19.6,Matches
7,Chris Brady,us USA,GK,Chicago Fire,19,2004,33.0,1.85,0.24,0.03,0.06,0.03,1.72,0.31,-0.09,-0.09,3.27,10.3,31.7,20.4,4.82,30.7,32.3,7.67,53.4,43.4,11.1,0.76,6.8,0.94,0.94,14.6,Matches
8,Sebastian Breza,ca CAN,GK,CF Montréal,25,1998,1.0,2.00,1.00,0.00,0.00,0.00,2.80,0.18,0.80,+0.75,3.00,22.0,13.6,20.0,4.00,60.0,41.1,17.0,58.8,40.5,28.0,0.00,0.0,0.00,0.00,4.5,Matches
9,Roman Bürki,ch SUI,GK,St. Louis,33,1990,31.3,1.76,0.16,0.03,0.06,0.13,1.87,0.36,0.24,+0.24,5.91,14.9,39.6,30.7,3.90,39.8,36.9,5.43,50.0,44.6,12.7,0.38,3.0,1.31,1.31,15.6,Matches
10,Evan Bush,us USA,GK,Columbus Crew,37,1986,1.4,1.43,0.00,0.00,0.00,0.00,2.21,0.39,0.79,+0.80,2.14,9.29,23.1,30.7,5.71,25.6,28.7,8.57,16.7,24.8,14.3,0.00,0.0,0.00,0.00,3.0,Matches
11,Drake Callender,us USA,GK,Inter Miami,26,1997,32.0,1.41,0.16,0.00,0.19,0.06,1.45,0.28,0.11,+0.11,2.44,7.81,31.2,27.1,5.47,20.9,28.2,7.78,27.7,30.7,13.1,1.09,8.4,0.84,0.84,11.7,Matches
12,Roman Celentano,us USA,GK,FC Cincinnati,23,2000,30.0,1.40,0.17,0.00,0.20,0.07,1.36,0.28,0.03,+0.03,2.93,8.37,35.1,22.1,4.30,27.9,29.9,6.97,31.6,30.3,12.0,0.93,7.8,0.83,0.83,13.3,Matches
13,Steve Clark,us USA,GK,Houston Dynamo,37,1986,30.8,1.10,0.13,0.00,0.19,0.03,1.30,0.30,0.22,+0.22,2.14,5.68,37.7,24.6,3.99,17.5,25.8,4.48,30.4,31.5,12.9,0.58,4.5,1.10,1.10,14.6,Matches
