0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,20_Int,21_Tkl+Int,22_Clr,23_Err,24_Matches
1,Liel Abada,il ISR,FW,Charlotte,22,2001,18.2,0.55,0.44,0.11,0.22,0.22,0.27,0.88,31.3,0.60,0.55,0.00,0.55,0.27,0.82,0.22,0.00,Matches
2,Jose Casas de Abadal,us USA,"FW,DF",Inter Miami,23,2000,0.3,6.67,3.33,0.00,3.33,3.33,0.00,3.33,0.0,3.33,0.00,0.00,0.00,0.00,6.67,0.00,0.00,Matches
3,Luis Abram,pe PER,DF,Atlanta Utd,27,1996,12.2,0.66,0.41,0.33,0.08,0.25,0.25,0.66,37.5,0.41,0.90,0.74,0.16,0.74,1.39,4.10,0.08,Matches
4,Lalas Abubakar,gh GHA,DF,Colorado Rapids,29,1994,14.2,0.77,0.56,0.56,0.21,0.00,0.42,0.77,54.5,0.35,1.06,0.99,0.07,1.34,2.11,4.23,0.00,Matches
5,Kellyn Acosta,us USA,MF,Chicago Fire,28,1995,25.6,1.84,1.33,0.74,0.86,0.23,0.70,1.91,36.7,1.21,0.78,0.12,0.66,1.17,3.01,0.47,0.04,Matches
6,Luciano Acosta,ar ARG,MF,FC Cincinnati,29,1994,30.0,1.30,0.83,0.40,0.70,0.20,0.60,1.17,51.4,0.57,0.90,0.03,0.87,0.47,1.77,0.17,0.00,Matches
7,Jordan Adebayo-Smith,ng NGA,"FW,MF",Minnesota Utd,24,2000,2.8,1.79,1.07,1.79,0.00,0.00,0.00,0.71,0.0,0.71,1.43,0.00,1.43,0.71,2.50,0.36,0.00,Matches
8,Sam Adekugbe,ca CAN,"DF,MF",Vancouver W'caps,29,1995,8.3,0.60,0.24,0.24,0.24,0.12,0.36,0.60,60.0,0.24,0.60,0.36,0.24,0.60,1.20,2.29,0.00,Matches
9,Samuel Adeniran,us USA,FW,Philadelphia Union,25,1998,1.5,4.00,2.67,2.00,1.33,0.67,2.00,2.00,100.0,0.00,0.67,0.00,0.67,2.00,6.00,0.00,0.00,Matches
10,Samuel Adeniran,us USA,"FW,MF",St. Louis,25,1998,6.6,0.45,0.15,0.30,0.00,0.15,0.00,0.00,,0.00,0.45,0.15,0.30,0.30,0.76,0.91,0.00,Matches
11,Leonardo Afonso,br BRA,"FW,MF",Inter Miami,22,2001,2.7,2.96,2.22,1.85,0.74,0.37,0.74,2.59,28.6,1.85,0.74,0.00,0.74,2.22,5.19,0.74,0.00,Matches
12,Stephen Afrifa,ca CAN,FW,Sporting KC,22,2001,8.8,2.16,0.68,1.14,0.91,0.11,1.14,2.50,45.5,1.36,2.27,0.00,2.27,0.23,2.39,0.57,0.00,Matches
13,William Agada,ng NGA,FW,Sporting KC,24,1999,19.2,0.63,0.26,0.05,0.26,0.31,0.05,0.16,33.3,0.10,0.36,0.05,0.31,0.26,0.89,0.26,0.05,Matches
14,London Aghedo,us USA,DF,FC Cincinnati,23,2000,0.1,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.0,10.0,0.00,0.00,0.00,10.0,10.0,0.00,0.00,Matches
15,Daniel Aguirre,us USA,"MF,FW",LA Galaxy,24,1999,1.2,4.17,0.83,2.50,0.83,0.83,1.67,4.17,40.0,2.50,0.00,0.00,0.00,0.83,5.00,2.50,0.00,Matches
16,Patrick Agyemang,us USA,FW,Charlotte,23,2000,20.4,0.69,0.39,0.05,0.15,0.49,0.29,0.64,46.2,0.34,0.29,0.05,0.25,0.05,0.74,0.64,0.00,Matches
17,Ali Ahmed,ca CAN,"MF,DF",Vancouver W'caps,23,2000,15.0,1.87,1.13,0.80,0.93,0.13,1.00,2.33,42.9,1.33,1.33,0.00,1.33,1.60,3.47,1.07,0.00,Matches
