team,name,roster_designation,current_status,contract_thru,option_years,category,roster_model,team_gam_2025
AUSTIN FC,Guilherme Biro,,,2026,2027,Standard,U22 Initiative Player Model,
AUSTIN FC,Osman Bukari,Designated Player,,2027,2028,Designated Player,U22 Initiative Player Model,
AUSTIN FC,Julio Cascante,TAM Player,,2025,2026,TAM Player,U22 Initiative Player Model,
AUSTIN FC,Stefan Cleveland,,,2025,2026,Standard,U22 Initiative Player Model,
AUSTIN FC,Mikkel Desler,,,2027,2028,Standard,U22 Initiative Player Model,
AUSTIN FC,Sebastián Driussi,Designated Player,,2025,2026,Designated Player,U22 Initiative Player Model,
AUSTIN FC,Ethan Finlay,,,2024,2025,Standard,U22 Initiative Player Model,
AUSTIN FC,Jon Gallagher,,,2026,2027,Standard,U22 Initiative Player Model,
AUSTIN FC,Matt Hedges,TAM Player,,2024,"2025, 2026",TAM Player,U22 Initiative Player Model,
AUSTIN FC,Brendan Hines-Ike,,,2025,2026,Standard,U22 Initiative Player Model,
AUSTIN FC,Žan Kolmanič,U22 Initiative,,2025,2026,U22 Initiative,U22 Initiative Player Model,
AUSTIN FC,Jáder Obrian,,,2026,2027,Standard,U22 Initiative Player Model,
AUSTIN FC,Dani Pereira,,,2024,2025,Standard,U22 Initiative Player Model,
AUSTIN FC,Alex Ring,TAM Player,,2024,2025,TAM Player,U22 Initiative Player Model,
AUSTIN FC,Diego Rubio,,,2024,2025,Standard,U22 Initiative Player Model,
AUSTIN FC,Brad Stuver,,,2025,2026,Standard,U22 Initiative Player Model,
AUSTIN FC,Oleksandr Svatok,,,2027,2028,Standard,U22 Initiative Player Model,
AUSTIN FC,Leo Väisänen,TAM Player,,2026,2027,TAM Player,U22 Initiative Player Model,
AUSTIN FC,Jhojan Valencia,TAM Player,,2024,2025,TAM Player,U22 Initiative Player Model,
AUSTIN FC,Gyasi Zardes,TAM Player,,2025,2026,TAM Player,U22 Initiative Player Model,
AUSTIN FC,Matt Bersano,,,2024,2025,Standard,U22 Initiative Player Model,
AUSTIN FC,Micah Burton,Homegrown Player,,2027,2028,Homegrown,U22 Initiative Player Model,
AUSTIN FC,CJ Fodrey,Generation adidas,,2025,"2026, 2027",Generation Adidas,U22 Initiative Player Model,
AUSTIN FC,Hector Jimenez,,,2024,,Standard,U22 Initiative Player Model,
AUSTIN FC,Damian Las,Homegrown Player,Unavailable – On Loan,2026,2027,Homegrown,U22 Initiative Player Model,
AUSTIN FC,Owen Wolff,Homegrown Player,,2027,2028,Homegrown,U22 Initiative Player Model,
CHARLOTTE FC,Liel Abada,Young Designated Player,,2026,2027,Designated Player,Designated Player Model,
CHARLOTTE FC,Ben Bender,,Unavailable – On Loan,2025,,Standard,Designated Player Model,
CHARLOTTE FC,Pep Biel,Designated Player,Loan Player,2024,PT: 2026; 2027,Designated Player,Designated Player Model,
CHARLOTTE FC,Brandt Bronico,,,2025,2026,Standard,Designated Player Model,
CHARLOTTE FC,Nathan Byrne,TAM Player,,2024,2025,TAM Player,Designated Player Model,
CHARLOTTE FC,Djibril Diani,,,2025,2026,Standard,Designated Player Model,
CHARLOTTE FC,Kristijan Kahlina,TAM Player,,2024,2025,TAM Player,Designated Player Model,
CHARLOTTE FC,Jaylin Lindsey,,,2024,2025,Standard,Designated Player Model,
CHARLOTTE FC,Adilson Malanda,,,2026,2027,Standard,Designated Player Model,
CHARLOTTE FC,Jamie Paterson,,,2024,2025,Standard,Designated Player Model,
CHARLOTTE FC,João Pedro,,,2026,2027,Standard,Designated Player Model,
CHARLOTTE FC,Nikola Petkovic,U22 Initiative,,2026,2027,U22 Initiative,Designated Player Model,
CHARLOTTE FC,Tim Ream,TAM Player,,2026,2027,TAM Player,Designated Player Model,
CHARLOTTE FC,Karol Swiderski,Designated Player,,2025,2026,Designated Player,Designated Player Model,
CHARLOTTE FC,Iuri Tavares,,,2026,2027,Standard,Designated Player Model,
CHARLOTTE FC,Idan Toklomati,U22 Initiative,,2027,2028,U22 Initiative,Designated Player Model,
CHARLOTTE FC,Bill Tuiloma,,,2025,2026,Standard,Designated Player Model,
CHARLOTTE FC,Jere Uronen,TAM Player,,2025,2026,TAM Player,Designated Player Model,
CHARLOTTE FC,Júnior Urso,,,2024,2025,Standard,Designated Player Model,
CHARLOTTE FC,Kerwin Vargas,U22 Initiative,,2027,2028,U22 Initiative,Designated Player Model,
CHARLOTTE FC,Ashley Westwood,TAM Player,,2026,2027,TAM Player,Designated Player Model,
CHARLOTTE FC,Patrick Agyemang,,,2024,"2025, 2026",Standard,Designated Player Model,
CHARLOTTE FC,Nimfasha Berchimas,Homegrown Player,,2026,2027,Homegrown,Designated Player Model,
CHARLOTTE FC,David Bingham,,,2025,,Standard,Designated Player Model,
CHARLOTTE FC,Brandon Cambridge,Homegrown Player,,2024,"2025, 2026",Homegrown,Designated Player Model,
CHARLOTTE FC,Hamady Diop,Generation adidas,Unavailable – On Loan,2024,"2025, 2026",Generation Adidas,Designated Player Model,
CHARLOTTE FC,Jahlane Forbes,,,2024,"2025, 2026, 2027",Standard,Designated Player Model,
CHARLOTTE FC,George Marks,,Unavailable – On Loan,2024,2025,Standard,Designated Player Model,
CHARLOTTE FC,Andrew Privett,,,2028,2029,Standard,Designated Player Model,
CHARLOTTE FC,Nicholas Scardina,,,2024,"2025, 2026",Standard,Designated Player Model,
CHARLOTTE FC,Tyger Smalls,,,2024,"2025, 2026, 2027",Standard,Designated Player Model,
CHARLOTTE FC,Chituru Odunze,,Unavailable - On Loan,2027,2028,Standard,Designated Player Model,
CHARLOTTE FC,Jack Neeley,Homegrown Player,,2026,2027,Homegrown,Designated Player Model,
CHARLOTTE FC,Brian Romero,Homegrown Player,,2026,2027,Homegrown,Designated Player Model,
CHICAGO FIRE FC,Kellyn Acosta,TAM Player,,2026,2027,TAM Player,U22 Initiative Player Model,
CHICAGO FIRE FC,Allan Arigoni,,Loan Player,2024,"PT: 2025; 2026, 2027",Standard,U22 Initiative Player Model,
CHICAGO FIRE FC,Tom Barlow,,,2025,2026,Standard,U22 Initiative Player Model,
CHICAGO FIRE FC,Chris Brady,Homegrown Player,,2026,2027,Homegrown,U22 Initiative Player Model,
CHICAGO FIRE FC,Hugo Cuypers,Designated Player,,2026,2027,Designated Player,U22 Initiative Player Model,
CHICAGO FIRE FC,Rafael Czichos,TAM Player,,2024,,TAM Player,U22 Initiative Player Model,
CHICAGO FIRE FC,Gastón Giménez,Designated Player,,2025,,Designated Player,U22 Initiative Player Model,
