0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,30_Matches
1,Paxten Aaronson,us USA,MF,Colorado Rapids,22-100,2003,6.4,51.7,1.25,5.16,26.3,21.3,3.91,51.7,3.13,1.56,50.0,1.25,40.0,34.1,245.6,136.7,4.06,2.34,1.09,1.41,0.63,39.4,4.38,Matches
2,Liel Abada,il ISR,"FW,MF",Charlotte,24-062,2001,16.5,38.1,0.48,4.79,12.8,20.9,4.55,38.1,2.12,0.61,28.6,1.39,65.7,25.9,175.6,103.2,4.06,1.82,1.33,1.58,1.45,28.3,8.30,Matches
3,Wessam Abou Ali,ps PLE,FW,Columbus Crew,26-334,1999,3.4,34.1,0.88,1.76,12.9,20.0,4.71,34.1,1.18,0.59,50.0,0.29,25.0,18.8,82.1,33.5,1.76,0.88,0.59,4.41,1.76,24.4,8.82,Matches
4,Luis Abram,pe PER,DF,Atlanta Utd,29-280,1996,16.6,68.9,6.14,32.2,34.6,2.29,0.24,68.9,0.00,0.00,,0.00,,42.9,202.0,129.4,0.90,0.66,0.06,0.24,0.00,51.3,0.24,Matches
5,Lalas Abubakar,gh GHA,DF,FC Dallas,30-344,1994,18.4,48.2,9.67,28.2,17.0,3.32,1.03,48.2,0.11,0.11,100.0,0.00,0.0,22.2,87.7,46.4,0.33,0.38,0.00,0.65,0.00,26.0,0.43,Matches
6,Bryan Acosta,hn HON,MF,Nashville SC,32-010,1993,2.5,86.0,3.20,21.2,57.2,9.20,0.40,86.0,0.40,0.40,100.0,0.00,0.0,53.6,208.0,92.8,0.80,2.80,0.00,1.60,0.80,60.4,1.60,Matches
7,Kellyn Acosta,us USA,MF,Chicago Fire,30-133,1995,7.3,62.1,2.33,18.1,34.8,9.45,0.96,62.1,0.68,0.14,20.0,0.55,80.0,33.8,123.4,42.6,0.68,0.55,0.27,0.96,0.82,45.5,1.10,Matches
8,Luciano Acosta,ar ARG,"MF,FW",FC Dallas,31-187,1994,18.8,64.1,0.69,6.17,27.6,31.2,4.15,64.0,4.68,2.18,46.6,2.39,51.1,35.1,181.8,96.8,3.14,2.61,1.17,2.93,1.33,44.5,6.65,Matches
9,Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-322,1995,3.2,85.6,3.75,15.9,44.7,25.3,1.56,85.6,0.94,0.31,33.3,0.31,33.3,54.1,250.0,127.8,3.13,1.25,0.00,2.19,0.00,65.0,10.3,Matches
10,Leonardo Afonso,br BRA,"DF,FW",Atlanta Utd,24-144,2001,0.9,58.9,1.11,21.1,18.9,18.9,2.22,58.9,4.44,1.11,25.0,3.33,75.0,25.6,140.0,32.2,1.11,0.00,1.11,0.00,1.11,33.3,8.89,Matches
11,Leonardo Afonso,br BRA,"FW,MF",Inter Miami,24-144,2001,1.0,34.0,1.00,2.00,12.0,20.0,3.00,34.0,1.00,0.00,0.0,1.00,100.0,17.0,44.0,23.0,1.00,0.00,1.00,6.00,3.00,21.0,7.00,Matches
12,Stephen Afrifa,ca CAN,"MF,FW",Sporting KC,24-288,2001,1.5,75.3,0.00,6.00,18.7,52.7,14.7,75.3,12.0,6.00,50.0,6.00,50.0,45.3,380.7,188.0,7.33,4.00,5.33,3.33,4.67,52.0,14.0,Matches
13,William Agada,ng NGA,FW,Sporting KC,26-078,1999,1.1,34.5,0.91,3.64,10.0,21.8,10.0,34.5,0.00,0.00,,0.00,,18.2,72.7,10.0,0.00,0.00,0.00,6.36,2.73,25.5,1.82,Matches
14,William Agada,ng NGA,FW,Real Salt Lake,26-078,1999,13.0,27.1,1.31,2.15,12.3,13.0,4.77,27.1,0.92,0.38,41.7,0.54,58.3,15.4,74.1,31.2,1.23,0.69,0.62,2.38,1.00,20.3,4.62,Matches
15,Patrick Agyemang,us USA,FW,Charlotte,25-027,2000,13.6,27.1,1.18,1.76,12.1,13.8,5.74,27.1,2.79,1.03,36.8,1.40,50.0,17.8,110.4,53.7,2.13,1.18,1.69,2.87,1.62,20.5,6.03,Matches
16,Ali Ahmed,ca CAN,FW,Vancouver W'caps,25-055,2000,14.3,59.4,0.98,4.76,19.0,36.4,7.06,59.4,3.29,1.47,44.7,1.61,48.9,38.7,262.7,143.3,5.38,2.59,3.29,2.38,1.26,46.9,15.7,Matches
17,Forster Ajago,gh GHA,FW,Real Salt Lake,24-110,2001,2.9,21.0,1.38,3.10,8.97,9.31,3.10,21.0,1.72,0.34,20.0,1.38,80.0,12.4,44.8,11.0,0.34,0.34,0.69,3.79,1.38,13.8,5.17,Matches
18,Jordi Alba,es ESP,DF,Inter Miami,36-258,1989,28.5,82.1,2.46,19.9,34.9,27.7,2.88,82.1,0.81,0.42,52.2,0.39,47.8,48.8,191.8,99.2,1.79,1.58,0.56,0.74,0.25,60.5,10.4,Matches
19,Noah Allen,gr GRE,DF,Inter Miami,21-220,2004,21.1,74.5,7.06,33.0,33.6,8.29,0.52,74.5,0.47,0.09,20.0,0.33,70.0,47.3,260.0,156.8,0.62,1.23,0.00,0.62,0.28,53.4,2.32,Matches
20,Tadeo Allende,ar ARG,"MF,FW",Inter Miami,26-287,1999,23.9,38.0,1.17,4.81,16.6,16.9,4.56,38.0,1.92,0.84,43.5,1.09,56.5,22.2,96.2,44.4,1.51,0.79,0.96,2.85,1.05,27.9,7.99,Matches
21,Rasmus Alm,se SWE,DF,St. Louis,30-109,1995,0.1,50.0,0.00,0.00,30.0,20.0,0.00,50.0,0.00,0.00,,0.00,,40.0,70.0,0.00,0.00,0.00,0.00,0.00,0.00,40.0,0.00,Matches
