0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,Matches PlayedMatches Played by the player or squad,Game or games started by player,Minutes,90s Played90s playedMinutes played divided by 90,GoalsGoals scored or allowed,AssistsAssists,Goals + AssistsGoals and Assists,Non-Penalty GoalsNon-Penalty Goals,Penalty Kicks MadePenalty Kicks Made,Penalty Kicks AttemptedPenalty Kicks Attempted,Yellow CardsYellow Cards,Red CardsRed Cards,"xG: Expected GoalsExpected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG: Non-Penalty xGNon-Penalty Expected GoalsProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","xAG: Exp. Assisted GoalsExpected Assisted GoalsxG which follows a pass that assists a shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",Progression_PrgC,Progression_PrgP,Progression_PrgR,GoalsGoals scored or allowed,AssistsAssists,Goals + AssistsGoals and Assists,Non-Penalty GoalsNon-Penalty Goals,Non-Penalty Goals + Assists/90Goals plus Assists minus Penalty Kicks made per 90 minutesMinimum 30 minutes played per squad game to qualify as a leader,"xG: Expected GoalsExpected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","xAG: Exp. Assisted GoalsExpected Assisted GoalsxG which follows a pass that assists a shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","xG + xAG/90Expected Goals plus Assisted Goals per 90 minutesxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader","npxG: Non-Penalty xGNon-Penalty Expected GoalsProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",36_Matches
11,Stephen Afrifa,ca CAN,FW,Sporting KC,21,2001,3,1,51,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
12,William Agada,ng NGA,FW,Sporting KC,23,1999,14,7,688,7.6,0.39,0.00,0.39,0.39,0.00,0.00,0.13,0.00,0.39,0.38,0.08,0.47,1.32,1.45,6.32,0.39,0.00,0.39,0.39,0.39,0.40,0.08,0.48,0.39,0.47,Matches
13,Giovanni Aguilar,us USA,MF,Vancouver W'caps,24,1998,1,0,10,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
14,Daniel Aguirre,us USA,"MF,FW",LA Galaxy,23,1999,25,3,573,6.4,0.16,0.16,0.31,0.16,0.00,0.00,0.47,0.00,0.27,0.27,0.08,0.34,3.28,5.00,7.81,0.16,0.16,0.31,0.16,0.31,0.27,0.08,0.35,0.27,0.35,Matches
15,Patrick Agyemang,us USA,FW,Charlotte,22,2000,12,1,191,2.1,0.48,0.00,0.48,0.48,0.00,0.00,1.43,0.00,0.19,0.19,0.05,0.24,1.90,0.95,11.0,0.47,0.00,0.47,0.47,0.47,0.21,0.03,0.24,0.21,0.24,Matches
16,Ali Ahmed,ca CAN,"MF,DF",Vancouver W'caps,22,2000,22,12,1126,12.5,0.16,0.08,0.24,0.16,0.00,0.00,0.16,0.00,0.22,0.22,0.10,0.31,4.24,5.68,8.40,0.16,0.08,0.24,0.16,0.24,0.22,0.09,0.31,0.22,0.31,Matches
17,Carlos Akapo,gq EQG,DF,SJ Earthquakes,29,1993,28,25,2146,23.8,0.08,0.13,0.21,0.08,0.00,0.00,0.13,0.00,0.05,0.05,0.07,0.12,2.98,4.16,5.17,0.08,0.13,0.21,0.08,0.21,0.05,0.07,0.12,0.05,0.12,Matches
18,Matai Akinmboni,us USA,DF,D.C. United,16,2006,3,2,182,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
19,Ayo Akinola,ca CAN,FW,Toronto FC,23,2000,14,4,558,6.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.05,0.21,0.97,1.29,6.45,0.00,0.00,0.00,0.00,0.00,0.17,0.05,0.21,0.17,0.21,Matches
20,Ayo Akinola,ca CAN,"FW,MF",SJ Earthquakes,23,2000,7,0,55,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,0.00,1.67,5.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
21,Joey Akpunonu,us USA,DF,FC Cincinnati,21,2001,1,0,9,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
22,Jordi Alba,es ESP,DF,Inter Miami,33,1989,7,5,439,4.9,0.20,0.00,0.20,0.20,0.00,0.00,0.20,0.00,0.12,0.12,0.20,0.33,2.65,6.53,10.0,0.21,0.00,0.21,0.21,0.21,0.12,0.21,0.33,0.12,0.33,Matches
23,Tony Alfaro,us USA,DF,NYCFC,29,1993,6,4,376,4.2,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.02,1.43,5.48,1.19,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,Matches
24,Tony Alfaro,us USA,DF,LA Galaxy,29,1993,6,4,382,4.2,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.24,1.67,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
25,Noah Allen,gr GRE,DF,Inter Miami,18,2004,19,14,1254,13.9,0.07,0.14,0.22,0.07,0.00,0.00,0.22,0.00,0.06,0.06,0.04,0.09,2.23,3.38,4.82,0.07,0.14,0.22,0.07,0.22,0.05,0.04,0.09,0.05,0.09,Matches
26,Rasmus Alm,se SWE,"MF,FW",St. Louis,27,1995,21,13,1096,12.2,0.25,0.16,0.41,0.25,0.00,0.00,0.33,0.00,0.14,0.14,0.26,0.40,1.64,2.05,6.64,0.25,0.16,0.41,0.25,0.41,0.14,0.26,0.41,0.14,0.41,Matches
27,Thiago Almada,ar ARG,MF,Atlanta Utd,21,2001,31,31,2728,30.3,0.36,0.53,0.89,0.30,0.07,0.10,0.20,0.03,0.31,0.24,0.44,0.67,4.32,9.60,5.61,0.36,0.53,0.89,0.30,0.82,0.31,0.43,0.75,0.24,0.67,Matches
28,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,37,1985,7,0,97,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.09,0.09,0.00,0.09,0.91,8.18,0.91,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
29,Jozy Altidore,us USA,FW,NE Revolution,33,1989,10,1,203,2.3,0.43,0.00,0.43,0.43,0.00,0.00,0.43,0.00,0.52,0.52,0.00,0.52,0.00,0.87,5.65,0.44,0.00,0.44,0.44,0.44,0.53,0.00,0.53,0.53,0.53,Matches
30,Efrain Alvarez,mx MEX,"MF,FW",LA Galaxy,20,2002,10,5,376,4.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.14,0.24,1.67,4.76,9.29,0.00,0.00,0.00,0.00,0.00,0.09,0.15,0.24,0.09,0.24,Matches
31,Fernando Álvarez,co COL,DF,CF Montréal,19,2003,4,2,254,2.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.71,0.36,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
32,Luis Amarilla,py PAR,FW,Minnesota Utd,27,1995,13,8,742,8.2,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.00,0.39,0.21,0.12,0.33,1.46,2.93,8.05,0.24,0.00,0.24,0.00,0.00,0.39,0.12,0.51,0.20,0.32,Matches
33,Frankie Amaya,us USA,MF,NY Red Bulls,22,2000,25,22,1918,21.3,0.23,0.00,0.23,0.23,0.00,0.00,0.19,0.00,0.09,0.09,0.08,0.17,0.99,5.87,1.17,0.23,0.00,0.23,0.23,0.23,0.09,0.08,0.17,0.09,0.17,Matches
34,Malte Amundsen,dk DEN,DF,Columbus Crew,24,1998,22,21,1891,21.0,0.14,0.05,0.19,0.14,0.00,0.00,0.33,0.00,0.06,0.06,0.07,0.12,0.95,4.62,2.10,0.14,0.05,0.19,0.14,0.19,0.06,0.07,0.12,0.06,0.12,Matches
35,Sebastian Anderson,us USA,DF,Colorado Rapids,20,2002,4,3,272,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.33,1.33,2.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
36,José Andrés Martínez,ve VEN,MF,Philadelphia Union,28,1994,24,21,1823,20.3,0.15,0.05,0.20,0.15,0.00,0.00,0.54,0.00,0.04,0.04,0.03,0.07,0.94,5.47,0.84,0.15,0.05,0.20,0.15,0.20,0.04,0.04,0.07,0.04,0.07,Matches
37,Iván Angulo,co COL,"FW,DF",Orlando City,23,1999,34,29,2482,27.6,0.18,0.22,0.40,0.18,0.00,0.00,0.18,0.00,0.18,0.18,0.12,0.29,2.72,3.55,9.17,0.18,0.22,0.40,0.18,0.40,0.18,0.12,0.30,0.18,0.30,Matches
38,Marco Angulo,ec ECU,MF,FC Cincinnati,20,2002,24,9,785,8.7,0.00,0.11,0.11,0.00,0.00,0.00,0.23,0.00,0.06,0.06,0.05,0.11,0.34,2.64,2.53,0.00,0.11,0.11,0.00,0.11,0.06,0.05,0.11,0.06,0.11,Matches
39,Eugene Ansah,gh GHA,FW,FC Dallas,28,1994,8,0,180,2.0,0.50,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.60,0.60,0.00,0.60,1.50,0.00,7.50,0.50,0.00,0.50,0.50,0.50,0.60,0.00,0.60,0.60,0.60,Matches
40,Themi Antonoglou,ca CAN,"DF,MF",Toronto FC,21,2001,11,3,480,5.3,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.04,0.04,0.02,0.06,1.13,2.26,4.72,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
41,Antony,br BRA,"FW,MF",Portland Timbers,21,2001,9,3,254,2.8,0.36,0.00,0.36,0.36,0.00,0.00,0.36,0.00,0.14,0.14,0.32,0.46,3.21,2.50,15.4,0.35,0.00,0.35,0.35,0.35,0.14,0.30,0.44,0.14,0.44,Matches
42,Brian Anunga,cm CMR,MF,Nashville SC,26,1996,16,5,566,6.3,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.02,0.02,0.32,3.17,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02,Matches
43,Cristian Arango,co COL,FW,Real Salt Lake,27,1995,11,9,758,8.4,0.71,0.12,0.83,0.71,0.00,0.00,0.24,0.00,0.36,0.36,0.23,0.57,1.07,2.74,6.67,0.71,0.12,0.83,0.71,0.83,0.35,0.22,0.58,0.35,0.58,Matches
44,César Araujo,uy URU,MF,Orlando City,21,2001,33,31,2730,30.3,0.03,0.10,0.13,0.03,0.00,0.00,0.26,0.00,0.05,0.05,0.06,0.11,0.69,5.12,1.25,0.03,0.10,0.13,0.03,0.13,0.05,0.06,0.11,0.05,0.11,Matches
45,Luiz Araújo,br BRA,FW,Atlanta Utd,26,1996,16,15,1269,14.1,0.21,0.07,0.28,0.21,0.00,0.07,0.21,0.07,0.22,0.16,0.10,0.26,4.47,4.82,8.51,0.21,0.07,0.28,0.21,0.28,0.22,0.10,0.32,0.16,0.27,Matches
46,Miguel Araujo,pe PER,DF,Portland Timbers,28,1994,3,2,173,1.9,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.05,0.05,0.00,0.05,0.53,2.11,0.53,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
47,Scott Arfield,ca CAN,"MF,FW",Charlotte,34,1988,13,2,415,4.6,0.43,0.00,0.43,0.43,0.00,0.00,0.22,0.00,0.20,0.20,0.04,0.22,0.43,4.78,3.26,0.43,0.00,0.43,0.43,0.43,0.19,0.04,0.22,0.19,0.22,Matches
48,Max Arfsten,us USA,"DF,MF",Columbus Crew,21,2001,12,3,275,3.1,0.65,0.65,1.29,0.65,0.00,0.00,0.32,0.00,0.32,0.32,0.42,0.71,4.84,2.90,10.3,0.65,0.65,1.31,0.65,1.31,0.32,0.41,0.73,0.32,0.73,Matches
49,Santiago Arias,co COL,DF,FC Cincinnati,31,1992,26,16,1652,18.4,0.11,0.05,0.16,0.11,0.00,0.00,0.16,0.00,0.16,0.16,0.09,0.26,2.07,3.80,6.14,0.11,0.05,0.16,0.11,0.16,0.16,0.09,0.25,0.16,0.25,Matches
50,Xavier Arreaga,ec ECU,"DF,MF",Seattle Sounders,28,1994,14,3,355,3.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.23,0.26,2.05,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,Matches
51,Kervin Arriaga,hn HON,MF,Minnesota Utd,25,1998,20,11,1169,13.0,0.15,0.15,0.31,0.15,0.00,0.00,0.38,0.00,0.07,0.07,0.10,0.17,1.15,5.00,1.00,0.15,0.15,0.31,0.15,0.31,0.07,0.10,0.17,0.07,0.17,Matches
52,Paul Arriola,us USA,"FW,MF",FC Dallas,27,1995,22,20,1655,18.4,0.11,0.22,0.33,0.11,0.00,0.00,0.22,0.00,0.20,0.20,0.23,0.43,1.85,2.93,7.45,0.11,0.22,0.33,0.11,0.33,0.20,0.24,0.43,0.20,0.43,Matches
53,Dixon Arroyo,ec ECU,MF,Inter Miami,30,1992,24,21,1787,19.9,0.05,0.00,0.05,0.05,0.00,0.00,0.20,0.00,0.04,0.04,0.02,0.05,0.20,4.37,0.50,0.05,0.00,0.05,0.05,0.05,0.04,0.01,0.05,0.04,0.05,Matches
54,Artur,br BRA,MF,Houston Dynamo,26,1996,34,31,2727,30.3,0.07,0.00,0.07,0.07,0.00,0.00,0.20,0.00,0.03,0.03,0.03,0.07,0.26,4.09,0.76,0.07,0.00,0.07,0.07,0.07,0.03,0.03,0.07,0.03,0.07,Matches
55,Yamil Asad,ar ARG,"MF,FW",D.C. United,28,1994,21,5,523,5.8,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.10,0.10,0.07,0.16,2.24,5.00,8.45,0.00,0.00,0.00,0.00,0.00,0.10,0.06,0.16,0.10,0.16,Matches
56,Dairon Asprilla,co COL,"FW,MF",Portland Timbers,30,1992,26,16,1449,16.1,0.31,0.31,0.62,0.31,0.00,0.00,0.31,0.00,0.18,0.18,0.20,0.38,2.55,2.80,8.63,0.31,0.31,0.62,0.31,0.62,0.18,0.20,0.38,0.18,0.38,Matches
57,Joshua Atencio,us USA,MF,Seattle Sounders,21,2002,22,10,984,10.9,0.09,0.09,0.18,0.09,0.00,0.00,0.28,0.00,0.08,0.08,0.06,0.14,2.20,5.32,3.12,0.09,0.09,0.18,0.09,0.18,0.08,0.06,0.13,0.08,0.13,Matches
58,Julián Aude,ar ARG,DF,LA Galaxy,19,2003,22,14,1194,13.3,0.00,0.08,0.08,0.00,0.00,0.00,0.45,0.00,0.04,0.04,0.07,0.11,1.13,2.86,3.98,0.00,0.08,0.08,0.00,0.08,0.03,0.07,0.10,0.03,0.10,Matches
59,Tomás Avilés,ar ARG,DF,Inter Miami,18,2004,11,11,875,9.7,0.10,0.10,0.21,0.10,0.00,0.00,0.62,0.00,0.04,0.04,0.02,0.07,0.41,2.06,0.31,0.10,0.10,0.21,0.10,0.21,0.04,0.02,0.07,0.04,0.07,Matches
60,David Ayala,ar ARG,MF,Portland Timbers,20,2002,4,3,160,1.8,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.17,0.17,0.00,0.17,1.67,4.44,2.78,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Matches
61,Edison Azcona,do DOM,"MF,DF",Inter Miami,19,2003,5,0,51,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,8.33,0.00,23.3,0.00,0.00,0.00,0.00,0.00,0.15,0.04,0.19,0.15,0.19,Matches
62,Dominique Badji,sn SEN,FW,FC Cincinnati,30,1992,23,10,916,10.2,0.49,0.29,0.78,0.49,0.00,0.00,0.00,0.00,0.38,0.38,0.27,0.66,1.96,1.27,6.47,0.49,0.29,0.79,0.49,0.79,0.38,0.27,0.66,0.38,0.66,Matches
63,Corey Baird,us USA,FW,Houston Dynamo,27,1996,34,28,2330,25.9,0.31,0.19,0.50,0.31,0.00,0.00,0.15,0.00,0.28,0.28,0.12,0.40,1.20,1.93,5.68,0.31,0.19,0.50,0.31,0.50,0.28,0.12,0.40,0.28,0.40,Matches
64,Esmir Bajraktarevic,ba BIH,"FW,MF",NE Revolution,17,2005,13,5,495,5.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.04,0.36,3.82,2.00,6.18,0.00,0.00,0.00,0.00,0.00,0.33,0.03,0.36,0.33,0.36,Matches
65,Cody Baker,us USA,DF,Seattle Sounders,19,2004,12,8,680,7.6,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.05,0.05,2.50,5.39,6.58,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
66,Reed Baker-Whiting,us USA,"DF,FW",Seattle Sounders,17,2005,19,6,642,7.1,0.00,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.10,0.11,3.52,4.08,7.46,0.00,0.14,0.14,0.00,0.14,0.02,0.09,0.11,0.02,0.11,Matches
67,Monsef Bakrar,dz ALG,FW,NYCFC,22,2001,10,10,754,8.4,0.36,0.00,0.36,0.36,0.00,0.12,0.00,0.00,0.69,0.62,0.04,0.65,1.19,1.31,5.24,0.36,0.00,0.36,0.36,0.36,0.69,0.04,0.73,0.62,0.66,Matches
68,Michael Baldisimo,ph PHI,MF,SJ Earthquakes,22,2000,10,3,294,3.3,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.30,3.33,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
69,Tai Baribo,il ISR,"FW,MF",Philadelphia Union,25,1998,5,1,153,1.7,0.00,0.00,0.00,0.00,0.00,0.00,1.18,0.00,0.06,0.06,0.00,0.06,0.00,0.59,4.12,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
70,Tom Barlow,us USA,FW,NY Red Bulls,27,1995,34,20,1841,20.5,0.15,0.10,0.24,0.15,0.00,0.00,0.20,0.00,0.34,0.34,0.09,0.42,0.93,1.76,4.98,0.15,0.10,0.24,0.15,0.24,0.34,0.09,0.42,0.34,0.42,Matches
71,Luis Barraza,us USA,GK,NYCFC,26,1996,24,24,2160,24.0,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
72,Álvaro Barreal,ar ARG,DF,FC Cincinnati,22,2000,34,32,2814,31.3,0.16,0.19,0.35,0.16,0.00,0.00,0.19,0.00,0.10,0.10,0.30,0.39,2.68,4.06,7.60,0.16,0.19,0.35,0.16,0.35,0.10,0.30,0.39,0.10,0.39,Matches
73,Michael Barrios,co COL,"FW,MF",Colorado Rapids,31,1991,20,7,839,9.3,0.22,0.22,0.43,0.22,0.00,0.00,0.32,0.00,0.29,0.29,0.14,0.43,2.37,2.04,8.82,0.21,0.21,0.43,0.21,0.43,0.29,0.14,0.43,0.29,0.43,Matches
74,Michael Barrios,co COL,"FW,MF",LA Galaxy,31,1991,6,0,114,1.3,0.77,0.00,0.77,0.77,0.00,0.00,0.00,0.00,0.46,0.46,0.23,0.62,3.85,3.08,11.5,0.79,0.00,0.79,0.79,0.79,0.44,0.20,0.65,0.44,0.65,Matches
75,Lucas Bartlett,us USA,DF,St. Louis,25,1997,14,12,1067,11.9,0.00,0.08,0.08,0.00,0.00,0.00,0.34,0.00,0.07,0.07,0.04,0.10,0.42,3.03,0.25,0.00,0.08,0.08,0.00,0.08,0.06,0.04,0.10,0.06,0.10,Matches
76,Ethan Bartlow,us USA,DF,Houston Dynamo,22,2000,27,21,1992,22.1,0.00,0.05,0.05,0.00,0.00,0.00,0.18,0.00,0.04,0.04,0.06,0.10,0.54,1.76,0.32,0.00,0.05,0.05,0.00,0.05,0.04,0.06,0.10,0.04,0.10,Matches
77,Cole Bassett,us USA,"MF,FW",Colorado Rapids,21,2001,25,22,1898,21.1,0.28,0.05,0.33,0.28,0.00,0.00,0.24,0.00,0.18,0.18,0.11,0.29,2.09,4.45,3.46,0.28,0.05,0.33,0.28,0.33,0.19,0.11,0.29,0.19,0.29,Matches
78,Amine Bassi,fr FRA,"MF,FW",Houston Dynamo,25,1997,28,25,2000,22.2,0.45,0.05,0.50,0.18,0.27,0.27,0.05,0.05,0.41,0.20,0.22,0.41,1.80,6.76,4.32,0.45,0.05,0.50,0.18,0.23,0.41,0.21,0.63,0.20,0.41,Matches
79,Jesús Batiz,hn HON,"MF,FW",Toronto FC,23,1999,2,0,64,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,4.29,2.86,11.4,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
