0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,Matches PlayedMatches Played by the player or squad,Game or games started by player,Minutes,90s Played90s playedMinutes played divided by 90,GoalsGoals scored or allowed,AssistsAssists,Goals + AssistsGoals and Assists,Non-Penalty GoalsNon-Penalty Goals,Penalty Kicks MadePenalty Kicks Made,Penalty Kicks AttemptedPenalty Kicks Attempted,Yellow CardsYellow Cards,Red CardsRed Cards,"xG: Expected GoalsExpected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG: Non-Penalty xGNon-Penalty Expected GoalsProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","xAG: Exp. Assisted GoalsExpected Assisted GoalsxG which follows a pass that assists a shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",Progression_PrgC,Progression_PrgP,Progression_PrgR,GoalsGoals scored or allowed,AssistsAssists,Goals + AssistsGoals and Assists,Non-Penalty GoalsNon-Penalty Goals,Non-Penalty Goals + Assists/90Goals plus Assists minus Penalty Kicks made per 90 minutesMinimum 30 minutes played per squad game to qualify as a leader,"xG: Expected GoalsExpected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","xAG: Exp. Assisted GoalsExpected Assisted GoalsxG which follows a pass that assists a shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","xG + xAG/90Expected Goals plus Assisted Goals per 90 minutesxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader","npxG: Non-Penalty xGNon-Penalty Expected GoalsProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",36_Matches
1,Luis Abram,pe PER,DF,Atlanta Utd,26,1996,22,16,1456,16.2,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.01,0.01,0.00,0.01,0.31,1.79,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,28,1994,26,23,1920,21.3,0.09,0.00,0.09,0.09,0.00,0.00,0.42,0.05,0.04,0.04,0.01,0.05,0.23,2.35,0.14,0.09,0.00,0.09,0.09,0.09,0.04,0.01,0.05,0.04,0.05,Matches
3,Alonso Aceves,mx MEX,DF,Chicago Fire,21,2001,20,9,853,9.5,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.03,0.03,0.04,0.07,2.21,2.53,3.58,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.07,0.04,0.07,Matches
4,Bryan Acosta,hn HON,MF,Colorado Rapids,29,1993,14,13,1117,12.4,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.07,0.07,0.22,0.29,0.89,4.27,1.94,0.00,0.00,0.00,0.00,0.00,0.07,0.22,0.29,0.07,0.29,Matches
5,Bryan Acosta,hn HON,MF,Portland Timbers,29,1993,7,5,458,5.1,0.00,0.20,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.18,0.18,0.00,3.73,0.59,0.00,0.20,0.20,0.00,0.20,0.00,0.17,0.18,0.00,0.18,Matches
6,Kellyn Acosta,us USA,MF,LAFC,27,1995,24,18,1498,16.6,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.04,0.04,0.07,0.10,0.54,3.49,1.45,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.10,0.04,0.10,Matches
7,Luciano Acosta,ar ARG,MF,FC Cincinnati,28,1994,32,29,2605,28.9,0.59,0.35,0.93,0.35,0.24,0.28,0.24,0.00,0.45,0.23,0.35,0.58,4.01,7.54,7.82,0.59,0.35,0.93,0.35,0.69,0.44,0.35,0.80,0.23,0.58,Matches
8,Sam Adekugbe,ca CAN,"FW,DF",Vancouver W'caps,28,1995,10,4,409,4.5,0.00,0.22,0.22,0.00,0.00,0.00,0.44,0.00,0.04,0.04,0.18,0.20,1.56,3.78,7.78,0.00,0.22,0.22,0.00,0.22,0.03,0.18,0.21,0.03,0.21,Matches
9,Samuel Adeniran,us USA,FW,St. Louis,24,1998,18,11,949,10.5,0.76,0.10,0.86,0.67,0.10,0.10,0.29,0.10,0.37,0.30,0.12,0.42,3.05,1.14,4.38,0.76,0.09,0.85,0.66,0.76,0.37,0.12,0.49,0.29,0.42,Matches
10,Harrison Afful,gh GHA,DF,Charlotte,36,1986,15,11,951,10.6,0.00,0.09,0.09,0.00,0.00,0.00,0.28,0.00,0.02,0.02,0.07,0.08,1.32,4.72,1.04,0.00,0.09,0.09,0.00,0.09,0.02,0.06,0.08,0.02,0.08,Matches
