0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,22_Ast,23_xAG,"xA: Expected AssistsExpected AssistsThe likelihood each completed pass becomes a goal assistsgiven the pass type, phase of play, location and distance.Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader","Assists - xAGAssists minus Expected Goals AssistedProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",26_KP,27_1/3,28_PPA,29_CrsPA,30_PrgP,31_Matches
1,Liel Abada,il ISR,FW,Charlotte,22,2001,18.2,18.1,25.5,71.0,267.7,86.6,10.0,12.6,79.5,6.43,8.68,74.1,0.88,2.42,36.4,0.05,0.16,0.20,-0.11,1.54,1.37,1.54,0.27,3.46,Matches
2,Jose Casas de Abadal,us USA,"FW,DF",Inter Miami,23,2000,0.3,76.7,100.0,76.7,1206.7,380.0,30.0,40.0,75.0,40.0,43.3,92.3,3.33,6.67,50.0,0.00,0.00,0.00,0.00,0.00,13.3,0.00,0.00,10.0,Matches
3,Luis Abram,pe PER,DF,Atlanta Utd,27,1996,12.2,49.1,55.1,89.1,1003.8,410.2,14.3,15.1,95.1,28.2,30.6,92.2,6.23,8.85,70.4,0.00,0.01,0.01,-0.01,0.25,2.46,0.08,0.08,2.87,Matches
4,Lalas Abubakar,gh GHA,DF,Colorado Rapids,29,1994,14.2,43.0,47.7,90.1,774.6,245.1,15.7,16.9,92.9,24.0,26.1,92.2,2.96,4.23,70.0,0.07,0.01,0.01,0.06,0.14,2.04,0.00,0.00,2.89,Matches
5,Kellyn Acosta,us USA,MF,Chicago Fire,28,1995,25.6,41.3,51.7,79.9,724.3,195.5,18.9,21.6,87.7,18.1,20.5,88.4,3.55,7.58,46.9,0.08,0.11,0.11,-0.03,1.13,3.79,0.90,0.16,4.65,Matches
6,Luciano Acosta,ar ARG,MF,FC Cincinnati,29,1994,30.0,40.5,55.3,73.3,685.3,242.3,21.8,26.3,82.7,13.1,16.7,78.3,4.40,8.00,55.0,0.53,0.39,0.44,0.14,3.63,5.07,3.50,0.40,8.33,Matches
7,Jordan Adebayo-Smith,ng NGA,"FW,MF",Minnesota Utd,24,2000,2.8,12.1,18.6,65.4,148.2,16.8,7.86,10.7,73.3,3.21,5.00,64.3,0.00,0.00,,0.00,0.00,0.04,0.00,0.36,1.07,0.36,0.00,1.07,Matches
8,Sam Adekugbe,ca CAN,"DF,MF",Vancouver W'caps,29,1995,8.3,48.0,58.1,82.6,763.4,228.2,24.3,26.9,90.6,20.5,24.3,84.2,2.17,4.34,50.0,0.24,0.39,0.33,-0.14,1.69,2.89,2.29,1.08,4.70,Matches
9,Samuel Adeniran,us USA,FW,Philadelphia Union,25,1998,1.5,14.0,22.7,61.8,243.3,77.3,8.00,12.0,66.7,4.67,8.00,58.3,1.33,1.33,100.0,0.00,0.00,0.07,0.00,0.67,0.67,1.33,0.00,2.67,Matches
10,Samuel Adeniran,us USA,"FW,MF",St. Louis,25,1998,6.6,13.5,18.9,71.2,189.4,32.7,7.58,9.85,76.9,4.24,6.21,68.3,0.76,1.21,62.5,0.15,0.12,0.09,0.03,1.21,1.21,0.76,0.15,1.36,Matches
