0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,24_Matches
1,Paxten Aaronson,us USA,MF,Colorado Rapids,22-100,2003,6.4,4.84,4.88,3.28,0.00,0.47,0.47,0.63,0.00,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,Matches
2,Liel Abada,il ISR,"FW,MF",Charlotte,24-062,2001,16.5,3.03,3.04,2.42,0.00,0.18,0.24,0.12,0.06,0.30,0.30,0.18,0.00,0.00,0.06,0.06,0.00,Matches
3,Wessam Abou Ali,ps PLE,FW,Columbus Crew,26-334,1999,3.4,2.35,2.40,2.06,0.00,0.00,0.00,0.29,0.00,0.59,0.60,0.29,0.00,0.00,0.00,0.29,0.00,Matches
4,Luis Abram,pe PER,DF,Atlanta Utd,29-280,1996,16.6,0.60,0.60,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
5,Lalas Abubakar,gh GHA,DF,FC Dallas,30-344,1994,18.4,0.54,0.54,0.43,0.00,0.00,0.05,0.00,0.05,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,Matches
6,Bryan Acosta,hn HON,MF,Nashville SC,32-010,1993,2.5,1.20,1.22,0.00,0.40,0.00,0.00,0.00,0.80,0.40,0.41,0.00,0.00,0.00,0.00,0.00,0.40,Matches
7,Kellyn Acosta,us USA,MF,Chicago Fire,30-133,1995,7.3,1.51,1.51,1.23,0.14,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
8,Luciano Acosta,ar ARG,"MF,FW",FC Dallas,31-187,1994,18.8,5.00,4.99,3.51,0.96,0.21,0.00,0.21,0.11,0.48,0.48,0.32,0.00,0.11,0.00,0.05,0.00,Matches
9,Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-322,1995,3.2,2.19,2.16,1.88,0.00,0.00,0.31,0.00,0.00,0.31,0.31,0.00,0.00,0.00,0.31,0.00,0.00,Matches
10,Leonardo Afonso,br BRA,"DF,FW",Atlanta Utd,24-144,2001,0.9,4.44,4.68,3.33,0.00,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
11,Leonardo Afonso,br BRA,"FW,MF",Inter Miami,24-144,2001,1.0,2.00,2.07,1.00,0.00,0.00,1.00,0.00,0.00,2.00,2.07,1.00,0.00,0.00,1.00,0.00,0.00,Matches
12,Stephen Afrifa,ca CAN,"MF,FW",Sporting KC,24-288,2001,1.5,5.33,5.18,3.33,0.00,0.67,0.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
13,William Agada,ng NGA,FW,Sporting KC,26-078,1999,1.1,1.82,1.82,1.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
14,William Agada,ng NGA,FW,Real Salt Lake,26-078,1999,13.0,2.31,2.30,1.54,0.00,0.15,0.46,0.15,0.00,0.23,0.23,0.15,0.00,0.00,0.08,0.00,0.00,Matches
15,Patrick Agyemang,us USA,FW,Charlotte,25-027,2000,13.6,2.87,2.87,1.91,0.00,0.22,0.07,0.66,0.00,0.37,0.37,0.07,0.00,0.07,0.00,0.22,0.00,Matches
16,Ali Ahmed,ca CAN,FW,Vancouver W'caps,25-055,2000,14.3,5.52,5.52,4.76,0.00,0.35,0.07,0.28,0.07,1.12,1.12,0.84,0.00,0.07,0.00,0.21,0.00,Matches
17,Forster Ajago,gh GHA,FW,Real Salt Lake,24-110,2001,2.9,1.38,1.39,1.38,0.00,0.00,0.00,0.00,0.00,0.34,0.35,0.34,0.00,0.00,0.00,0.00,0.00,Matches
18,Jordi Alba,es ESP,DF,Inter Miami,36-258,1989,28.5,3.30,3.30,2.98,0.11,0.11,0.07,0.00,0.04,0.67,0.67,0.60,0.00,0.07,0.00,0.00,0.00,Matches
19,Noah Allen,gr GRE,DF,Inter Miami,21-220,2004,21.1,0.85,0.85,0.76,0.00,0.00,0.09,0.00,0.00,0.24,0.24,0.19,0.00,0.00,0.05,0.00,0.00,Matches
20,Tadeo Allende,ar ARG,"MF,FW",Inter Miami,26-287,1999,23.9,2.09,2.09,1.63,0.04,0.08,0.25,0.08,0.00,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,Matches
21,Rasmus Alm,se SWE,DF,St. Louis,30-109,1995,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
22,Miguel Almirón,py PAR,"FW,MF",Atlanta Utd,31-297,1994,30.1,4.02,4.03,3.22,0.07,0.13,0.23,0.30,0.07,0.37,0.37,0.30,0.00,0.00,0.03,0.03,0.00,Matches
23,Alejandro Alvarado Jr.,us USA,MF,San Diego FC,22-128,2003,5.4,1.67,1.66,1.67,0.00,0.00,0.00,0.00,0.00,0.19,0.18,0.19,0.00,0.00,0.00,0.00,0.00,Matches
24,Fernando Álvarez,co COL,DF,CF Montréal,22-102,2003,12.2,0.82,0.82,0.57,0.08,0.00,0.08,0.00,0.08,0.08,0.08,0.00,0.00,0.00,0.08,0.00,0.00,Matches
25,Steven Alzate,co COL,MF,Atlanta Utd,27-087,1998,7.2,3.06,3.05,2.08,0.56,0.00,0.00,0.14,0.28,0.28,0.28,0.14,0.14,0.00,0.00,0.00,0.00,Matches
26,Pedro Amador,pt POR,DF,Atlanta Utd,26-351,1998,23.1,1.39,1.39,1.39,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,Matches
27,Daouda Amadou,cm CMR,MF,Colorado Rapids,23-063,2002,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
28,Frankie Amaya,us USA,MF,LAFC,25-069,2000,4.8,3.33,3.33,3.13,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
29,Malte Amundsen,dk DEN,DF,Columbus Crew,27-296,1998,19.8,1.31,1.31,1.06,0.00,0.15,0.00,0.00,0.10,0.15,0.15,0.10,0.00,0.00,0.00,0.00,0.05,Matches
30,Markus Anderson,us USA,FW,Philadelphia Union,21-358,2003,1.1,0.91,0.90,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
31,Tomas Ángel,co COL,FW,San Diego FC,22-287,2003,7.9,2.66,2.64,2.03,0.13,0.13,0.25,0.13,0.00,0.38,0.38,0.25,0.00,0.13,0.00,0.00,0.00,Matches
32,Iván Angulo,co COL,"MF,FW",Orlando City,26-257,1999,25.6,3.13,3.12,2.66,0.00,0.16,0.08,0.16,0.08,0.27,0.27,0.23,0.00,0.04,0.00,0.00,0.00,Matches
