0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,22_Ast,23_xAG,"xA: Expected AssistsExpected AssistsThe likelihood each completed pass becomes a goal assistsgiven the pass type, phase of play, location and distance.Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader","Assists - xAGAssists minus Expected Goals AssistedProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",26_KP,27_1/3,28_PPA,29_CrsPA,30_PrgP,31_Matches
1,Luis Abram,pe PER,DF,Atlanta Utd,26,1996,16.2,49.1,56.0,87.8,965.8,363.2,15.4,16.7,92.3,28.3,30.3,93.5,5.06,8.21,61.7,0.00,0.00,0.01,0.00,0.06,1.23,0.06,0.00,1.79,Matches
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,28,1994,21.3,44.7,52.1,85.8,783.3,267.2,18.5,20.3,91.4,22.6,24.7,91.4,3.00,5.73,52.5,0.00,0.01,0.03,-0.01,0.14,2.25,0.05,0.05,2.35,Matches
3,Alonso Aceves,mx MEX,DF,Chicago Fire,21,2001,9.5,33.8,45.9,73.6,551.7,192.3,17.3,19.6,88.2,14.3,18.6,76.8,2.00,5.16,38.8,0.00,0.04,0.04,-0.04,0.74,2.63,0.74,0.42,2.53,Matches
4,Bryan Acosta,hn HON,MF,Colorado Rapids,29,1993,12.4,33.6,43.0,78.2,764.1,222.3,10.2,11.6,88.2,15.2,17.2,88.7,7.74,12.6,61.5,0.00,0.22,0.14,-0.22,2.02,4.60,0.56,0.08,4.27,Matches
5,Bryan Acosta,hn HON,MF,Portland Timbers,29,1993,5.1,37.6,43.5,86.5,729.2,182.2,13.1,14.3,91.8,18.2,20.2,90.3,5.69,7.25,78.4,0.20,0.18,0.14,0.02,0.59,5.29,0.39,0.00,3.73,Matches
6,Kellyn Acosta,us USA,MF,LAFC,27,1995,16.6,35.2,43.3,81.2,578.7,186.3,18.4,20.2,91.0,12.2,14.7,83.2,3.49,6.69,52.3,0.00,0.07,0.09,-0.07,1.02,4.16,0.12,0.00,3.49,Matches
7,Luciano Acosta,ar ARG,MF,FC Cincinnati,28,1994,28.9,36.1,51.0,70.8,598.4,226.9,19.2,22.8,84.2,11.2,15.7,71.2,4.05,8.27,49.0,0.35,0.35,0.35,-0.01,3.36,4.67,2.91,0.21,7.54,Matches
8,Sam Adekugbe,ca CAN,"FW,DF",Vancouver W'caps,28,1995,4.5,45.6,55.1,82.7,656.2,183.1,28.9,31.1,92.9,14.0,17.1,81.8,2.44,4.89,50.0,0.22,0.18,0.18,0.04,1.33,4.00,2.44,1.11,3.78,Matches
9,Samuel Adeniran,us USA,FW,St. Louis,24,1998,10.5,8.67,15.5,55.8,135.8,25.7,4.29,7.62,56.3,2.38,3.90,61.0,1.05,1.52,68.8,0.10,0.12,0.06,-0.03,0.48,0.57,0.57,0.19,1.14,Matches
10,Harrison Afful,gh GHA,DF,Charlotte,36,1986,10.6,54.2,64.0,84.7,935.7,292.7,25.0,26.6,94.0,24.1,27.0,89.2,4.34,8.21,52.9,0.09,0.07,0.04,0.03,0.57,3.68,0.66,0.19,4.72,Matches
11,Stephen Afrifa,ca CAN,FW,Sporting KC,21,2001,0.6,8.33,8.33,100.0,93.3,0.00,6.67,6.67,100.0,1.67,1.67,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
12,William Agada,ng NGA,FW,Sporting KC,23,1999,7.6,17.0,21.3,79.6,231.1,28.8,11.3,12.4,91.5,4.47,6.32,70.8,0.53,0.79,66.7,0.00,0.08,0.04,-0.08,1.18,0.92,0.39,0.00,1.45,Matches
13,Giovanni Aguilar,us USA,MF,Vancouver W'caps,24,1998,0.1,30.0,50.0,60.0,540.0,220.0,10.0,10.0,100.0,20.0,30.0,66.7,0.00,10.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
