# redshift logM200
0.318 13.8
0.334 13.5
0.319 14.5
0.495 14.7
0.35 14.4
#0.337 15.6
0.385 14.1
0.385 15.1
0.409 14.8
0.456 15.2
0.369 14.8
0.467 14.6
0.496 15.0
0.494 14.7
0.451 14.6
0.501 14.2
0.505 13.5
0.503 14.7
0.514 14.7
0.559 12.3
0.509 14.3
0.546 14.5
0.611 15.4
0.62 14.5
0.46 14.5
0.639 14.5
0.654 14.9
0.66 14.3
0.629 15.3
0.618 14.7
0.613 14.6
0.864 15.1
0.572 14.9
0.842 14.9
0.817 14.5
0.814 14.3
0.785 14.4
0.73 14.5
0.58 14.7
0.678 14.5
0.778 14.4
0.828 14.7
0.748 14.2
0.837 14.8
0.844 14.7
0.863 14.7
0.677 13.7
0.808 14.7
0.803 14.2
0.757 14.8
0.803 15.0
0.879 14.5
0.847 14.7
0.859 14.9
0.992 14.5
1.036 14.9
0.972 14.3
0.954 15.4
0.964 14.6
0.926 14.3
1.086 14.7
1.078 14.3
1.022 14.5
1.024 15.0
0.993 14.9
1.034 15.3
1.04 15.2
1.064 14.2
0.936 14.9
0.97 14.5
0.911 14.8
0.894 14.7
1.08 15.0
0.933 14.5
1.014 15.3
1.016 14.4
1.025 15.2
0.301 14.2
0.356 15.2
0.345 14.3
1.012 12.9
0.351 14.3
0.316 14.5
0.391 15.0
0.366 14.4
0.376 14.2
0.352 14.6
0.355 15.2
0.369 14.4
0.379 15.1
0.364 14.5
0.358 14.7
0.358 14.8
0.354 14.3
0.317 14.7
0.356 15.3
0.368 15.1
0.412 14.2
0.355 15.3
0.42 14.6
0.379 13.0
0.392 15.0
0.386 14.2
0.427 14.7
0.476 14.4
0.485 14.5
0.48 14.8
0.447 13.8
0.434 15.0
0.47 15.1
0.508 15.0
0.491 14.0
0.457 15.1
0.391 14.3
0.459 14.1
0.509 14.9
0.519 14.0
0.494 14.0
0.463 15.2
0.498 14.7
0.5 13.7
0.553 14.6
0.458 14.4
0.56 14.5
0.556 15.0
0.567 13.4
0.618 14.8
0.579 14.7
0.594 13.9
0.604 14.8
0.631 14.5
0.677 15.0
0.641 15.3
0.613 14.7
0.646 13.8
0.674 14.8
0.692 15.1
0.525 15.1
0.759 14.7
0.731 14.3
0.794 14.7
0.682 14.0
0.711 14.7
0.714 14.8
0.488 14.8
0.763 14.6
0.654 14.8
0.77 14.9
0.748 15.1
0.747 14.6
0.866 14.5
0.729 15.2
0.815 14.9
0.799 14.9
0.766 14.6
0.746 14.9
0.63 14.9
0.793 14.6
0.797 14.6
0.704 13.7
0.907 14.8
0.802 14.9
0.85 14.6
0.889 14.9
0.908 13.9
0.907 15.3
0.913 14.2
0.888 15.2
0.881 15.1
0.897 14.5
0.911 14.1
0.922 15.1
0.91 14.6
0.9 14.7
0.894 15.0
0.906 14.5
0.897 14.3
0.881 14.7
0.916 14.7
0.902 14.8
0.877 14.9
0.918 14.5
0.903 14.5
0.891 14.6
0.9 14.7
0.99 14.2
1.049 14.2
0.895 14.7
0.909 14.2
1.047 14.2
0.842 14.3
0.947 14.5
0.899 14.3
0.888 15.1
0.916 14.2
0.761 14.1
0.889 14.8
0.925 14.7
0.926 14.6
0.776 14.7
1.065 14.9
