crop,Kcbini,Kcbmid,Kcbend,Lini,Ldev,Lmid,Lend,hini,hmax,Zrini,Zrmax,pbase
strawberry,0.3,0.8,0.7,12,25,50,25,0.01,0.2,0.01,0.25,0.2
maize,0.15,1.15,0.45,30,40,50,30,0.01,2.0,0.01,1.3,0.55
potato,0.15,1.1,0.65,30,35,50,30,0.01,0.6,0.01,0.5,0.35
bean,0.15,1.0,0.8,20,30,30,10,0.01,0.4,0.01,0.6,0.45
blueberry,0.2,1.0,0.4,20,25,45,35,0.01,1.5,0.01,0.3,0.5
chestnut,0.4,1.05,0.6,20,70,120,60,25,25,3,3,0.5
eggplant,0.15,1.0,0.8,30,45,40,25,0.01,0.8,0.01,0.95,0.45
tomato,0.15,1.1,0.7,30,40,45,30,0.01,0.6,0.01,1.1,0.4
zucchini,0.15,0.9,0.7,20,30,25,15,0.01,0.3,0.01,0.8,0.5
wheat,0.15,1.1,0.15,20,25,60,30,0.01,1.0,0.01,1.5,0.55
