Substation Name,OSLO ID,Grid Feeder,Assessment Time (min),,,Grid
Farringdon,PRLY,New Cross Grid,30,,,New Cross Grid
Ludgate Cellars,COUL,Maidstone Grid,,,,Northfleet Grid
Ludgate Cellars,SHEP,Maidstone Grid,,,,Bromley Grid
