TIPLOC_select_list,TOC_select_list,Train_select_list,TIPLOC_remove_list,Platform_remove_list
BARKING,SR,10,KNGSBYJ,UPD
ACTONML,SW,11,LNDRSTJ,F3
,,12,BHAMNWS,10
,,13,,
,,14,,
,,15,,
,,16,,
,,17,,
,,18,,
,,19,,
,,20,,
,,21,,
,,22,,
,,23,,
,,24,,
,,25,,
