# Song+ (2015): CANDELS/GOODS/HUDF 4<z<8
# Table 2 (asymmetric-scatter)
# redshift log_Mstar[msun] log_phi[1/Mpc^3/dex] err_up[1sigma] err_down[1sigma]
# note: uses Salpeter IMF. To rescale stellar masses from Chabrier or Kroupa to Salpeter IMF, we divide by constant factors 0.61 and 0.66, respectively. 
4.0 7.25 -1.57 +0.21 -0.16
5.0 7.25 -1.47 +0.24 -0.21
6.0 7.25 -1.47 +0.35 -0.32
7.0 7.25 -1.63 +0.54 -0.54
8.0 7.25 -1.73 +1.01 -0.84

4.0 7.75 -1.77 +0.15 -0.14
5.0 7.75 -1.72 +0.20 -0.20
6.0 7.75 -1.81 +0.23 -0.28
7.0 7.75 -2.07 +0.45 -0.41
8.0 7.75 -2.28 +0.84 -0.64

4.0 8.25 -2.00 +0.13 -0.10
5.0 8.25 -2.01 +0.16 -0.16
6.0 8.25 -2.26 +0.21 -0.16
7.0 8.25 -2.49 +0.38 -0.32
8.0 8.25 -2.88 +0.75 -0.57

4.0 8.75 -2.22 +0.09 -0.09
5.0 8.75 -2.33 +0.15 -0.10
6.0 8.75 -2.65 +0.15 -0.15
7.0 8.75 -2.96 +0.32 -0.30
8.0 8.75 -3.45 +0.57 -0.60

4.0 9.25 -2.52 +0.09 -0.09
5.0 9.25 -2.68 +0.07 -0.14
6.0 9.25 -3.14 +0.12 -0.11
7.0 9.25 -3.47 +0.32 -0.35
8.0 9.25 -4.21 +0.63 -0.78

4.0 9.75 -2.91 +0.12 -0.05
5.0 9.75 -3.12 +0.09 -0.11
6.0 9.75 -3.69 +0.12 -0.13
7.0 9.75 -4.11 +0.41 -0.57
8.0 9.75 -5.31 +1.01 -1.64

4.0 10.25 -3.41 +0.13 -0.08
5.0 10.25 -3.63 +0.13 -0.11
6.0 10.25 -4.55 +0.19 -0.24
7.0 10.25 -5.12 +0.68 -1.10
8.0 10.25 -6.93 +1.61 -2.57

4.0 10.75 -4.11 +0.22 -0.21
5.0 10.75 -4.40 +0.15 -0.35
6.0 10.75 -5.96 +0.52 -0.32
7.0 10.75 -6.57 +1.14 -1.37
8.0 10.75 -8.83 +2.57 -5.75

4.0 11.25 -5.00 +0.24 -0.97
5.0 11.25 -5.96 +0.98 -1.98
6.0 11.25 -7.50 +1.30 -0.99
7.0 11.25 -8.59 +2.34 -3.23
8.9 11.25 -12.10 +4.26 -13.54
