CMDLINE python example_L3T_L4T_JET_run_with_download.py
MEM 0.046875 1733191006.9602
MEM 20.484375 1733191007.0626
MEM 41.781250 1733191007.1679
MEM 53.921875 1733191007.2728
MEM 71.171875 1733191007.3740
MEM 87.265625 1733191007.4792
MEM 103.546875 1733191007.5801
MEM 117.656250 1733191007.6854
MEM 129.562500 1733191007.7874
MEM 139.234375 1733191007.8926
MEM 146.171875 1733191007.9978
MEM 154.843750 1733191008.1030
MEM 164.125000 1733191008.2082
MEM 174.171875 1733191008.3133
MEM 185.609375 1733191008.4157
MEM 194.578125 1733191008.5179
MEM 205.265625 1733191008.6229
MEM 212.250000 1733191008.7270
MEM 229.203125 1733191008.8300
MEM 231.828125 1733191008.9352
MEM 236.156250 1733191009.0405
MEM 240.671875 1733191009.1457
MEM 246.640625 1733191009.2510
MEM 250.328125 1733191009.3562
MEM 255.156250 1733191009.4617
MEM 260.093750 1733191009.5669
MEM 266.281250 1733191009.6722
MEM 272.140625 1733191009.7773
MEM 276.093750 1733191009.8826
MEM 332.312500 1733191009.9878
MEM 349.171875 1733191010.0930
MEM 350.843750 1733191010.1982
MEM 358.390625 1733191010.3034
MEM 360.859375 1733191010.4086
MEM 362.078125 1733191010.5138
MEM 364.187500 1733191010.6191
MEM 374.968750 1733191010.7241
MEM 383.531250 1733191010.8293
MEM 386.375000 1733191010.9346
MEM 390.906250 1733191011.0358
MEM 397.546875 1733191011.1363
MEM 403.687500 1733191011.2415
MEM 405.890625 1733191011.3417
MEM 409.156250 1733191011.4469
MEM 412.296875 1733191011.5521
MEM 413.281250 1733191011.6573
MEM 417.484375 1733191011.7625
MEM 421.546875 1733191011.8677
MEM 424.359375 1733191011.9718
MEM 432.078125 1733191012.0756
MEM 433.562500 1733191012.1808
MEM 439.625000 1733191012.2861
MEM 447.093750 1733191012.3913
MEM 452.921875 1733191012.4965
MEM 453.265625 1733191012.6017
MEM 454.421875 1733191012.7069
MEM 457.640625 1733191012.8121
MEM 461.468750 1733191012.9173
MEM 468.406250 1733191013.0225
MEM 476.750000 1733191013.1277
MEM 478.828125 1733191013.2329
MEM 484.328125 1733191013.3346
MEM 496.656250 1733191013.4398
MEM 496.656250 1733191013.5450
MEM 496.656250 1733191013.6502
MEM 496.656250 1733191013.7554
MEM 498.859375 1733191013.8558
MEM 502.187500 1733191013.9605
MEM 505.937500 1733191014.0657
MEM 509.796875 1733191014.1710
MEM 521.000000 1733191014.2761
MEM 536.390625 1733191014.3814
MEM 536.390625 1733191014.4867
MEM 536.390625 1733191014.5921
MEM 588.453125 1733191014.6973
MEM 588.484375 1733191014.8025
MEM 588.484375 1733191014.9076
MEM 588.484375 1733191015.0131
MEM 596.328125 1733191015.1183
MEM 709.875000 1733191015.2235
MEM 709.875000 1733191015.3287
MEM 709.875000 1733191015.4339
MEM 771.078125 1733191015.5391
MEM 804.593750 1733191015.6444
MEM 812.171875 1733191015.7496
MEM 824.671875 1733191015.8548
MEM 843.718750 1733191015.9600
MEM 843.718750 1733191016.0629
MEM 843.765625 1733191016.1681
MEM 843.765625 1733191016.2734
MEM 855.500000 1733191016.3750
MEM 855.515625 1733191016.4802
MEM 855.515625 1733191016.5856
MEM 855.515625 1733191016.6872
MEM 856.078125 1733191016.7924
MEM 856.078125 1733191016.8966
MEM 856.078125 1733191017.0018
MEM 856.078125 1733191017.1074
MEM 856.953125 1733191017.2124
MEM 856.953125 1733191017.3177
MEM 856.953125 1733191017.4230
MEM 856.953125 1733191017.5266
MEM 876.968750 1733191017.6304
MEM 970.796875 1733191017.7356
MEM 1008.328125 1733191017.8409
MEM 1083.406250 1733191017.9460
MEM 1088.125000 1733191018.0512
MEM 1088.468750 1733191018.1565
MEM 1088.468750 1733191018.2618
MEM 1088.609375 1733191018.3671
MEM 1088.609375 1733191018.4694
MEM 1088.609375 1733191018.5747
MEM 1088.609375 1733191018.6801
MEM 1088.609375 1733191018.7852
MEM 1088.609375 1733191018.8895
MEM 1088.609375 1733191018.9947
MEM 1088.609375 1733191019.0966
MEM 1088.609375 1733191019.2019
MEM 1088.609375 1733191019.3045
MEM 1088.609375 1733191019.4058
MEM 1088.609375 1733191019.5105
MEM 1088.609375 1733191019.6158
MEM 1088.609375 1733191019.7166
MEM 1088.609375 1733191019.8218
MEM 1088.609375 1733191019.9270
MEM 1088.609375 1733191020.0323
MEM 1088.609375 1733191020.1352
MEM 1088.609375 1733191020.2364
MEM 1088.609375 1733191020.3381
MEM 1088.609375 1733191020.4392
MEM 1088.609375 1733191020.5432
MEM 1088.609375 1733191020.6437
MEM 1088.609375 1733191020.7446
MEM 1088.609375 1733191020.8463
MEM 1088.609375 1733191020.9515
MEM 1088.609375 1733191021.0526
MEM 1088.609375 1733191021.1546
MEM 1088.609375 1733191021.2599
MEM 1088.609375 1733191021.3617
MEM 1088.609375 1733191021.4671
MEM 1088.609375 1733191021.5676
MEM 1088.609375 1733191021.6692
MEM 1088.609375 1733191021.7737
MEM 1088.609375 1733191021.8767
MEM 1088.609375 1733191021.9780
MEM 1088.609375 1733191022.0792
MEM 1088.609375 1733191022.1801
MEM 1088.609375 1733191022.2852
MEM 1088.609375 1733191022.3897
MEM 1088.609375 1733191022.4930
MEM 1088.609375 1733191022.5974
MEM 1088.609375 1733191022.7028
MEM 1088.609375 1733191022.8080
MEM 1088.609375 1733191022.9133
MEM 1093.828125 1733191023.0185
MEM 1097.562500 1733191023.1238
MEM 1097.562500 1733191023.2315
MEM 1097.562500 1733191023.3358
MEM 1097.562500 1733191023.4370
MEM 1111.093750 1733191023.5416
MEM 1111.203125 1733191023.6468
MEM 1128.703125 1733191023.7519
MEM 1128.703125 1733191023.8572
MEM 1128.703125 1733191023.9623
MEM 1135.968750 1733191024.0672
MEM 1135.968750 1733191024.1681
MEM 1135.968750 1733191024.2735
MEM 1135.968750 1733191024.3773
MEM 1136.656250 1733191024.4819
MEM 1136.671875 1733191024.5873
MEM 1136.671875 1733191024.6903
MEM 1136.671875 1733191024.7923
MEM 1136.671875 1733191024.8974
MEM 1136.671875 1733191025.0005
MEM 1136.671875 1733191025.1058
MEM 1136.671875 1733191025.2071
MEM 1136.671875 1733191025.3119
MEM 1136.671875 1733191025.4141
MEM 1136.671875 1733191025.5169
MEM 1136.671875 1733191025.6221
MEM 1136.671875 1733191025.7275
MEM 1136.671875 1733191025.8293
MEM 1136.671875 1733191025.9336
MEM 1136.671875 1733191026.0393
MEM 1136.671875 1733191026.1450
MEM 1136.671875 1733191026.2455
MEM 1137.671875 1733191026.3507
MEM 1137.671875 1733191026.4559
MEM 1145.484375 1733191026.5611
MEM 1145.484375 1733191026.6637
MEM 1145.484375 1733191026.7690
MEM 1145.484375 1733191026.8742
MEM 1145.484375 1733191026.9794
MEM 1145.484375 1733191027.0847
MEM 1145.484375 1733191027.1882
MEM 1145.484375 1733191027.2939
MEM 1145.484375 1733191027.3998
MEM 1145.484375 1733191027.5039
MEM 1146.203125 1733191027.6082
MEM 1146.203125 1733191027.7134
MEM 1146.328125 1733191027.8185
MEM 1146.328125 1733191027.9238
MEM 1146.328125 1733191028.0290
MEM 1151.687500 1733191028.1321
MEM 1151.687500 1733191028.2374
MEM 1151.687500 1733191028.3449
MEM 1151.687500 1733191028.4503
MEM 1152.390625 1733191028.5541
MEM 1152.406250 1733191028.6594
MEM 1152.406250 1733191028.7623
MEM 1152.406250 1733191028.8636
MEM 1155.734375 1733191028.9688
MEM 1155.734375 1733191029.0735
MEM 1155.875000 1733191029.1787
MEM 1155.875000 1733191029.2839
MEM 1155.875000 1733191029.3891
MEM 1310.812500 1733191029.4943
MEM 1691.390625 1733191029.5995
MEM 2020.031250 1733191029.7047
MEM 2419.531250 1733191029.8099
MEM 2715.796875 1733191029.9151
MEM 2986.062500 1733191030.0203
MEM 2900.265625 1733191030.1216
MEM 3762.203125 1733191030.2269
MEM 3345.359375 1733191030.3320
MEM 1636.875000 1733191030.4373
MEM 2130.609375 1733191030.5402
MEM 2468.937500 1733191030.6415
MEM 2469.843750 1733191030.7467
MEM 2469.843750 1733191030.8514
MEM 2469.875000 1733191030.9552
MEM 2469.968750 1733191031.0558
MEM 2470.125000 1733191031.1562
MEM 2470.468750 1733191031.2572
MEM 2470.890625 1733191031.3624
MEM 2471.296875 1733191031.4638
MEM 2471.718750 1733191031.5690
MEM 2472.093750 1733191031.6742
MEM 2472.437500 1733191031.7795
MEM 2472.750000 1733191031.8831
MEM 2473.109375 1733191031.9873
MEM 2473.437500 1733191032.0925
MEM 2473.859375 1733191032.1977
MEM 2474.296875 1733191032.3030
MEM 2474.765625 1733191032.4039
MEM 2475.218750 1733191032.5082
MEM 2475.687500 1733191032.6108
MEM 2476.156250 1733191032.7160
MEM 2476.625000 1733191032.8186
MEM 2477.031250 1733191032.9238
MEM 2477.484375 1733191033.0290
MEM 2477.968750 1733191033.1342
MEM 2478.484375 1733191033.2394
MEM 2478.937500 1733191033.3446
MEM 2479.406250 1733191033.4498
MEM 2479.875000 1733191033.5540
MEM 2480.328125 1733191033.6592
MEM 2480.796875 1733191033.7599
MEM 2481.250000 1733191033.8651
MEM 2481.718750 1733191033.9664
MEM 2482.187500 1733191034.0714
MEM 2482.656250 1733191034.1766
MEM 2483.140625 1733191034.2790
MEM 2483.578125 1733191034.3843
MEM 2484.046875 1733191034.4874
MEM 2484.515625 1733191034.5915
MEM 2484.734375 1733191034.6968
MEM 2485.125000 1733191034.8020
MEM 2485.562500 1733191034.9072
MEM 2486.046875 1733191035.0124
MEM 2486.484375 1733191035.1171
MEM 2486.953125 1733191035.2173
MEM 2487.437500 1733191035.3183
MEM 2487.890625 1733191035.4184
MEM 2488.359375 1733191035.5232
MEM 2488.828125 1733191035.6284
MEM 2489.312500 1733191035.7309
MEM 2489.734375 1733191035.8360
MEM 2490.015625 1733191035.9389
MEM 2490.515625 1733191036.0430
MEM 2491.015625 1733191036.1480
MEM 2491.421875 1733191036.2532
MEM 2491.921875 1733191036.3584
MEM 2492.390625 1733191036.4637
MEM 2492.890625 1733191036.5689
MEM 2493.296875 1733191036.6741
MEM 2493.765625 1733191036.7781
MEM 2494.171875 1733191036.8787
MEM 2494.640625 1733191036.9839
MEM 2495.062500 1733191037.0857
MEM 2495.546875 1733191037.1910
MEM 2496.062500 1733191037.2950
MEM 2496.609375 1733191037.3971
MEM 2497.187500 1733191037.5011
MEM 2497.765625 1733191037.6042
MEM 2498.375000 1733191037.7082
MEM 2498.953125 1733191037.8136
MEM 2499.500000 1733191037.9188
MEM 2500.093750 1733191038.0241
MEM 2500.687500 1733191038.1280
MEM 2501.296875 1733191038.2328
MEM 2501.921875 1733191038.3380
MEM 2502.500000 1733191038.4393
MEM 2503.093750 1733191038.5445
MEM 2503.656250 1733191038.6469
MEM 2504.265625 1733191038.7521
MEM 2504.843750 1733191038.8540
MEM 2505.421875 1733191038.9582
MEM 2506.015625 1733191039.0635
MEM 2506.625000 1733191039.1678
MEM 2507.218750 1733191039.2732
MEM 2507.796875 1733191039.3784
MEM 2508.406250 1733191039.4838
MEM 2509.031250 1733191039.5890
MEM 2509.625000 1733191039.6939
MEM 2510.218750 1733191039.7992
MEM 2510.765625 1733191039.9011
MEM 2511.359375 1733191040.0040
MEM 2511.984375 1733191040.1083
MEM 2512.578125 1733191040.2124
MEM 2513.187500 1733191040.3178
MEM 2513.765625 1733191040.4230
MEM 2514.406250 1733191040.5282
MEM 2514.984375 1733191040.6334
MEM 2515.609375 1733191040.7388
MEM 2516.218750 1733191040.8402
MEM 2516.843750 1733191040.9454
MEM 2517.437500 1733191041.0498
MEM 2517.984375 1733191041.1524
MEM 2518.546875 1733191041.2576
MEM 2519.171875 1733191041.3629
MEM 2519.734375 1733191041.4636
MEM 2520.312500 1733191041.5666
MEM 2520.906250 1733191041.6718
MEM 2521.484375 1733191041.7770
MEM 2522.078125 1733191041.8821
MEM 2522.625000 1733191041.9873
MEM 2523.171875 1733191042.0878
MEM 2523.781250 1733191042.1931
MEM 2524.343750 1733191042.2957
MEM 2524.953125 1733191042.3966
MEM 2525.578125 1733191042.5015
MEM 2526.203125 1733191042.6067
MEM 2526.812500 1733191042.7119
MEM 2527.406250 1733191042.8126
MEM 2528.015625 1733191042.9177
MEM 2528.593750 1733191043.0186
MEM 2529.156250 1733191043.1221
MEM 2529.718750 1733191043.2273
MEM 2530.312500 1733191043.3325
MEM 2530.890625 1733191043.4376
MEM 2531.453125 1733191043.5415
MEM 2532.046875 1733191043.6467
MEM 2532.671875 1733191043.7511
MEM 2533.265625 1733191043.8563
MEM 2533.859375 1733191043.9615
MEM 2534.437500 1733191044.0668
MEM 2535.000000 1733191044.1720
MEM 2535.609375 1733191044.2736
MEM 2536.187500 1733191044.3761
MEM 2536.781250 1733191044.4814
MEM 2537.390625 1733191044.5855
MEM 2537.937500 1733191044.6874
MEM 2538.531250 1733191044.7915
MEM 2539.140625 1733191044.8957
MEM 2539.578125 1733191045.0001
MEM 2540.156250 1733191045.1053
MEM 2540.734375 1733191045.2059
MEM 2541.312500 1733191045.3095
MEM 2541.875000 1733191045.4123
MEM 2542.500000 1733191045.5165
MEM 2543.140625 1733191045.6217
MEM 2543.671875 1733191045.7251
MEM 2544.296875 1733191045.8290
MEM 2544.781250 1733191045.9332
MEM 2545.359375 1733191046.0384
MEM 2545.968750 1733191046.1436
MEM 2546.546875 1733191046.2488
MEM 2547.062500 1733191046.3514
MEM 2547.640625 1733191046.4566
MEM 2548.218750 1733191046.5580
MEM 2548.796875 1733191046.6623
MEM 2549.390625 1733191046.7675
MEM 2550.000000 1733191046.8727
MEM 2550.546875 1733191046.9779
MEM 2551.125000 1733191047.0821
MEM 2551.718750 1733191047.1875
MEM 2552.328125 1733191047.2927
MEM 2552.921875 1733191047.3979
MEM 2553.515625 1733191047.5001
MEM 2554.125000 1733191047.6053
MEM 2554.703125 1733191047.7105
MEM 2555.265625 1733191047.8120
MEM 2555.859375 1733191047.9165
MEM 2556.375000 1733191048.0167
MEM 2556.953125 1733191048.1219
MEM 2557.562500 1733191048.2271
MEM 2558.156250 1733191048.3323
MEM 2558.734375 1733191048.4356
MEM 2559.296875 1733191048.5408
MEM 2559.890625 1733191048.6460
MEM 2560.484375 1733191048.7494
MEM 2561.093750 1733191048.8509
MEM 2561.718750 1733191048.9561
MEM 2562.328125 1733191049.0598
MEM 2562.875000 1733191049.1650
MEM 2563.500000 1733191049.2680
MEM 2564.093750 1733191049.3729
MEM 2564.671875 1733191049.4782
MEM 2565.234375 1733191049.5833
MEM 2565.843750 1733191049.6873
MEM 2566.437500 1733191049.7908
MEM 2567.015625 1733191049.8960
MEM 2567.609375 1733191050.0011
MEM 2568.218750 1733191050.1063
MEM 2568.828125 1733191050.2115
MEM 2569.390625 1733191050.3124
MEM 2570.000000 1733191050.4177
MEM 2570.578125 1733191050.5207
MEM 2571.140625 1733191050.6259
MEM 2571.812500 1733191050.7307
MEM 2572.375000 1733191050.8332
MEM 2572.953125 1733191050.9374
MEM 2573.546875 1733191051.0426
MEM 2574.125000 1733191051.1435
MEM 2574.703125 1733191051.2456
MEM 2575.281250 1733191051.3458
MEM 2575.859375 1733191051.4496
MEM 2576.453125 1733191051.5531
MEM 2577.046875 1733191051.6583
MEM 2577.640625 1733191051.7635
MEM 2578.218750 1733191051.8686
MEM 2578.796875 1733191051.9732
