# Bernardi+ (2010) Figure 10 extracted, HB09 sample (light blue)
# Mstar (log10 Msun), Age (Gyr), Age_up (Gyr), Age_down (Gyr)
11.944, 10.534, 11.829, 9.272
11.740, 9.994, 11.387, 8.895
11.544, 9.584, 10.978, 8.420
11.351, 9.142, 10.535, 7.929
11.153, 8.765, 10.093, 7.405
10.952, 8.356, 9.733, 6.487
10.750, 8.094, 9.586, 5.897
10.555, 7.898, 9.570, 5.308
10.356, 7.374, 9.259, 4.521
10.152, 6.965, 8.891, 4.014
10.056, 6.752, 8.358, 3.702
9.959, 6.260, 8.670, 3.358
9.857, 6.506, 9.178, 3.850
9.764, 5.900, 8.949, 2.867
9.656, 4.802, 7.917, 3.408
9.550, 4.212, 7.376, 2.818
