alpha2,countryCallingCodes,currencies,ioc,languages,status
AF,['+93'],['AFN'],AFG,['pus'],assigned
AL,['+355'],['ALL'],ALB,['alb'],assigned
DZ,['+213'],['DZD'],ALG,['ara'],assigned
AS,['+1 684'],['USD'],ASA,"['eng', 'smo']",assigned
AD,['+376'],['EUR'],AND,['cat'],assigned
AO,['+244'],['AOA'],ANG,['por'],assigned
AI,['+1 264'],['XCD'],,['eng'],assigned
AQ,['+672'],[],,[],assigned
AG,['+1 268'],['XCD'],ANT,['eng'],assigned
AR,['+54'],['ARS'],ARG,['spa'],assigned
AM,['+374'],['AMD'],ARM,"['arm', 'rus']",assigned
AW,['+297'],['AWG'],ARU,['dut'],assigned
AC,['+247'],['USD'],SHP,['eng'],reserved
AU,['+61'],['AUD'],AUS,['eng'],assigned
AT,['+43'],['EUR'],AUT,['ger'],assigned
AZ,['+994'],['AZN'],AZE,['aze'],assigned
BS,['+1 242'],['BSD'],BAH,['eng'],assigned
BH,['+973'],['BHD'],BRN,['ara'],assigned
BD,['+880'],['BDT'],BAN,['ben'],assigned
BB,['+1 246'],['BBD'],BAR,['eng'],assigned
BY,['+375'],['BYR'],BLR,"['bel', 'rus']",assigned
BE,['+32'],['EUR'],BEL,"['dut', 'fre', 'ger']",assigned
BZ,['+501'],['BZD'],BIZ,['eng'],assigned
BJ,['+229'],['XOF'],BEN,['fre'],assigned
BM,['+1 441'],['BMD'],BER,['eng'],assigned
BT,['+975'],"['INR', 'BTN']",BHU,['dzo'],assigned
BO,['+591'],"['BOB', 'BOV']",BOL,"['spa', 'aym', 'que']",assigned
BQ,['+599'],['USD'],,['dut'],assigned
BA,['+387'],['BAM'],BIH,"['bos', 'cre', 'srp']",assigned
BW,['+267'],['BWP'],BOT,"['eng', 'tsn']",assigned
BV,[],['NOK'],,[],assigned
BR,['+55'],['BRL'],BRA,['por'],assigned
IO,['+246'],['USD'],,['eng'],assigned
BN,['+673'],['BND'],BRU,"['may', 'eng']",assigned
BG,['+359'],['BGN'],BUL,['bul'],assigned
BF,['+226'],['XOF'],BUR,['fre'],assigned
BI,['+257'],['BIF'],BDI,['fre'],assigned
CV,['+238'],['CVE'],CPV,['por'],assigned
KH,['+855'],['KHR'],CAM,['khm'],assigned
CM,['+237'],['XAF'],CMR,"['eng', 'fre']",assigned
CA,['+1'],['CAD'],CAN,"['eng', 'fre']",assigned
IC,[],['EUR'],,[],reserved
KY,['+1 345'],['KYD'],CAY,['eng'],assigned
CF,['+236'],['XAF'],CAF,"['fre', 'sag']",assigned
EA,[],['EUR'],,[],reserved
TD,['+235'],['XAF'],CHA,"['ara', 'fre']",assigned
CL,['+56'],"['CLP', 'CLF']",CHI,['spa'],assigned
CN,['+86'],['CNY'],CHN,['chi'],assigned
CX,['+61'],['AUD'],,['eng'],assigned
CP,[],['EUR'],,[],reserved
CC,['+61'],['AUD'],,['eng'],assigned
CO,['+57'],"['COP', 'COU']",COL,['spa'],assigned
KM,['+269'],['KMF'],COM,"['ara', 'fre']",assigned
CK,['+682'],['NZD'],COK,"['eng', 'mao']",assigned
CR,['+506'],['CRC'],CRC,['spa'],assigned
CI,['+225'],['XOF'],CIV,['fre'],assigned
HR,['+385'],['HRK'],CRO,['hrv'],assigned
