from,id,kind,to,type
Person-7,Person-Movie-6,edge,Movie-0,PRODUCED
Person-7,Person-Movie-14,edge,Movie-9,PRODUCED
Person-7,Person-Movie-21,edge,Movie-10,PRODUCED
Person-45,Person-Movie-58,edge,Movie-37,PRODUCED
Person-27,Person-Movie-107,edge,Movie-81,PRODUCED
Person-72,Person-Movie-108,edge,Movie-81,PRODUCED
Person-110,Person-Movie-145,edge,Movie-105,PRODUCED
Person-5,Person-Movie-157,edge,Movie-116,PRODUCED
Person-6,Person-Movie-158,edge,Movie-116,PRODUCED
Person-7,Person-Movie-159,edge,Movie-116,PRODUCED
Person-7,Person-Movie-173,edge,Movie-121,PRODUCED
Person-5,Person-Movie-179,edge,Movie-128,PRODUCED
Person-6,Person-Movie-180,edge,Movie-128,PRODUCED
Person-7,Person-Movie-181,edge,Movie-128,PRODUCED
Person-156,Person-Movie-223,edge,Movie-154,PRODUCED
