from_,id,kind,roles,to,type
Person-135,Person-Movie-189,edge,Melinda Moores,Movie-130,ACTED_IN
Person-19,Person-Movie-193,edge,Jack Brennan,Movie-137,ACTED_IN
Person-139,Person-Movie-192,edge,David Frost,Movie-137,ACTED_IN
Person-54,Person-Movie-86,edge,Frank Navasky,Movie-67,ACTED_IN
Person-88,Person-Movie-115,edge,Annabelle Farrell,Movie-87,ACTED_IN
Person-34,Person-Movie-99,edge,DeDe,Movie-78,ACTED_IN
Person-146,Person-Movie-208,edge,Bill Harding,Movie-147,ACTED_IN
Person-71,Person-Movie-137,edge,Dr. Henry Goose,Movie-105,ACTED_IN
Person-93,Person-Movie-120,edge,Dieter Dengler,Movie-92,ACTED_IN
Person-74,Person-Movie-93,edge,Suzy,Movie-73,ACTED_IN
Person-89,Person-Movie-126,edge,Sen. Kevin Keeley,Movie-95,ACTED_IN
Person-106,Person-Movie-139,edge,Ovid,Movie-105,ACTED_IN
Person-126,Person-Movie-166,edge,Trixie,Movie-121,ACTED_IN
Person-39,Person-Movie-51,edge,Avery Bishop,Movie-37,ACTED_IN
Person-99,Person-Movie-129,edge,Bill Munny,Movie-97,ACTED_IN
Person-71,Person-Movie-91,edge,Sam Baldwin,Movie-73,ACTED_IN
Person-129,Person-Movie-175,edge,Mika Coretti,Movie-128,ACTED_IN
Person-22,Person-Movie-71,edge,Frank Sachs,Movie-52,ACTED_IN
Person-54,Person-Movie-70,edge,Simon Bishop,Movie-52,ACTED_IN
Person-138,Person-Movie-191,edge,Richard Nixon,Movie-137,ACTED_IN
Person-40,Person-Movie-62,edge,Vern Tessio,Movie-46,ACTED_IN
Person-71,Person-Movie-232,edge,Hero Boy,Movie-161,ACTED_IN
Person-44,Person-Movie-56,edge,Ray Boyd,Movie-37,ACTED_IN
Person-124,Person-Movie-164,edge,Mom,Movie-121,ACTED_IN
Person-80,Person-Movie-100,edge,Baw,Movie-78,ACTED_IN
Person-106,Person-Movie-139,edge,Jocasta Ayrs,Movie-105,ACTED_IN
Person-48,Person-Movie-63,edge,Teddy Duchamp,Movie-46,ACTED_IN
Person-127,Person-Movie-174,edge,Raizo,Movie-128,ACTED_IN
Person-165,Person-Movie-236,edge,Kit Keller,Movie-162,ACTED_IN
Person-71,Person-Movie-98,edge,Joe Banks,Movie-78,ACTED_IN
Person-1,Person-Movie-0,edge,Neo,Movie-0,ACTED_IN
Person-51,Person-Movie-66,edge,Mr. Lachance,Movie-46,ACTED_IN
Person-58,Person-Movie-81,edge,Nels Gudmundsson,Movie-62,ACTED_IN
Person-26,Person-Movie-36,edge,Dr. Stone,Movie-15,ACTED_IN
Person-17,Person-Movie-197,edge,Hoffa,Movie-141,ACTED_IN
Person-16,Person-Movie-26,edge,Lt. Daniel Kaffee,Movie-15,ACTED_IN
Person-102,Person-Movie-134,edge,Jane,Movie-100,ACTED_IN
Person-123,Person-Movie-163,edge,Pops,Movie-121,ACTED_IN
Person-65,Person-Movie-82,edge,Judge Fielding,Movie-62,ACTED_IN
Person-8,Person-Movie-7,edge,Emil,Movie-0,ACTED_IN
Person-114,Person-Movie-149,edge,Silas,Movie-111,ACTED_IN
Person-71,Person-Movie-232,edge,Conductor,Movie-161,ACTED_IN
Person-71,Person-Movie-232,edge,Hobo,Movie-161,ACTED_IN
Person-71,Person-Movie-228,edge,Rep. Charlie Wilson,Movie-159,ACTED_IN
Person-134,Person-Movie-206,edge,Ken Mattingly,Movie-144,ACTED_IN
Person-13,Person-Movie-24,edge,John Milton,Movie-11,ACTED_IN
Person-82,Person-Movie-102,edge,Harry Burns,Movie-81,ACTED_IN
Person-22,Person-Movie-32,edge,Cpl. Carl Hammaker,Movie-15,ACTED_IN
Person-3,Person-Movie-10,edge,Morpheus,Movie-9,ACTED_IN
Person-125,Person-Movie-165,edge,Racer X,Movie-121,ACTED_IN
Person-132,Person-Movie-184,edge,"Brutus \"Brutal\" Howell",Movie-130,ACTED_IN
Person-32,Person-Movie-43,edge,Goose,Movie-29,ACTED_IN
Person-34,Person-Movie-99,edge,Patricia Graynamore,Movie-78,ACTED_IN
Person-24,Person-Movie-34,edge,Lt. Col. Matthew Andrew Markinson,Movie-15,ACTED_IN
Person-4,Person-Movie-138,edge,Old Georgie,Movie-105,ACTED_IN
Person-120,Person-Movie-177,edge,Ryan Maslow,Movie-128,ACTED_IN
Person-71,Person-Movie-213,edge,Chuck Noland,Movie-150,ACTED_IN
Person-12,Person-Movie-23,edge,Mary Ann Lomax,Movie-11,ACTED_IN
Person-34,Person-Movie-85,edge,Kathleen Kelly,Movie-67,ACTED_IN
Person-16,Person-Movie-40,edge,Maverick,Movie-29,ACTED_IN
Person-122,Person-Movie-162,edge,Speed Racer,Movie-121,ACTED_IN
Person-28,Person-Movie-37,edge,Man in Bar,Movie-15,ACTED_IN
Person-19,Person-Movie-29,edge,Capt. Jack Ross,Movie-15,ACTED_IN
Person-71,Person-Movie-84,edge,Joe Fox,Movie-67,ACTED_IN
Person-155,Person-Movie-220,edge,Erica Barry,Movie-154,ACTED_IN
Person-64,Person-Movie-176,edge,Takeshi,Movie-128,ACTED_IN
Person-107,Person-Movie-140,edge,Timothy Cavendish,Movie-105,ACTED_IN
Person-34,Person-Movie-103,edge,Sally Albright,Movie-81,ACTED_IN
Person-76,Person-Movie-95,edge,Greg,Movie-73,ACTED_IN
Person-1,Person-Movie-22,edge,Kevin Lomax,Movie-11,ACTED_IN
Person-4,Person-Movie-11,edge,Agent Smith,Movie-9,ACTED_IN
Person-51,Person-Movie-119,edge,Admiral,Movie-92,ACTED_IN
Person-71,Person-Movie-137,edge,Dermot Hoggins,Movie-105,ACTED_IN
Person-117,Person-Movie-152,edge,Evey Hammond,Movie-116,ACTED_IN
Person-63,Person-Movie-79,edge,Ishmael Chambers,Movie-62,ACTED_IN
Person-58,Person-Movie-76,edge,The Tracker,Movie-56,ACTED_IN
Person-3,Person-Movie-17,edge,Morpheus,Movie-10,ACTED_IN
Person-21,Person-Movie-31,edge,Cpl. Jeffrey Barnes,Movie-15,ACTED_IN
Person-38,Person-Movie-50,edge,Dorothy Boyd,Movie-37,ACTED_IN
Person-106,Person-Movie-139,edge,Luisa Rey,Movie-105,ACTED_IN
Person-148,Person-Movie-230,edge,Gust Avrakotos,Movie-159,ACTED_IN
Person-49,Person-Movie-60,edge,Gordie Lachance,Movie-46,ACTED_IN
Person-4,Person-Movie-18,edge,Agent Smith,Movie-10,ACTED_IN
Person-60,Person-Movie-73,edge,Chris Nielsen,Movie-56,ACTED_IN
Person-131,Person-Movie-183,edge,John Coffey,Movie-130,ACTED_IN
Person-1,Person-Movie-221,edge,Julian Mercer,Movie-154,ACTED_IN
Person-1,Person-Movie-8,edge,Neo,Movie-9,ACTED_IN
Person-71,Person-Movie-137,edge,Zachry,Movie-105,ACTED_IN
Person-71,Person-Movie-182,edge,Paul Edgecomb,Movie-130,ACTED_IN
Person-16,Person-Movie-48,edge,Jerry Maguire,Movie-37,ACTED_IN
Person-94,Person-Movie-121,edge,Squad Leader,Movie-92,ACTED_IN
Person-31,Person-Movie-42,edge,Iceman,Movie-29,ACTED_IN
Person-22,Person-Movie-74,edge,Albert Lewis,Movie-56,ACTED_IN
Person-143,Person-Movie-200,edge,"Peter \"Pete\" Connelly",Movie-141,ACTED_IN
Person-134,Person-Movie-188,edge,Burt Hammersmith,Movie-130,ACTED_IN
Person-3,Person-Movie-2,edge,Morpheus,Movie-0,ACTED_IN
Person-133,Person-Movie-187,edge,"\"Wild Bill\" Wharton",Movie-130,ACTED_IN
Person-34,Person-Movie-99,edge,Angelica Graynamore,Movie-78,ACTED_IN
Person-107,Person-Movie-140,edge,Vyvyan Ayrs,Movie-105,ACTED_IN
Person-65,Person-Movie-186,edge,Warden Hal Moores,Movie-130,ACTED_IN
Person-59,Person-Movie-77,edge,The Face,Movie-56,ACTED_IN
Person-4,Person-Movie-138,edge,Bill Smoke,Movie-105,ACTED_IN
Person-83,Person-Movie-104,edge,Marie,Movie-81,ACTED_IN
Person-90,Person-Movie-117,edge,Clifford Franklin,Movie-87,ACTED_IN
Person-12,Person-Movie-112,edge,Tina,Movie-85,ACTED_IN
Person-2,Person-Movie-16,edge,Trinity,Movie-10,ACTED_IN
Person-146,Person-Movie-205,edge,Fred Haise,Movie-144,ACTED_IN
Person-4,Person-Movie-138,edge,Nurse Noakes,Movie-105,ACTED_IN
Person-34,Person-Movie-92,edge,Annie Reed,Movie-73,ACTED_IN
Person-77,Person-Movie-237,edge,Doris Murphy,Movie-162,ACTED_IN
Person-1,Person-Movie-132,edge,Johnny Mnemonic,Movie-100,ACTED_IN
Person-80,Person-Movie-125,edge,Albert Goldman,Movie-95,ACTED_IN
Person-71,Person-Movie-232,edge,Santa Claus,Movie-161,ACTED_IN
Person-75,Person-Movie-94,edge,Walter,Movie-73,ACTED_IN
Person-164,Person-Movie-235,edge,Dottie Hinson,Movie-162,ACTED_IN
Person-70,Person-Movie-89,edge,George Pappas,Movie-67,ACTED_IN
Person-145,Person-Movie-204,edge,Gene Kranz,Movie-144,ACTED_IN
Person-1,Person-Movie-114,edge,Shane Falco,Movie-87,ACTED_IN
Person-23,Person-Movie-33,edge,Lt. Sam Weinberg,Movie-15,ACTED_IN
Person-71,Person-Movie-137,edge,Isaac Sachs,Movie-105,ACTED_IN
Person-71,Person-Movie-234,edge,Jimmy Dugan,Movie-162,ACTED_IN
Person-119,Person-Movie-154,edge,High Chancellor Adam Sutler,Movie-116,ACTED_IN
Person-43,Person-Movie-55,edge,Marcee Tidwell,Movie-37,ACTED_IN
Person-53,Person-Movie-69,edge,Carol Connelly,Movie-52,ACTED_IN
Person-17,Person-Movie-216,edge,Randle McMurphy,Movie-152,ACTED_IN
Person-42,Person-Movie-185,edge,Jan Edgecomb,Movie-130,ACTED_IN
Person-71,Person-Movie-110,edge,Mr. White,Movie-85,ACTED_IN
Person-107,Person-Movie-140,edge,Captain Molyneux,Movie-105,ACTED_IN
Person-34,Person-Movie-45,edge,Carole,Movie-29,ACTED_IN
Person-120,Person-Movie-155,edge,Dascomb,Movie-116,ACTED_IN
Person-106,Person-Movie-139,edge,Meronym,Movie-105,ACTED_IN
Person-4,Person-Movie-138,edge,Tadeusz Kesselring,Movie-105,ACTED_IN
Person-163,Person-Movie-238,edge,"\"All the Way\" Mae Mordabito",Movie-162,ACTED_IN
Person-71,Person-Movie-232,edge,Father,Movie-161,ACTED_IN
Person-112,Person-Movie-147,edge,Sir Leight Teabing,Movie-111,ACTED_IN
Person-71,Person-Movie-232,edge,Scrooge,Movie-161,ACTED_IN
Person-50,Person-Movie-64,edge,Denny Lachance,Movie-46,ACTED_IN
Person-24,Person-Movie-199,edge,Frank Fitzsimmons,Movie-141,ACTED_IN
Person-30,Person-Movie-41,edge,Charlie,Movie-29,ACTED_IN
Person-17,Person-Movie-68,edge,Melvin Udall,Movie-52,ACTED_IN
Person-77,Person-Movie-96,edge,Becky,Movie-73,ACTED_IN
Person-103,Person-Movie-135,edge,J-Bone,Movie-100,ACTED_IN
Person-69,Person-Movie-88,edge,Kevin Jackson,Movie-67,ACTED_IN
Person-160,Person-Movie-229,edge,Joanne Herring,Movie-159,ACTED_IN
Person-142,Person-Movie-198,edge,"Robert \"Bobby\" Ciaro",Movie-141,ACTED_IN
Person-71,Person-Movie-146,edge,Dr. Robert Langdon,Movie-111,ACTED_IN
Person-1,Person-Movie-15,edge,Neo,Movie-10,ACTED_IN
Person-146,Person-Movie-239,edge,Bob Hinson,Movie-162,ACTED_IN
Person-98,Person-Movie-128,edge,English Bob,Movie-97,ACTED_IN
Person-148,Person-Movie-211,edge,"Dustin \"Dusty\" Davis",Movie-147,ACTED_IN
Person-140,Person-Movie-226,edge,Rupert Burns,Movie-157,ACTED_IN
Person-40,Person-Movie-52,edge,Frank Cushman,Movie-37,ACTED_IN
Person-89,Person-Movie-116,edge,Jimmy McGinty,Movie-87,ACTED_IN
Person-70,Person-Movie-122,edge,Duane,Movie-92,ACTED_IN
Person-47,Person-Movie-61,edge,Chris Chambers,Movie-46,ACTED_IN
Person-53,Person-Movie-214,edge,Kelly Frears,Movie-150,ACTED_IN
Person-4,Person-Movie-151,edge,V,Movie-116,ACTED_IN
Person-20,Person-Movie-65,edge,Ace Merrill,Movie-46,ACTED_IN
Person-2,Person-Movie-9,edge,Trinity,Movie-9,ACTED_IN
Person-57,Person-Movie-75,edge,Annie Collins-Nielsen,Movie-56,ACTED_IN
Person-60,Person-Movie-124,edge,Armand Goldman,Movie-95,ACTED_IN
Person-17,Person-Movie-219,edge,Harry Sanborn,Movie-154,ACTED_IN
Person-118,Person-Movie-153,edge,Eric Finch,Movie-116,ACTED_IN
Person-17,Person-Movie-27,edge,Col. Nathan R. Jessup,Movie-15,ACTED_IN
Person-94,Person-Movie-210,edge,Eddie,Movie-147,ACTED_IN
Person-4,Person-Movie-138,edge,Haskell Moore,Movie-105,ACTED_IN
Person-101,Person-Movie-133,edge,Takahashi,Movie-100,ACTED_IN
Person-64,Person-Movie-80,edge,Kazuo Miyamoto,Movie-62,ACTED_IN
Person-4,Person-Movie-138,edge,Boardman Mephi,Movie-105,ACTED_IN
Person-113,Person-Movie-148,edge,Sophie Neveu,Movie-111,ACTED_IN
Person-42,Person-Movie-54,edge,Laurel Boyd,Movie-37,ACTED_IN
Person-33,Person-Movie-44,edge,Viper,Movie-29,ACTED_IN
