born,id,name
1971,Person-48,Corey Feldman
1963,Person-165,Lori Petty
1963,Person-54,Greg Kinnear
,Person-170,James Thompson
1965,Person-143,John C. Reilly
1946,Person-124,Susan Sarandon
1940,Person-55,James L. Brooks
1948,Person-26,Christopher Guest
1961,Person-28,Aaron Sorkin
1956,Person-71,Tom Hanks
1962,Person-16,Tom Cruise
1930,Person-89,Gene Hackman
1940,Person-13,Al Pacino
1951,Person-151,Robert Zemeckis
1968,Person-102,Dina Meyer
1965,Person-108,Tom Tykwer
1966,Person-106,Halle Berry
1944,Person-142,Danny DeVito
1960,Person-140,Oliver Platt
1942,Person-59,Werner Herzog
1976,Person-113,Audrey Tautou
1950,Person-145,Ed Harris
1941,Person-72,Nora Ephron
1968,Person-22,Cuba Gooding Jr.
1960,Person-123,John Goodman
1955,Person-146,Bill Paxton
1958,Person-103,Ice-T
1956,Person-83,Carrie Fisher
1964,Person-1,Keanu Reeves
1933,Person-33,Tom Skerritt
1942,Person-51,Marshall Bell
1971,Person-43,Regina King
1931,Person-96,Mike Nichols
1944,Person-35,Tony Scott
1967,Person-70,Steve Zahn
1966,Person-125,Matthew Fox
1978,Person-8,Emil Eifrem
1943,Person-24,J.T. Walsh
1967,Person-5,Lilly Wachowski
1957,Person-131,Michael Clarke Duncan
1961,Person-110,Stefan Arndt
1946,Person-155,Diane Keaton
,Person-167,Paul Blythe
1950,Person-79,John Patrick Stanley
1967,Person-25,James Marshall
1972,Person-49,Wil Wheaton
1971,Person-21,Noah Wyle
1960,Person-57,Annabella Sciorra
1967,Person-120,Ben Miles
1941,Person-36,Jim Cash
1970,Person-47,River Phoenix
1949,Person-107,Jim Broadbent
1957,Person-30,Kelly McGillis
1958,Person-19,Kevin Bacon
1949,Person-156,Nancy Meyers
1956,Person-164,Geena Davis
1952,Person-7,Joel Silver
1950,Person-91,Howard Deutch
1977,Person-86,Liv Tyler
1967,Person-148,Philip Seymour Hoffman
1943,Person-149,Jan de Bont
1974,Person-93,Christian Bale
1959,Person-136,Frank Darabont
1965,Person-6,Lana Wachowski
1961,Person-34,Meg Ryan
1940,Person-119,John Hurt
1932,Person-153,Milos Forman
1949,Person-76,Victor Garber
1975,Person-12,Charlize Theron
1962,Person-32,Anthony Edwards
1958,Person-158,Chris Columbus
1985,Person-122,Emile Hirsch
1954,Person-163,Madonna
1957,Person-23,Kevin Pollak
1963,Person-53,Helen Hunt
1949,Person-84,Bruno Kirby
1940,Person-65,James Cromwell
1966,Person-50,John Cusack
1969,Person-139,Michael Sheen
1961,Person-42,Bonnie Hunt
,Person-168,Angela Scope
1937,Person-17,Jack Nicholson
1968,Person-90,Orlando Jones
1996,Person-44,Jonathan Lipnicki
1954,Person-115,Ron Howard
1982,Person-127,Rain
1962,Person-77,Rosie O'Donnell
1939,Person-112,Ian McKellen
1973,Person-69,Dave Chappelle
1953,Person-75,Bill Pullman
1961,Person-3,Laurence Fishburne
1969,Person-109,David Mitchell
1954,Person-94,Zach Grenier
1955,Person-134,Gary Sinise
1953,Person-104,Robert Longo
1959,Person-135,Patricia Clarkson
1969,Person-38,Renee Zellweger
1970,Person-88,Brooke Langton
1967,Person-160,Julia Roberts
1970,Person-63,Ethan Hawke
1974,Person-40,Jerry O'Connell
,Person-129,Naomie Harris
1962,Person-18,Demi Moore
1956,Person-61,Vincent Ward
1946,Person-118,Stephen Rea
1953,Person-66,Scott Hicks
1970,Person-41,Jay Mohr
1947,Person-27,Rob Reiner
1944,Person-14,Taylor Hackford
1971,Person-114,Paul Bettany
1959,Person-31,Val Kilmer
1951,Person-60,Robin Williams
,Person-169,Jessica Thompson
1943,Person-166,Penny Marshall
1966,Person-20,Kiefer Sutherland
1968,Person-133,Sam Rockwell
1962,Person-39,Kelly Preston
1981,Person-117,Natalie Portman
1980,Person-126,Christina Ricci
1971,Person-64,Rick Yune
1930,Person-99,Clint Eastwood
1956,Person-80,Nathan Lane
1967,Person-2,Carrie-Anne Moss
1953,Person-132,David Morse
1938,Person-138,Frank Langella
1968,Person-68,Parker Posey
1930,Person-98,Richard Harris
1948,Person-82,Billy Crystal
1929,Person-58,Max von Sydow
1947,Person-101,Takeshi Kitano
1957,Person-45,Cameron Crowe
1960,Person-4,Hugo Weaving
1956,Person-74,Rita Wilson
