# Bleem+ (2015) Fiducial SPT-SZ 2500d catalog
# https://pole.uchicago.edu/public/data/sptsz-clusters/
# Columns:
# (1) SPT name
# (2) redshift
# (3) M500 [1e14 msun]
# (4) Y_SZ [arcmin^2]
SPT-CLJ0000-4356 1.000 3.274 7.65e-05
SPT-CLJ0000-5748 0.702 4.562 8.28e-05
SPT-CLJ0001-4842 0.300 3.957 7.76e-05
SPT-CLJ0001-4024 0.850 3.117 5.99e-05
SPT-CLJ0001-6258 0.210 3.274 5.19e-05
SPT-CLJ0001-5440 0.734 3.536 6.03e-05
SPT-CLJ0002-5557 1.139 2.469 5.46e-05
SPT-CLJ0002-5224 0.000 0.000 4.83e-05
SPT-CLJ0003-4155 0.000 0.000 5.90e-05
SPT-CLJ0007-4706 0.510 2.952 5.81e-05
SPT-CLJ0010-5112 0.170 3.248 5.50e-05
SPT-CLJ0011-4614 0.570 3.305 6.34e-05
SPT-CLJ0012-5352 0.330 3.312 5.20e-05
SPT-CLJ0013-5714 0.000 0.000 5.97e-05
SPT-CLJ0013-4906 0.406 7.079 1.35e-04
SPT-CLJ0013-5310 0.000 0.000 5.68e-05
SPT-CLJ0013-4621 0.180 3.260 6.37e-05
SPT-CLJ0014-4952 0.752 5.307 1.24e-04
SPT-CLJ0014-4036 0.550 5.890 1.13e-04
SPT-CLJ0015-6000 0.680 3.107 6.75e-05
SPT-CLJ0019-4051 0.440 6.064 1.14e-04
SPT-CLJ0019-5527 0.756 3.767 9.04e-05
SPT-CLJ0021-4902 0.705 3.300 6.84e-05
SPT-CLJ0022-4144 0.270 3.555 6.48e-05
SPT-CLJ0022-4258 0.000 0.000 6.38e-05
SPT-CLJ0025-5034 0.380 3.240 5.41e-05
SPT-CLJ0025-4133 0.430 4.381 8.31e-05
SPT-CLJ0027-5015 0.145 3.676 2.50e-05
SPT-CLJ0027-4742 0.750 3.974 8.41e-05
SPT-CLJ0027-6325 0.380 3.305 5.49e-05
SPT-CLJ0028-4126 0.000 0.000 6.25e-05
SPT-CLJ0030-4457 0.000 0.000 4.30e-05
SPT-CLJ0030-5213 0.550 2.981 5.17e-05
SPT-CLJ0033-6326 0.597 4.724 8.22e-05
SPT-CLJ0034-5554 0.000 0.000 5.55e-05
SPT-CLJ0036-4411 0.869 3.252 7.42e-05
SPT-CLJ0037-5047 1.026 3.914 8.79e-05
SPT-CLJ0038-5244 0.420 3.240 6.81e-05
SPT-CLJ0040-4407 0.350 10.243 2.19e-04
SPT-CLJ0041-4428 0.330 5.829 1.01e-04
SPT-CLJ0041-5107 0.450 3.040 6.14e-05
SPT-CLJ0043-4843 0.727 3.164 6.04e-05
SPT-CLJ0044-4037 0.959 2.676 6.24e-05
SPT-CLJ0044-4100 0.000 0.000 5.37e-05
SPT-CLJ0047-4506 0.390 5.017 8.81e-05
SPT-CLJ0048-5244 0.919 3.705 8.26e-05
SPT-CLJ0048-4450 0.000 0.000 5.32e-05
SPT-CLJ0048-6416 0.774 3.333 6.72e-05
SPT-CLJ0048-4548 0.460 3.202 6.00e-05
SPT-CLJ0049-4542 0.820 2.712 6.18e-05
SPT-CLJ0049-5315 0.618 4.117 7.63e-05
SPT-CLJ0051-4834 0.187 5.376 8.12e-05
SPT-CLJ0052-5657 0.330 3.336 6.05e-05
SPT-CLJ0052-4551 0.350 3.531 6.89e-05
SPT-CLJ0054-4046 0.490 3.543 6.37e-05
SPT-CLJ0058-6145 0.826 4.360 9.83e-05
SPT-CLJ0059-5105 0.600 3.086 6.56e-05
SPT-CLJ0100-5359 0.937 2.662 6.32e-05
SPT-CLJ0102-4603 0.722 4.486 1.00e-04
SPT-CLJ0102-4915 0.870 14.426 4.87e-04
SPT-CLJ0103-4250 0.720 4.005 8.61e-05
SPT-CLJ0104-4351 0.762 4.362 9.70e-05
SPT-CLJ0105-5358 0.000 0.000 6.26e-05
SPT-CLJ0106-5355 0.440 3.262 5.42e-05
SPT-CLJ0106-5943 0.348 6.231 1.15e-04
SPT-CLJ0107-4855 0.600 2.843 5.87e-05
SPT-CLJ0107-5833 1.233 2.555 7.08e-05
SPT-CLJ0108-4341 0.190 3.190 5.15e-05
SPT-CLJ0108-4659 1.197 2.690 7.27e-05
SPT-CLJ0109-4045 0.550 2.945 6.06e-05
SPT-CLJ0110-4445 0.380 5.238 8.22e-05
SPT-CLJ0111-5424 0.470 3.571 5.45e-05
SPT-CLJ0111-5818 0.000 0.000 7.08e-05
SPT-CLJ0111-5518 0.560 2.843 4.79e-05
SPT-CLJ0112-4056 0.000 0.000 5.46e-05
