USGS HUC-8,USGS Name,DNR Major #,Minnesota Name,USGS HUC-6,USGS NAME HUC-6,Minnesota Name HUC-6,USGS HUC-4,USGS NAME HUC-4,Minnesota Name HUC-4,USGS HUC-2,USGS NAME HUC-2,Minnesota Name HUC-2,NTN_ID,CASTNET_id,Repository_HUC8 Name,Repository_HUC6 Name
10170203,LOWER-BIG-SIOUX,82,Lower Big Sioux River,101702,MISSOURI - BIG SIOUX,Big Sioux River,1017,MISSOURI - BIG SIOUX,Missouri River - Big Sioux River,10,MISSOURI,Missouri River,MN27,PRK134,BigSioux,BigSioux
10170204,ROCK,83,Rock River,101702,MISSOURI - BIG SIOUX,Big Sioux River,1017,MISSOURI - BIG SIOUX,Missouri River - Big Sioux River,10,MISSOURI,Missouri River,MN27,PRK134,Rock,BigSioux
10170202,UPPER-BIG-SIOUX,81,Upper Big Sioux River,101702,MISSOURI - BIG SIOUX,Big Sioux River,1017,MISSOURI - BIG SIOUX,Missouri River - Big Sioux River,10,MISSOURI,Missouri River,MN27,PRK134,BigSioux,BigSioux
10230003,LITTLE-SIOUX,84,Little Sioux River,102300,MISSOURI - LITTLE SIOUX,Little Sioux River,1023,MISSOURI - LITTLE SIOUX,Missouri River - Little Sioux River,10,MISSOURI,Missouri River,MN27,PRK134,LittleSioux,LittleSioux
04010101,BAPTISM-BRULE,1,Lake Superior - North,040101,NORTHWESTERN LAKE SUPERIOR,Lake Superior - North Shore,0401,WESTERN LAKE SUPERIOR,Western Lake Superior,04,GREAT LAKES,Great Lakes,MN18,VOY413,SuperiorNorth,NorthSuperior
04010102,BEAVER-LESTER,2,Lake Superior - South,040101,NORTHWESTERN LAKE SUPERIOR,Lake Superior - North Shore,0401,WESTERN LAKE SUPERIOR,Western Lake Superior,04,GREAT LAKES,Great Lakes,MN18,VOY413,SuperiorSouth,NorthSuperior
04010202,CLOQUET,4,Cloquet River,040102,ST. LOUIS RIVER BASIN,St. Louis River,0401,WESTERN LAKE SUPERIOR,Western Lake Superior,04,GREAT LAKES,Great Lakes,MN18,VOY413,StLouisCloquet,StLouis
04010201,ST-LOUIS,3,St. Louis River,040102,ST. LOUIS RIVER BASIN,St. Louis River,0401,WESTERN LAKE SUPERIOR,Western Lake Superior,04,GREAT LAKES,Great Lakes,MN16,VOY413,StLouisCloquet,StLouis
04010301,BEARTRAP-NEMADJI,5,Nemadji River,040103,SOUTHWESTERN LAKE SUPERIOR,Lake Superior - Nemadji River,0401,WESTERN LAKE SUPERIOR,Western Lake Superior,04,GREAT LAKES,Great Lakes,MN18,PRK134,Nemadji,SouthSuperior
07010106,CROW-WING,12,Crow Wing River,070101,MISSISSIPPI HEADWATERS,Mississippi River - Headwaters,0701,MISSISSIPPI HEADWATERS,Mississippi River - Headwaters,07,UPPER MISSISSIPPI,Upper Mississippi River,MN23,VOY413,CrowWing,UpperMissHeadwaters
07010102,LEECH-LAKE,8,Leech Lake River,070101,MISSISSIPPI HEADWATERS,Mississippi River - Headwaters,0701,MISSISSIPPI HEADWATERS,Mississippi River - Headwaters,07,UPPER MISSISSIPPI,Upper Mississippi River,MN16,VOY413,LeechLake,UpperMissHeadwaters
07010108,LONG-PRAIRIE,14,Long Prairie River,070101,MISSISSIPPI HEADWATERS,Mississippi River - Headwaters,0701,MISSISSIPPI HEADWATERS,Mississippi River - Headwaters,07,UPPER MISSISSIPPI,Upper Mississippi River,MN23,VOY413,LongPrairie,UpperMissHeadwaters
07010104,ELK-NOKASIPPI,10,Mississippi River - Brainerd,070101,MISSISSIPPI HEADWATERS,Mississippi River - Headwaters,0701,MISSISSIPPI HEADWATERS,Mississippi River - Headwaters,07,UPPER MISSISSIPPI,Upper Mississippi River,MN23,VOY413,MissBrainerd,UpperMissHeadwaters
