#%		Only M/G boundary	Min tun Muller/MacDo	Age model Tiedemann
#%m	%terr	age	sr	flux	age	sr	flux 	age	sr	flux
0.1100	35.6100	3.8689	2.8432	0.5569	-0.7910	7.7511	1.5181	1.9600	5.6122	1.0992
0.2200	32.3500	7.7378	2.8432	0.5059	2.8383	3.0309	0.5393	3.9200	5.6122	0.9986
0.3200	37.5700	11.2549	2.8432	0.5875	6.1377	3.0309	0.6263	5.7018	5.6122	1.1597
0.4700	33.4000	16.5307	2.8432	0.5223	11.0868	3.0309	0.5568	8.3745	5.6122	1.0310
0.5500	18.1800	19.3444	2.8432	0.2843	13.7263	3.0309	0.3031	9.8000	5.7931	0.5793
0.7200	36.1000	25.3236	2.8432	0.6672	19.3353	3.0309	0.7112	12.6900	5.8824	1.3803
0.7300	27.2900	25.6753	2.8432	0.5043	19.6653	3.0309	0.5376	12.8600	5.8824	1.0434
0.8600	26.1000	30.2476	2.8432	0.5417	23.9545	3.0309	0.5775	15.0700	5.8824	1.1208
1.0300	52.6700	36.2268	2.8432	1.1082	29.5635	3.0309	1.1813	17.9600	5.8824	2.2927
1.0500	54.6300	36.9302	2.8432	1.1494	30.2234	3.0309	1.2253	18.3000	5.0227	2.0305
1.1200	45.7200	39.3922	2.8432	0.9619	32.5329	3.0309	1.0254	19.7519	4.8214	1.6312
1.3200	48.5500	46.4266	2.8432	1.0215	39.1317	3.0309	1.0889	23.9000	4.8214	1.7322
1.4500	44.2100	50.9989	2.8432	0.9302	43.4210	3.0309	0.9916	26.5963	4.8214	1.5773
1.5900	38.2000	55.9229	2.8432	0.8037	48.0401	3.0309	0.8568	29.5000	3.5939	1.0159
1.6700	37.3100	58.7366	2.8432	0.7850	50.6796	3.0309	0.8368	32.7178	2.4862	0.6864
1.8400	41.4800	64.7158	2.8432	0.8727	56.2886	3.0309	0.9303	39.5556	2.4862	0.7631
1.8800	58.6000	66.1227	2.8432	1.2329	57.6084	3.0309	1.3143	41.1644	2.4862	1.0781
