type,thetaFC,thetaWP,REW
sand,0.12,0.045,4.5
loamy_sand,0.15,0.065,6
sandy_loam,0.23,0.11,8
loam,0.25,0.12,9
silt_loam,0.29,0.15,9.5
silt,0.32,0.17,9.5
silt_clay_loam,0.335,0.205,9.5
silty_clay,0.36,0.23,10
clay,0.36,0.22,10
